5:15:001:1	Náhááh bii' ééhidichídígíí
5:15:013:0	Áko t'áadoo át'éhígóó béédahidohchíidgo t'áá ákohígo t'áadoo bééda'ayołnéhí .
5:15:014:0	Nihidibé danihíłtłeehgo ła' bá ats'ádadoohnił , áádóó tł'oh naadą́ą́' haaltséedii ła' baa dadoohjih , índa ch'il na'atł'o'ii yishjizhgo bąąh haa'nii'ii ła' baa dadoohsił . Bóhólníihii nihiDiyin God nihik'idajisdli'ígi át'éego baa dajiidoohbaał .
5:15:015:0	Ííjip kéyahdi naalte' danohłį́į́ nít'éé' yę́ę nibéédahołníih dooleeł , áko Bóhólníihii nihiDiyin God náánihiisnii'go nihik'é niná'ídláago bąą díí jį́ díí kódaat'éhígíí nihich'į' bee haasdziih .
5:15:016:0	Kóhodoonííł : bí ánihididooniiłgo , Doo nihits'ą́ą́' dah dideesháał da , háálá ayóó'ánihó'ní áádóó na'áłchíní ayóó'áyó'ní índa niha'ałk'ee bił yá'áhoot'ééh .
5:15:017:0	Tsah nitsaazii bee dáádílkał bik'ijį' bijaa' bigháda'doohtsih , áádóó náásgóó nihá naal'a' doo , índa asdzání nihinaalte'ii ałdó' t'áá ákódadoohłííł .
5:15:003:1	Alą́ąjį' nidahachíihii diyingo nináhidit'aahii
5:15:018:0	Nidi doo nihá nantł'agóó nihinaalte' nihits'ą́ą́' dah nídidoodááł , háálá ílį́įgo adeenáago naalnishii biláahgo ahą́ą́h nániiláago naalnishgo hastą́ą́h nááhai , áko Bóhólníihii nihiDiyin God éí nihindaanish t'áá át'é yik'ijidlíi doo .
5:15:019:0	Nihilį́į́' biką'ii alą́ąjį' nidahachíhígíí éí Bóhólníihii nihiDiyin God bich'į' dílzingo ádadoohłííł ; béégashii biką'ii alą́ąjį' nidahachíhígíí doo bee nihoyíłdlaad da doo , índa dibéką'ii alą́ąjį' nidahachíhígíí doo tánídadohgish da doo .
5:15:020:0	Bóhólníihii nihiDiyin God binááł t'áá nináhááh bik'eh nída'ohdį́įh doogo Bóhólníihii náhodidoo'áałgi nihí índa nihada'áłchíní bił ákódaaht'į́į doo .
5:15:021:0	Áádóó ha'át'éegoda alį́į́' bąąh dahaz'ą́ągo na'niłhodgoda , doodaii' doo oo'į́įgoda , doodaii' yéego bąąh dahaz'ą́ągoda éí t'ááká Bóhólníihii nihiDiyin God bich'į' náádahołniih yíila' .
5:15:022:0	Nidi t'áá danihiníghanídi dadoohsį́į́ł , doo bi'didéehii áádóó bi'didéehii éí jádí bitsį' áádóó bįįh bitsį' yidánígi át'éego deiyą́ą doo .
5:15:023:0	T'áá hazhó'ó bidił t'éí t'áadoo daohsání ; łeeshtahjį' tó yaadzídígi át'éego ni'jį' yadahoohsíid doo .
