12:4:001:1	Asdzání bąąh áhásdįįdii be'ak'ahígíí
12:4:029:0	Nít'éé' Iiláísha éí Giihéízai ííłní, Ni'éé' nitsiist'ah gónaa náníyishgo shigish nídiitįįhgo nílááh nídiilyeed; diné ła' nidááh níyáá ládą́ą́' yá'át'ééh doo bididííniił da, índa ła'da yá'át'ééh niłníí ládą́ą́' doo bich'į' hadíídzih da, áádóó shigish éí ashkii binii' bikáá' nidíítį́į́ł. 
12:4:030:0	Áádóó ashkii bimá ání, Ts'ídá t'áá aaníí Bóhólníihii hiná índa hiníná; ákót'éego ts'ídá t'áá aaníí doo nits'ádeesháał da. Áádóó Iiláísha nídii'na'go hakéé' dah diiyá. 
12:4:031:0	Giihéízai éí halą́ąjį' ííyáago ashkii binii' bikáa'gi gish niinítą́, nidi t'áadoo hadoo'ni' da áádóó t'áadoo íists'ą'í da. Éí bąą Iiláísha bidááh níjílwodgo ábijiní, Ashkii t'áadoo nídeesgal da. 
12:4:032:0	Iiláísha éí kin góne' yah ííyáago, jó, ashkii daaztsą́ągo hatsásk'eh bikáa'gi sitį́įgo dziiłtsą́. 
12:4:033:0	Áádóó ashkii sitíní góne' yah ajííyáago ádázhdeelkaalgo Bóhólníihii bich'į' sozdoolzin. 
12:4:034:0	Áko tsásk'eh bikáá' hajiyáago ashkii bikáá' tsé'yaa dzineeztį́įgo hazéé' bee bizéé' bizhdíníit'ą́, índa hanáá' bee bináá' bizhdíníit'ą́, hála' bee bíla' bikáá' nizhdeelnii', áádóó bikáá' k'í'ázhdeests'ǫ́ǫdgo ashkii bits'íís nániidoi. 
12:4:035:0	Nít'éé' nízhdii'na'go kin bii' a łnáájídááh, áádóó ashkii bikáá' k'ínáá'ízdeests'ǫ́ǫdgo ashkii tsosts'idi háts'íyaa nídoo'niidgo deezghal. 
12:4:036:0	Áádóó Iiláísha éí Giihéízai hágo yidííniidgo ání, Shúnemdóó asdzání, Hágo, bidiní. Áko hágo bizhdííniid. Nít'éé' haa níyáago, Niyáázh nídiiłteeh, bijiní. 
12:4:003:1	Iiláísha éí Diyin God yá dahalne'ii bá álíleego í'iilaa
12:4:037:0	Áko asdzání yah ííyáago hakee'jį' nitsidinígo'go ni'jį' neeshjool, áádóó hayáázh nízhdiiłtį́įgo bił ch'ééjít'áázh. 
12:4:038:0	Áádóó Iiláísha éí Gílgal haz'ánígi náánádzá; nít'éé' ákwii kéyahgi hodííchįįd lá, áko Diyin God yá dahalne'ii bídahooł'aahígíí hadááhdóó naháaztą́ągo há naal'a'í ábijiní, Ásaa' nitsaaígíí bii' ása'íníiłgo Diyin God yá dahalne'ii bídahooł'aahígíí bá niłbéézh. 
12:4:039:0	Nít'éé' ła' ch'il jidoonishgo biniyé halgaigóó ajííyáago ch'il t'áá bíni'dii da'ítł'óhígíí bik'ízhníyá; éí bąąhdóó nidilkal yiyííbį́į'go bi'éénééz hadeezbingo néiníłtsoozgo abézhígíí yiih yiyííłgizh, nidi éí ádaat'éhígíí doo hoł béédahózin da. 
12:4:040:0	Áko éí diné deidooyį́į́ł biniyé bá hadajiizką́. Ákódzaago azhbézhígíí deiyą́ągo, hadadeeshghaazhgo ádaaní, Diyin God yá naal'a'í nílíinii, díí bee abézhí biyi' aniné hólǫ́ǫ́ lá. Éí bąą doo dajóyą́ą́' át'ée da. 
12:4:041:0	Áádóó ájíní, Aadę́ę́' ak'áán ła' nídoohjááh. Áko ak'áán azhbézhígíí biih jííłkaadgo diné bá hadahohkaah, jiní; bíni' deiyą́, jó, azhbézhígíí t'áadoo ba'át'e'í da. 
12:4:042:0	Nít'éé' Béíyal-shálisha haz'ánídę́ę́' diné léi' éí áłtsé neest'áanii tł'oh naadą́ą́' bidee'í bee bááh naadiingo ályaago índa ániid neest'ánígíí t'ah doo habé'él'éésgóó Diyin God yá naal'a'í yaa yiníjaa'. Áko Iiláísha ání, Diné deidooyį́į́ł biniyé baa nohjááh. 
12:4:043:0	Áko há naal'a'í ání, Ha'át'íísh ááhdiní? Da' díísh neeznádiin dinéhígíí bidáahgi ninishjááh? Áádóó ánáábizhdi'ní, Diné baa níjááh, bíni' deiyą́, háálá Bóhólníihii kóní, Éí da'dooyį́įłgo ła' t'áá ch'ídahidínóołnah. 
12:4:044:0	Áádóó ch'iyáán haa yíjaa'ígíí diné bidáahgi nizhníjaa'go dayííyą́ą́' áádóó Bóhólníihii t'áá ádííniidígíí bik'ehgo ła' ch'ídahineesna'.
