42:22:001:0	Now the feast of unleavened bread drew nigh , which is called the Passover .
42:22:039:0	And he came out , and went , as he was wont , to the mount of Olives ; and his disciples also followed him .
42:22:040:0	And when he was at the place , he said unto them , Pray that ye enter not into temptation .
42:22:041:0	And he was withdrawn from them about a stone's cast , and kneeled down , and prayed ,
42:22:042:0	Saying , Father , if thou be willing , remove this cup from me : nevertheless not my will , but thine , be done .
42:22:043:0	And there appeared an angel unto him from heaven , strengthening him .
42:22:044:0	And being in an agony he prayed more earnestly : and his sweat was as it were great drops of blood falling down to the ground .
42:22:045:0	And when he rose up from prayer , and was come to his disciples , he found them sleeping for sorrow ,
42:22:046:0	And said unto them , Why sleep ye ? rise and pray , lest ye enter into temptation .
42:22:047:0	And while he yet spake , behold a multitude , and he that was called Judas , one of the twelve , went before them , and drew near unto Jesus to kiss him .
42:22:048:0	But Jesus said unto him , Judas , betrayest thou the Son of man with a kiss ?
42:22:049:0	When they which were about him saw what would follow , they said unto him , Lord , shall we smite with the sword ?
42:22:050:0	And one of them smote the servant of the high priest , and cut off his right ear .
42:22:051:0	And Jesus answered and said , Suffer ye thus far . And he touched his ear , and healed him .
42:22:052:0	Then Jesus said unto the chief priests , and captains of the temple , and the elders , which were come to him , Be ye come out , as against a thief , with swords and staves ?
42:22:053:0	When I was daily with you in the temple , ye stretched forth no hands against me : but this is your hour , and the power of darkness .
42:22:054:0	Then took they him , and led him , and brought him into the high priest's house . And Peter followed afar off .
42:22:055:0	And when they had kindled a fire in the midst of the hall , and were set down together , Peter sat down among them .
42:22:056:0	But a certain maid beheld him as he sat by the fire , and earnestly looked upon him , and said , This man was also with him .
42:22:057:0	And he denied him , saying , Woman , I know him not .
42:22:058:0	And after a little while another saw him , and said , Thou art also of them . And Peter said , Man , I am not .
42:22:059:0	And about the space of one hour after another confidently affirmed , saying , Of a truth this fellow also was with him : for he is a Galilaean .
42:22:060:0	And Peter said , Man , I know not what thou sayest . And immediately , while he yet spake , the cock crew .
42:22:061:0	And the Lord turned , and looked upon Peter . And Peter remembered the word of the Lord , how he had said unto him , Before the cock crow , thou shalt deny me thrice .
42:22:062:0	And Peter went out , and wept bitterly .
42:22:063:0	And the men that held Jesus mocked him , and smote him .
42:22:064:0	And when they had blindfolded him , they struck him on the face , and asked him , saying , Prophesy , who is it that smote thee ?
42:22:065:0	And many other things blasphemously spake they against him .
42:22:066:0	And as soon as it was day , the elders of the people and the chief priests and the scribes came together , and led him into their council , saying ,
42:22:067:0	Art thou the Christ ? tell us . And he said unto them , If I tell you , ye will not believe :
42:22:068:0	And if I also ask you , ye will not answer me , nor let me go .
42:22:069:0	Hereafter shall the Son of man sit on the right hand of the power of God .
42:22:070:0	Then said they all , Art thou then the Son of God ? And he said unto them , Ye say that I am .
42:22:071:0	And they said , What need we any further witness ? for we ourselves have heard of his own mouth .
