48:3:001:1	Jew dine'é bibee haz'áanii éí doodago daats'í oodlą́ bee a'ódlí
48:3:014:0	Éí Jesus Christ át'į́, éí binahjį' Éíbraham bee bik'ihodzisdli'ii doo Jew dine'é danilíinii bee dahodooleeł, áko Jesus Christ deiniidlą́ągo baa dadzííníidlíhígíí bee Diyin God yee nihá nihoní'áanii Níłch'i Diyinii nihiih dahwiileeh. 
48:3:015:0	Shik'isóó, diné ájooníłígíí binahjį' nihił ííshją́ą́ áháshłééh: diné ła'da ha'át'íhída nidizhní'ą́ągo bee lą́ azlį́į́'dóó bik'ijį' diné náánáła' doo hats'ą́ą́' k'éé'iidoołchxǫǫł da, doo nidi saad ła' há yínéidoo'áał da. 
48:3:016:0	Jó, Diyin God yee nihwiiz'áanii éí Éíbraham índa bits'ą́ą́dóó yizhchíinii yá haadzíí'. Áko, Nits'ą́ą́dóó dayíchíihii lą'ígo, doo níi da, nidi, Nits'ą́ą́dóó yizhchíinii, níigo t'ááłá'í yeinít'ínígíí éí Christ ááhyiłní. 
48:3:017:0	Díí ááhdishní: bidziilgo Christ bee aha'deet'áanii Diyin God t'áá íídą́ą́' yee lą́ asłį́į'ii, dį́įdi neeznádiindóó ba'aan tádiin nááhaidóó bik'ijį' bee haz'áanii Mózes yeidiní'áanii doo łahgo ánéidoodlíił da, áko éí yee nihwiiz'áanii doo t'áadoo nídoodleełí da. 
48:3:018:0	Háálá Éíbraham bíí' dooleełii éí bee haz'áanii bik'eh hól'ínígíí binahjį' hwee nidahwiileehgo, Diyin God éí Éíbraham yá yee nihoní'áanii doo binahjį' da doo nít'éé'. Nidi yá yee nihoní'áanii binahjį' baa deet'ą́. 
48:3:019:0	Ákoshą' ha'át'íí biniyé Jew dine'é bee haz'áanii bá ályaa? Ádił nida'iilzíihii ádaa ákodadínóodzįįł biniyé doochíiłii aa deet'ánígíí yizhchį́įjį' há ályaa. Áko díí bee haz'áanii Diyin God éí diyingo nidaal'a'í binahjį' Jew dine'é yá sizíinii baa deet'ą́. 
48:3:003:1	Bee haz'áanii biniyé át'éii
48:3:020:0	Nizhdilt'éego t'éiyá hata' sizínígíí hólǫ́ǫ doo. Jó nidi Diyin God éí t'ááłá'í. 
48:3:021:0	Áko daats'í bee haz'áanii éí Diyin God yee nihoní'áanii yik'ijį' naalnish? Ts'ídá dooda lą́ą! Háálá bee haz'áanii hinááh áda'ale' dooleełígíí nihaa yílyáago, ts'ídá t'áá ákogi é'ét'éego ó'oolíił doo nít'éé'. 
48:3:022:0	Nidi Diyin God bizaad bee ak'e'ashchíinii áníigo t'áá ádzíłtso bąąhági át'éii biyaa nazhnideeh, éí bąą Jesus Christ dajoodląąhgo t'éiyá Diyin God yee nihoní'áanii hwee dahodooleeł. 
48:3:023:0	Nidi Christ deidiidląąłígíí t'ah doo yichííhdą́ą́' bee haz'áanii nihee ádíhólnííh nít'éé'. Nihida'oodlą' bee yisdánihidi'doo'niłígíí yit'íní áyiilaajį' nihee ádíhólnííh nít'éé'. 
48:3:024:0	Nihe'oodlą' bee ts'ídá t'áá ákogi ádaniit'éego Diyin God nihá hadoodzih biniyé Christ níyáago bee haz'áanii biyaa háánihoo'niljį' biyaa sii'nil nít'éé'. 
48:3:025:0	Nidi k'ad Christ deiniidlą́ągo bee haz'áanii doo nihee ádíhólníih da. 
48:3:026:0	Háálá Christ Jesus deinohdlánígíí bee t'áá ánółtso Diyin God ba'áłchíní danohłį́. 
48:3:027:0	Háálá nohłą'í Christ bił łá'í soolį́į'go tó bee danihi'doolzį́'ígíí Christ bee hadadoohdzaago t'áá binoołt'é dasoolį́į́'. 
48:3:028:0	Éí bąą Jew dine'é índa Gríik dine'é nohłíinii doo ał'ąą ádanoht'ée da; naalte' índa doo naalte' nohłíinii doo ał'ąą ádanoht'ée da; biką'ii índa bi'áadii nohłíinii doo ał'ąą ádanoht'ée da, háálá t'áá ánółtso Christ Jesus bee łá'í nohłį́. 
48:3:029:0	Áko Christ bíí' danohłį́įgo Éíbraham ba'áłchíní danohłį́, áko Éíbraham baa deet'áanii danihí. 
