48:2:001:1	Paul áádóó Jerúsalemdi da'oodlání yá naazíinii
48:2:013:0	Áko ła' Jew dine'é da'oodlání danilíinii Peter t'áá yik'ehgóó ádaat'į́įgo yaa nídiikai. Bárnabas nidi áájí izhdiilwod. 
48:2:003:1	Doo Jew dine'é danilíinii áádóó Jew dine'é danilíinii ałdó' bi'oodlą' yee yisdánáákai
48:2:014:0	Nidi hane' yá'át'éehii biyi'dóó t'áá aaníinii doo k'éhézdongo bik'eh dajíkááhgóó shił bééhoozingo t'áá ałtso dabinááł Peter áhodííniid, Azhą́ lá ni Jew dine'é nílį́į nidi, Jew dine'é bibee haz'áanii doo bik'eh hinínáágóó, nidi doo Jew dine'é nilíinii hinánígi át'éego hinínáago, ha'át'éegoshą' doo Jew dine'é danilíinii éí Jew dine'é dahinánígi át'éego dahináago ádíílííł? 
48:2:015:0	Azhą́ nihí Jew dine'é daniidlį́įgo danihi'dizhchį́į nidi, doo Jew dine'é danilíinii bąąhági ádaaníłígíí doo ákódaniit'ée da, 
48:2:016:0	shą́ą́' Jew dine'é bibee haz'áanii bik'eh hól'ínígíí binahjį' doo ła'da t'áá ákogi ájít'éego há ha'doodzih da, nidi Jesus Christ joodlą́ągo baijólíhígíí t'éiyá binahjį' t'áá ákogi ájít'éego há ha'doodzihgo nihił béédahózin. Nihíyee' éí Christ deiniidlánígíí bee ts'ídá t'áá ákogi ádaniit'éego nihá hada'doodzih biniyé Christ Jesus deisiidląąd, nidi bee haz'áanii bik'eh dahoniil'ínígíí bee éí dooda, háálá bee haz'áanii t'óó bik'eh hojíł'į́įgo doo ła'da ts'ídá t'áá ákogi ájít'éego bee há ha'doodzih da. 
48:2:017:0	Áko Christ bee ts'ídá t'áá ákogi ádaniit'éego bee nihá ha'doodzihígíí hádeiit'į́įgo nihí ałdó' ádił nida'ayiilzíihgo bee nihéédahoozingo, da' ákoósh Christ ádił ni'iidzííh yiih nihíínil? Ts'ídá dooda lą́ą! 
48:2:018:0	Nidi bee haz'áanii bi'íínísingo nihéłchǫ'ígíí hasht'enáshdléehgo baa nídiisdzáago t'áadoo bahat'aadí bee haz'áanii bee ádihodiisht'i' doo. 
48:2:019:0	Diyin God bá hinishnáa doo biniyé Jew dine'é bibee haz'áanii bee shá nihoot'ą́ągo dasétsą́ą́ lágo shił bééhoozin. 
48:2:020:0	Jó, Christ bił tsin ałnáoszid bąąhjį' shił o'oolkaal, áko k'ad hinishnánígíí éí doo t'áá shí hinishnáa da, nidi Christ shii' hinánígíí bee hinishná, áko k'ad hinishnánígíí éí Diyin God biYe' ayóó'áshó'níigo shá daaztsáanii baa jííníshłíhígíí bee hinishná. 
48:2:021:0	Diyin God bibee ajooba' doo nahjį' kóshłéeh da, háálá bee haz'áanii éí Diyin God binááł diné ts'ídá t'áá ákogi ádaat'é ádeiile'go t'áadoo biniyéhígóó Christ daaztsą́ą doo nít'éé'!
