11:7:001:1	Solomon’s Palace
11:7:030:0	Now each stand had four bronze wheels with bronze axles , and its four feet had supports ; beneath the basin were cast supports with wreaths at each side .
11:7:031:0	Its opening inside the crown at the top was a cubit , and its opening was round like the design of a pedestal , a cubit and a half ; and also on its opening there were engravings , and their borders were square , not round .
11:7:032:0	The four wheels were underneath the borders , and the axles of the wheels were on the stand . And the height of a wheel was a cubit and a half .
11:7:033:0	The workmanship of the wheels was like the workmanship of a chariot wheel . Their axles , their rims , their spokes , and their hubs were all cast .
11:7:034:0	Now there were four supports at the four corners of each stand ; its supports were part of the stand itself .
11:7:035:0	On the top of the stand there was a circular form half a cubit high , and on the top of the stand its stays and its borders were part of it .
11:7:036:0	He engraved on the plates of its stays and on its borders , cherubim , lions and palm trees , according to the clear space on each , with wreaths all around .
11:7:037:0	He made the ten stands like this : all of them had one casting , one measure and one form .
11:7:038:0	He made ten basins of bronze , one basin held forty baths ; each basin was four cubits , and on each of the ten stands was one basin .
11:7:039:0	Then he set the stands , five on the right side of the house and five on the left side of the house ; and he set the sea of cast metal on the right side of the house eastward toward the south .
11:7:040:0	Now Hiram made the basins and the shovels and the bowls . So Hiram finished doing all the work which he performed for King Solomon in the house of the Lord :
11:7:041:0	the two pillars and the two bowls of the capitals which were on the top of the two pillars , and the two networks to cover the two bowls of the capitals which were on the top of the pillars ;
11:7:042:0	and the four hundred pomegranates for the two networks , two rows of pomegranates for each network to cover the two bowls of the capitals which were on the tops of the pillars ;
11:7:043:0	and the ten stands with the ten basins on the stands ;
11:7:044:0	and the one sea and the twelve oxen under the sea ;
11:7:045:0	and the pails and the shovels and the bowls ; even all these utensils which Hiram made for King Solomon in the house of the Lord were of polished bronze .
11:7:046:0	In the plain of the Jordan the king cast them , in the clay ground between Succoth and Zarethan .
11:7:047:0	Solomon left all the utensils unweighed , because they were too many ; the weight of the bronze could not be ascertained .
11:7:048:0	Solomon made all the furniture which was in the house of the Lord : the golden altar and the golden table on which was the bread of the Presence ;
11:7:049:0	and the lampstands , five on the right side and five on the left , in front of the inner sanctuary , of pure gold ; and the flowers and the lamps and the tongs , of gold ;
11:7:050:0	and the cups and the snuffers and the bowls and the spoons and the firepans , of pure gold ; and the hinges both for the doors of the inner house , the most holy place , and for the doors of the house , that is , of the nave , of gold .
11:7:051:0	Thus all the work that King Solomon performed in the house of the Lord was finished . And Solomon brought in the things dedicated by his father David , the silver and the gold and the utensils , and he put them in the treasuries of the house of the Lord .
