40:17:001:1	Łahgo ázhnoolningo áho'diilyaa
40:17:011:0	Nít'éé' ánáábizhdoo'niid, Iiláíjah t'áá aaníí áłtsé doogáałgo t'áá ałtsoní hasht'éidoodlííł, 
40:17:012:0	nidi shí ánihidishní, Iiláíjah t'áá íídą́ą́' níyá, nidi t'áadoo yéédahoosįįd da, áko t'áá bídanízinígi ádayííł'įįd. T'áá ákót'éego ałdó' Diné Silį́į'ii atídeidoolííł. 
40:17:002:1	Jesus éí ashkii níłch'i bi'iiníziinii bii' hólóonii hadaałt'é ánáyiidlaa
40:17:013:0	Áko índa John Tó Yee Asį́įhii baa yájíłti'go ídahooł'aahii ak'ida'diitą́. 
40:17:014:0	Áko diné yíl'áhígíí baa níjíkaigo diné léi' haa níyá, áádóó kóníigo hach'į' nitsidinígo', 
40:17:015:0	Bóhólníihii, shiye' baa jiiníbaah, háálá tsi'nídídááh, áko t'áá íiyisí ti'náhoo'nih; jó, t'áá ahą́ą́h tsídza nágoh, áádóó t'áá ahą́ą́h taah nágoh. 
40:17:016:0	Áko nídahooł'aahii bił baa ní'áazhgo, náádeidiiłáahgo ch'ééh ádayííł'įįd. 
40:17:017:0	Áko Jesus haadzíi'go áhodííniid, Doo da'iinohdláanii índa diné bízhą́ da'ílį́įgo ahoolchíiłii danohłíinii, haash nízáagi nihił honishłǫ́ǫ doo? Haash nízáagi nihich'į' ha'ííníshníi dooleeł? Níláhdę́ę́' hoł shaa nohkááh. 
40:17:018:0	Áko Jesus éí níłch'i bi'iiníziinii yideezteh, áko ashkii yiyi'dę́ę́' hahóóle'go t'áá áko ashkii náábi'diilzá. 
40:17:019:0	Nít'éé' ídahooł'aahii éí Jesus t'áá sáhí yaa yíkaigo ádeidííniid, Hait'éegoshą' nihí hadaniilchéehgo ch'ééh ádeiil'įįd? 
40:17:020:0	Áko ábijiní, T'įįhdígo nihe'oodlą' bee aa dadzíínóhłíhígíí lá biniinaa ni. Háálá t'áá aaníígóó ánihidishní, Nihe'oodlą' éí ch'il mástad wolyéhígíí bílástsii'gi áníshéii nidi, díí dził si'ánígíí, Kodóó hidí'nááh áádóó níléidi ninílts'ííd, bidooniidgo hidoo'nááł, áko t'áá ałtsoní doo ch'ééh ádaał'į́į da doo. 
40:17:003:1	Jesus bidi'yoolyéłígíí yaa nááhálne'
40:17:021:0	[Nidi sohodizingo áádóó hodílzingo doo adą́ą́góó t'éiyá níłch'i bida'iiníziinii kódaat'éhígíí hadínóolkał.] 
40:17:022:0	Áko Gáliliigi nidzíiztą́ągo Jesus áhodííniid, Diné Silį́į'ii diné bílák'eejį' ninádidoot'áałgo, 
40:17:004:1	Kin bii' sohodizin béeso bá nandeehgo nahalyéii
40:17:023:0	dabidiyoołhééł, áádóó tágí jį́ aleeh góne' náábidi'doodlááł. Áko t'áá íiyisí bąąh daháni'. 
40:17:024:0	Áádóó Kapérniyamgi jíkaigo, kin bii' sohodizin bá béeso ahindéhígíí áłah áńdayiil'įįhii Peter yaa yíkaigo ádeidííniid, Da' Jesus nanihinitiníísh kin bii' sohodizin bá béeso ahindéhígíí nayiilé? 
40:17:025:0	Áko, Aoo', jidííniid. Áádóó hooghandi nídzídzáago, t'áadoo hadzidziihí Jesus hach'į' haadzíi'go áháłní, Sáíman, díí haa yinízingo baa nitsíníkees? Nahasdzáán bikáá'góó aláahgo naat'áanii danilínígíishą' háí tax bich'į' nidayiilé? Bidine'é daats'í, éí doodago dé'éyóní daats'í? 
40:17:026:0	Peter t'ą́ą́' hanáádzíi'go ání, Dé'éyóní lą́ą. Jesus ábidííniid, Éí lá bąą bidine'é doo bidahodiit'i' da ni. 
40:17:027:0	Ákondi doo ákǫ́ǫ́ át'éii doo yee nihaa nídadóot'įįłígíí biniyé be'ek'idgóó dínááh, áádóó áadi łóó' bee hahadleehí taah dííłdił, áko łóó' áłtsé háínílo'ígíí bizéé' ąą íinilaago béeso, shékel wolyéhígíí, bizéé' si'ą́ą doo; éí dah didíí'áałgo bee shá índa t'áá ni ádá ni'díílééł.
