12:21:001:1	Manáseh nant'áá nít'éé'
12:21:011:0	Júdah dine'é aláahgo binanit'a'í Manáseh éí díí doo daaldinii yaa naayá, áádóó Ámor dine'é hátséedi ádáát'įįdii t'áá át'é biláahgo doo yá'áshóonii yaa naayá, índa Júdah dine'é ałdó' eda'alyaii yee nida'iisííh yiih yiyíínil. 
12:21:012:0	Éí bąą Ízrel biDiyin God Bóhólníihii kóní, Jó, Jerúsalemgi dine'é áádóó Júdah dine'é bik'ijį' doo yá'ádaashóonii ádaat'éhígíí kóshłééh, áko t'áá háiida yaa dahodiizts'ą́'ígíí bik'ee t'áá ałch'ijí bijeeh dahosiilts'įįh doo. 
12:21:013:0	Áádóó Samériya kin haal'áagi tł'óół bee í'neel'ąąhí índa Éíhab ba'áłchíní náás ahoolchíiłii k'éhézdon tł'óół náát'i'ígíí éí Jerúsalem kin haal'áii bee bídadí'néesh'ąął, áádóó diné éí łeets'aa' yit'oodgo yaa nii'áhígi át'éego Jerúsalem t'áá át'é bii' hahodeesht'oł. 
12:21:014:0	Áko dine'é shíí' nilį́įgo yidziihígíí yóó'adideesh'áałgo hoda'ana'í baa hodideesh'ááł; hoda'ana'í t'áá ałtso hadahontáa doo áádóó bąąh oogą́ą'ii dajílį́į doo. 
12:21:015:0	Háálá dahazhé'é yę́ę Ííjipdę́ę́' ch'ínínáádóó díí jį́įjį' doo yá'ádaashóonii shinááł baa nidziskaigo bee shá dahojííłchįįd. 
12:21:016:0	Júdah dine'é nida'iisíihgo ájiilaa yę́ę Bóhólníihii binááł doo yá'áshóonii yaa naaskaígíí t'ah biláhídi át'éego Manáseh éí ba'át'e' ádaadinii t'óó ahayóigo neistseedgo bidił dadeezna'; Jerúsalem kin haal'áagi t'áá nidahonees'ą́ąjį' daneeznánígíí nihidíbéezhgo áyiilaa. 
12:21:017:0	Manáseh łahjį' ádzaii áádóó yaa naayáhígíí t'áá át'é índa bee ádił nidziisíhígíí éí Júdah dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:21:002:1	Éíman nant'áá nít'éé'
12:21:018:0	Áko Manáseh éí dabizhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazh, áádóó t'áá hó haghandóó bighą́ąhjį' dah náháltsogi Ázza wolyéii bikéyahgi yóó'áho'diilyaa, áádóó haye' Éíman hatsásk'ehgi aláahgo naat'áanii silį́į́'. 
12:21:019:0	Éíman naadiin naaki binááhaigo aláahgo nant'á silį́į́'; Jerúsalem kin haal'áagi aláahgo naat'áanii nilį́įgo naaki nááhai. Bimá éí Miishóliimeth wolyé; éí Játbahdóó diné Héíraz yitsi' nilį́į́ nít'éé'. 
12:21:020:0	Áádóó hazhé'é yę́ę Manáseh áát'įįdígi át'éego Bóhólníihii binááł doo yá'ádaashóonii baa nijigháá nít'éé'. 
12:21:021:0	Áko hazhé'é yę́ę yaa naagháago bíyoołkááł nít'é'ígíí éí t'áá át'é bik'ehgo joogááł nít'éé' áádóó eda'alyaii hazhé'é yę́ę yich'į' nahałá nít'é'ígíí bich'į' nahojiłáá nít'éé'. 
12:21:022:0	Dahazhé'é yę́ę biDiyin God Bóhólníihii yóó'azhdíí'ą́; Bóhólníihii t'áadoo yik'ehgo naayáa da. 
12:21:023:0	Nít'éé' aláahgo naat'áanii Éíman há nidaal'a'í hodahodeez'ą́ągo t'áá hó haghan góne' dahwiisxį́. 
12:21:024:0	Áko kéyahdóó dine'é éí aláahgo naat'áanii Éíman yindahaz'ánígíí ałtso nideistseed, áádóó kéyahdóó dine'é éí Éíman biye' Josáíyah hatsásk'ehgi aláahgo naat'áanii ádayiilaa. 
12:21:025:0	Éíman łahjį' ádzaii éí yaa naayáhígíí Júdah dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:21:026:0	Áko Ázza bikéyah dah náháltsogi ákwii t'áá hó hatséní'ootséél góne' yóó'áho'diilyaa, áádóó haye' Josáíyah hatsásk'ehgi aláahgo naat'áanii silį́į́'.
