12:8:001:1	Shúnemdóó asdzání bikéyah baa nídeet'ą́
12:8:003:1	Jiihóram éí Júdah kéyahgi nant'áá nít'éé'
12:8:015:0	Nít'éé' biiskání na'at'ą́hí ditánígíí tó béédzístsoozgo binii' bik'ídzísti', áko daaztsą́, áádóó Házeiyel hatsásk'ehgi aláahgo naat'áanii silį́į́'. 
12:8:016:0	Ízrel dine'é aláahgo binanit'a'í Éíhab biye' Jóram nant'áago ashdla' náhááh góne' Jiiháshafat éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo Jiiháshafat biye' Jiihóram aláahgo nant'á silį́į́'. 
12:8:017:0	Tádiindóó ba'aan naaki binááhaigo aláahgo naat'áanii silį́į́', áádóó Jerúsalemgi nant'áago tseebíí nááhai. 
12:8:018:0	Ízrel dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę bik'ehgo t'áá Éíhab ba'áłchíní náás ahoolchíiłii ádaat'į́į́ nít'éé' yę́ęgi át'éego joogááł, háálá Éíhab bitsi' éí hwe'asdzą́ą́, áko Bóhólníihii binááł doo yá'áshóonii baa nijigháá nít'éé'. 
12:8:019:0	Nidi Bóhólníihii bá naal'a'í David yę́ę binahjį' bí áádóó ba'áłchíní t'áá áłahjį' bá hool'ingo yee yá nihoní'ánígíí bik'ehgo Júdah dine'é náás ahoolchíiłii doo áyółdįįh át'ée da.  
12:8:020:0	Jiihóram bíyoołkááł yę́ędą́ą́' Íídam dine'é éí Júdah dine'é bee bóhólníihii yich'į' nidaastee'go yits'ą́ąjį' daazlį́į'go aláahgo naat'áanii ádá nideistį́. 
12:8:021:0	Nít'éé' Jiihóram éí tsindaabąąs bijáád naakiígíí yee nidaabaahii t'áá át'é Zéíyer kin shijaa'góó yił dah diikai, áko éí áádóó tsindaabąąs bijáád naakiígíí yee nidaabaahii bindanit'a'í tł'ée'go náhizhdiijée'go Íídam dine'é bisiláo hazénáshzhiizhígíí bik'i jiijéé', áádóó diné dabighan yich'į' anídahineezhchą́ą́'. 
12:8:022:0	Áko díí jį́įjį' Íídam dine'é éí Júdah dine'é yich'į' nidaastee'. Líbnah dine'é ałdó' íídą́ą́' hach'į' nidaastee'. 
12:8:023:0	Áádóó Jiihóram łahjį' áát'įįdígíí áádóó t'áá ałtso yaa naayáhígíí Júdah dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:8:004:1	Eihazáíyah éí Júdah kéyahgi nant'áá nít'éé'
12:8:024:0	Nít'éé' Jiihóram éí bizhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazh, áko David yę́ę bikin haal'áhígi dahazhé'é yę́ę yóó'ádaalyaaígi yóó'áho'diilyaa, áádóó haye' Eihazáíyah hatsásk'ehgi aláahgo naat'áanii náánásdlį́į́'. 
12:8:025:0	Ízrel dine'é aláahgo binanit'a'í Éíhab biye' Jóram nant'áago naakits'áadah náhááh góne' Júdah dine'é aláahgo binanit'a'í Jiihóram biye' Eihazáíyah aláahgo naat'áanii silį́į́'. 
12:8:026:0	Eihazáíyah naadiin naaki binááhaigo aláahgo naat'áanii silį́į́', áádóó Jerúsalemgi nant'áago t'ááł á'í nááhai. Bimá éí Athaláíyah wolyéego Ízrel dine'é aláahgo binanit'a'í Ámrii yitsi' nilį́. 
12:8:027:0	Áko Éíhab yaa naayáhígíí yik'ehgo yigáałgo doo yá'ádaashóonii t'áá Éíhab bighandóó ádaadzaa yę́ęgi át'éego Bóhólníihii yinááł yaa naagháá nít'éé', háálá Éíhab bighandóó ła' yaadaaní nilį́į́ nít'éé'. 
12:8:028:0	Áádóó Eihazáíyah éí Éíhab biye' Jóram yił Síriya dine'é aláahgo binanit'a'í Házeiyel Réímath-gíliyad kin haal'áagi yik'ijį' naabaahgo Síriya dine'é bisiláo éí Jóram hadayííłk'ęh. 
12:8:029:0	Nít'éé' aláahgo naat'áanii Jóram éí Réímah kin haal'áadi Síriya dine'é aláahgo binanit'a'í Házeiyel yik'ijį' naabaah yę́ędą́ą́' habi'doolk'ęh yę́ę nídooldzih biniyé Jézriyel kin haal'áágóó anáádzá. Nít'éé' Júdah dine'é aláahgo binanit'a'í Jiihóram biye' Eihazáíyah éí Jézriyeldi Éíhab biye' Jóram daatsaahgo biniinaa ákóyaa yich'į' ííya.
