12:14:001:1	Amazáíyah nant'áá nít'éé'
12:14:011:0	Nidi Amazáíyah doo íists'ą́ą' da. Éí bąą Ízrel dine'é aláahgo binanit'a'í Jiihó'ash éí Júdah dine'é aláahgo binanit'a'í Amazáíyah yich'į' ákóde ííyáago éí Júdah kéyahgi Beth-shíímesh kin shijaa'di ałch'į' nizhní'áázh. 
12:14:012:0	Áádóó Ízrel dine' é éí Júdah dine'é yik'eh dadeesdlį́į'go diné t'ááłá'í nítínígo dabighangóó anídahineezhchą́ą́'. 
12:14:013:0	Áko Ízrel dine'é aláahgo binanit'a'í Jiihó'ash éí Júdah dine'é aláahgo binanit'a'í Amazáíyah éí Eihazáíyah binálí Jiihó'ash biye' nilį́įgo Beth-shíímeshgi yisná áádóó Jerúsalemjį' níyáago Jerúsalem ditą́ągo binaa ahéé'ítł'inígíí Íífreiyim yah a'atiinídóó bee nástł'ahgi aań'dítį́híjį', éí hastą́ądi neeznádiin adées'eez bíighahjį' naa adeineeskaad. 
12:14:014:0	Áko Bóhólníihii bikin bii' sohodizin góne' óola áádóó béésh łigaii índa łeets'aa' bik'ídajiiskaígíí índa aláahgo naat'áanii bighandóó naalye'é nídayiizlá'ígíí áádóó diné dadzisnánígíí bił Samériya kin haal'áágóó t'ą́ą́' aníjookai. 
12:14:015:0	Áko Jiihó'ash łahjį' ádzaaígíí éí yaa naayáhígíí índa yee ayóó át'éé nít'é'ígíí áádóó Júdah dine'é aláahgo binanit'a'í Amazáíyah yił anaa' ahił'į́į́ nít'é'ígíí éí Ízrel dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:14:016:0	Nít'éé' Jiihó'ash éí dabizhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazhgo Samériyagi Ízrel dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę yóó'ádaalyaaígi yóó'áho'diilyaa, áádóó haye' Jerobówam hatsásk'ehgi aláahgo naat'áanii nant'á silį́į́'. 
12:14:017:0	Ízrel dine'é aláahgo binanit'a'í Jiihó'ahaz biye' Jiihó'ash daaztsą́ą́dóó bik'ijį' Júdah dine'é aláahgo binanit'a'í Jó'ash biye' Amazáíyah hináago ashdla'áadah nínáánááhai. 
12:14:018:0	Áádóó Amazáíyah łahjį' ádzaaígíí éí Júdah dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:14:019:0	Áko Jerúsalemgi hondahaz'ą́ągo Léíkish kin haal'áágóó azhnííchą́ą́', nidi ákǫ́ǫ́ hakéé' ada'as'a'go áadi dahwiisxį́. 
12:14:020:0	Áádóó łį́į́' yee nídahastį́įgo Jerúsalem éí David yę́ę bikin haal'áhígi dahazhé'é yę́ę yóó'ádaalyaagi yóó'ádahojiilaa. 
12:14:021:0	Áádóó Júdah dine'é t'áá ałtso éí Azaráíyah hastą́'áadah binááhaigo hazhé'é Amazáíyah yę́ę bitsásk'ehgi aláahgo naat'áanii nilį́įgo ádahoolaa. 
12:14:002:1	Jerobówam nant'áá nít'éé'
12:14:022:0	Aláahgo naat'áanii Amazáíyah éí dabizhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazhdóó bik'ijį' Azaráíyah éí Íílath kin haal'áii hasht'ééyiidlaago Júdah dine'é yaa néidiní'ą́. 
12:14:023:0	Júdah dine'é aláahgo binanit'a'í Jó'ash yę́ę biye' Amazáíyah nant'áago ashdla'áadah náhááh góne' Ízrel dine'é aláahgo binanit'a'í Jó'ash yę́ę biye' Jerobówam éí Samériya kin haal'áagi aláahgo nant'á silį́į́' áádóó nant'áago dízdiindóó ba'aan t'ááłá'í nááhai. 
12:14:024:0	Áádóó Bóhólníihii binááł doo yá'ádaashóonii yaa naayáago Nííbat biye' Jerobówam yee ni'iisí'ígíí t'áá át'é éí bee Ízrel dine'é nida'iisíihgo áyiilaii t'áadoo yóó'iidíí'ą́ą da. 
12:14:025:0	Gath-híífer kin shijaa'dóó Diyin God yá halne'ii Amítai biye' Jónah éí Bóhólníihii Ízrel biDiyin God yá naal'a'í yee yich'į' haadzí'ígíí bik'ehgo Jerobówam éí Héímath kin haal'áádóó, dzígai Árabah hoolyéedi tónteel siyíníjį', éí kéyah t'áá nidanees'áníjį' shónáyoost'e'. 
12:14:026:0	Áko Ízrel dine'é t'áá íiyisí bik'e'ashch'íi'go bich'į' nidahwii'náá lágo Bóhólníihii yiyiiłtsą́; jó, Ízrel dine'é naalte', doodaii' doo naalte' nilíinii bíká adoolwołígíí doo ła' daadzíi' da. 
12:14:027:0	Nidi, Bóhólníihii éí yá'ąąsh biyaadóó Ízrel dine'é bízhi' nahjį' kódeesh łííł, doo dííniid da, nidi Jó'ash biye' Jerobówam yee yisdáhóónil. 
12:14:028:0	Áko Jerobówam łahjį' ádzaaígíí áádóó yaa naayáhígíí t'áá át'é índa yee ayóó át'éé nít'éé' yę́ę áádóó naazbaa'go Damáskas kin haal'áii índa Héímath kin haal'áii éí Júdah dine'é bí nít'é'ígíí Ízrel dine'é yá shónáyoost'e'ígíí éí Ízrel dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:14:029:0	Áádóó Jerobówam éí dahazhé'é yę́ę t'áá éí Ízrel dine'é aláahgo bindanit'a'í da'iiłhaazhígi át'éego ajiiłhaazh, áko haye' Zakaráíyah hatsásk'ehgi aláahgo nant'á silį́į́'.
