12:19:001:1	Júdah dine'é éí Senákerib bits'ą́ąjį' yisdáánil
12:19:014:0	Heziikáíyah éí hane' nidei'áhí naaltsoos haa deistsoozgo jííłta', áádóó Heziikáíyah éí Bóhólníihii bikin bii' sohodizin góde hajiyáago Bóhólníihii bidááhdóó nizhníłtsooz. 
12:19:015:0	Áko Heziikáíyah éí Bóhólníihii yich'į' kóníigo sodoolzin, Ízrel biDiyin God Bóhólníihii nílíinii, diyingo naal'a'í chérabim bita'gi honílóonii, t'áá ni t'éiyá nihokáá'góó bee ídahólníihii t'áá ałtso biDiyin God nílį́; yádiłhił índa nahasdzáán íinilaa. 
12:19:016:0	Bóhólníihii, shich'į' dah díníit'aahgo shíísíníłts'ą́ą́', Bóhólníihii nílíinii, díghaałgo díní'į́į́' áádóó Senákerib saad yee hahaasdzíi'ii diits'į́į́h; éí yiyííł'aadgo Diyin God hináanii yá nahast'i'. 
12:19:017:0	Bóhólníihii nílíinii, Asíriya dine'é aláahgo binanit'a'í danilíinii t'áá aaníí ał'ąą dine'é íísdįįd áádóó bikéyah dayííłchxǫ', 
12:19:018:0	áádóó bidiyin dabidi'níinii adeideesk'ą́ą́'; jó, éí doo diyin da nít'éé', nidi tsé índa tsin ádaat'éego diné ádabiilaa; éí bąą ádeisdįįd. 
12:19:019:0	Éí bąą k'ad, Bóhólníihii nihiDiyin God nílíinii, nánooshkąąh, nihokáá'góó bee ídahólníihii éí t'áá ni t'éiyá Bóhólníihii Diyin God nílį́įgo bił béédahodoozįįł biniyé éí bits'ą́ąjį' yisdánihínííł. 
12:19:020:0	Áko Éímaz biye' Aizéíyah éí Heziikáíyah yich'į' i'ííł'a' kóníigo, Ízrel dine'é biDiyin God Bóhólníihii nilíinii ání, Asíriya dine'é aláahgo binanit'a'í Senákerib bik'ijį' sodíínílzinii éí diséts'ą́ą́'. 
12:19:021:0	Díí saad éí hodéét'i'go Bóhólníihii yee haadzíí', Ch'ikę́ę́h Záíyan bich'é'é nilíinii niz'įįdgo áádóó neiidlohgo ná nahast'i'; Jerúsalem bich'é'é nilíinii nich'į' bitsiits'iin yiyíígháád. 
12:19:022:0	Háísh baa'ihgo bá nahółt'i'go yínídzíí'? Háíyee' bich'į' t'áá na'níle'dii háínídzíí'? Háíyee' bich'į' ádaa dzíínídlíigo háíníghal? Ízrel dine'é biDiyin nilíinii bich'į' lą́ą. 
12:19:023:0	Hane' ná nidei'áhí bee Bóhólníihii bá nahosíníłt'i'go ádííníniid, Shitsindaabąąs bijáád naakiígíí t'óó ahayóigo bee dził aghádaaz'áá góde áádóó Dził Lébanan bíniinahjį' hadeesháałgo gad naazkaadii ayóó ádaníłnézígíí áádóó ch'ó ayóó ádanoolninii deestsił áádóó kéyah nidanees'ą́ą́góó dahooghangóó yah ahideeshááł índa Dził Kármel bitsin yíl'áhígíí bitahgi nideeshááł. 
12:19:024:0	Tó hadahánil áádóó dé'éyóní dabito' yishdlą́ą́'; Ííjip kéyahgi tooh danílínígóó tádííyáago ałtso néíłtsei. 
12:19:025:0	Da' doósh ałk'idą́ą́' baa niséyáhígíí baa hosidíníts'ą́ą' da? Ałk'idą́ą́' binahosí'áanii éí bohoolyaago áshłaa. Kót'éego kin hadaas'á ditą́ągo binaa ahééda'astł'inígóó ałtso dááchxǫ'go yáádaa'áago íinilaa. 
12:19:026:0	Éí bąą ákwii kéédahat'į́į́ nít'é'ígíí bibee adziilii ádaadin nít'éé', áko nitseekaigo t'óó bił dahóóląąd; halgaidóó ch'ilígíí áádóó ch'il dit'ódí áádóó kin bighą́ą́'dóó ch'il hadaneesánígíí índa tł'oh naadą́ą́' t'ah doo díníséégóó t'áá áajį' ásdįįdígíí nidahalin nít'éé'. 
12:19:027:0	Nidi kééhót'į́įgi áádóó ch'éénídáahgi índa yah anánídáahgi áádóó shich'į' náháchį'ígíí shił bééhózin. 
12:19:028:0	Shich'į' náháchį'ígíí áádóó yéego náháchį'go diséts'ą́'ígíí biniinaa shibéésh názhahígíí níchį́į́h bighá deestsih índa she'azáát'i'í nizadeesht'ih áádóó yíníyáhádę́ę́' ákǫ́ǫ́ t'ą́ą́' kónándeeshdlííł. 
12:19:029:0	Áko díí nich'į' bee ééhózin doo: Díí yihahígíí nanise' t'áá bí hadahineesáanii éí niyą́ą doo áádóó naaki náhááh góne' t'áá ákót'éego hadaneesánígíí bąąh náá'ídą́ą doo áádóó táá' náhááh góne' k'idi'díílééł áádóó adííyish índa ch'il na'atł'o'ii k'ididííléełgo bineest'ą' niyą́ą doo. 
12:19:030:0	Áádóó Júdah dine'é daadziihígíí éí yóó'adahineezhchą́'ígíí behétł'óól łeeh dadínóoséełgo áádóó dego dadínóoséełgo bineest'ą' dahodooleeł. 
12:19:031:0	Jó, daadziihígíí Jerúsalem kin haal'áádóó ch'ídookah; t'áá éí Dził Záíyandóó yisdádahineezhchą́'ígíí t'áá ałtsoní bee Bóhólníihii hóneedlį́įgo haa hą́ą́h nízingo ákódoonííł. 
12:19:032:0	Éí bąą Bóhólníihii éí Asíriya dine'é aláahgo binanit'a'í bídéét'i'go haadzíi'go ání, Díí kin haal'áajį' doo yah adoogáał da áádóó bik'aa' doo áajį' yee azdoołt'oh da índa naagé doo bidáahjį' yił nidoogáał da; tsé ahénátł'inígíí doo bíilk'idgo íidoolíił da. 
12:19:033:0	Bóhólníihii haadzíi'go ání, Jiníyáhádę́ę́' ákǫ́ǫ́ t'ą́ą́' nihéézhdoodááł; díí kin haal'áajį' doo yah azhdoogáał da. 
12:19:034:0	Háálá díí kin haal'áhígíí shá doodzih áádóó shá naal'a'í yę́ę David bá doodzih biniyé bich'ą́ą́h naasháa doo. 
12:19:035:0	Nít'éé' t'áá éí bitł'éé' Bóhólníihii bidiyingo naal'a'í honíle'go Asíriya dine'é bisiláo dah yinéłígi t'ááłáhídi neeznádiindóó ba' aan tseebídiindóó ba'aan ashdladi mííl siláo neistseed, áko hoos'įįdgo nízhdiijée'go, shoo, éí t'áá ałtso daneeznáá lá! 
12:19:036:0	Áko Asíriya dine'é aláahgo binanit'a'í Senákerib dah diiyáago bighangóó t'ą́ą́' anáádzáago Nínevehgi kin haal'áagi kééhat'į́į́ nít'éé'. 
12:19:037:0	Ákódzaago bidiyin Nísrak wolyéii bikin góne' yich'į' nahałáago haye'ké Adrámalek áádóó Sharíízer diltłish yee hwiisxį́įgo Armíniya kéyahgóó yóó'ahi'noolchą́ą́'. Áko haye' Íísar-hádan hatsásk'ehgi aláahgo nant'á silį́į́'.
