12:23:001:1	Josáíyah hasht'éénáhoodlaaígíí
12:23:011:0	Nít'éé' Júdah dine'é aláahgo binanit'a'í danilíinii łį́į́' éí jį́honaa'éí yaa deideez'áanii Bóhólníihii bikin bii' sohodizin bich'į' yah a'atiinígi naal'a'í Néíthan-míílek bighan bíighahgi naazínígíí nahgóó ayíí'eezh áádóó jį́honaa'éí bitsindaabąąs bijáád naakiígíí deidííłid. 
12:23:012:0	Áádóó Júdah dine'é aláahgo binanit'a'í danilį́į́ nít'é'ígíí Éíhaz bighan bighą́ą'di bikáá' nááda'iiniihí ádayiilaa yę́ę índa Manáseh éí Bóhólníihii bikin bii' sohodizin tł'óó'góó naakigo haz'ánígi bikáá' nááda'iiniihí áyiilaa yę́ę ałtso naa'ayiistł'ííd índa ałtso yiyíítseedgo łeezh dibahígo Kídran tó nílínígíí yiih yiyííłkaad. 
12:23:013:0	Jerúsalemdóó ha'a'aahjígo dził yíchǫ'ii binish'náájígo ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígi asdzání be'elyaii Áshtarath wolyéii éí Sáídan dine'é bidoo yildinii áádóó Kíímash wolyéii éí Mó'ab dine'é bidoo yildinii índa Mólek wolyéii éí Áman dine'é bidoo yildinii yá Ízrel dine'é aláahgo binanit'a'í Sálaman ádayiilaa yę́ę aláahgo naat'áanii Josáíyah ałtso nahjį' kóyiilaago yiyííłchǫ'. 
12:23:014:0	Áádóó eda'alyaii yidííséí índa asdzání bida'alyaii ałtso niyiisne'go bá nahaz'ánígóó diné daneeznáanii bits'in hadeidééłbįįd. 
12:23:015:0	Náá'áłdó' Nííbat biye' Jerobówam éí Ízrel dine'é ádił nida'iisíihgo áyiilaii Béthelgi bikáá' náá'iiniihí índa dah yisk'id bighą́ą'di áyiilaii éí t'áá áłah ałtso naa'ayiistł'íidgo dibahgo yiyíítseed índa dah yisk'id bighą́ą'di haz'ánígíí ałtso yidííłid. 
12:23:016:0	Nít'éé' Josáíyah naanásdzáago dziłígi tsénída'ootséél hayíísid, áko Bóhólníihii Diyin God yá naal'a'í yaa halne'go t'áá yee haadzí'ígíí bik'ehgo ákǫ́ǫ́ i'ííł'a'go tsénída'ootsééldę́ę́' ts'in ch'ídayiizhjaa'go bikáá' náá'iiniihí yikáa'gi yidííłidgo éí yee yiyííłchǫ'. 
12:23:017:0	Nít'éé' ájíní, Tsé íí'áago yish'ínígíísh ha'át'íí át'é? Kin haal'áádóó diné ádahałní, Díí Béthelgi bikáá' náá'iiniihí bik'ijį' nílį́įgo baa nisíníyáhígíí éí Júdahdę́ę́' Diyin God yá naal'a'í éí áhodooníiłgo yaa hoolne'ii éí bitséní'ootséél át'é. 
12:23:018:0	Áádóó ádííniid, T'áadoo baa nídaoht'íní; doo ła' diné hats'in nahjį' kwíidoolíił da. Áko hats'in índa Samériya kin haal'áádę́ę́' Diyin God yá halne'ii bits'in t'áadoo yaa nídaast'įįd da. 
12:23:019:0	Samériya kéyahgi kin hadaas'áágóó ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaadi daakinígíí éí Ízrel dine'é aláahgo binanit'a'í nídaadleełii ádayiilaago Bóhólníihii yá dahashchįįdígíí éí ałdó' Josáíyah ałtso nahgóó kóyiilaa; t'áá Béthelgi í'jiilaaígíí bik'ehgo ádziidzaa. 
12:23:002:1	Atis'adeesdzá bee bééhániihii nídajiił'a'
12:23:020:0	Áko nááda'iiłniihii ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaadi nidahałáá nít'éé' yę́ę bikáá' náá'iiniihí yikáa'jį' neistseed, áádóó t'áá ákwii diné bits'in bik'ijį' jidííłid, áádóó Jerúsalemgóó anáádzá. 
12:23:021:0	Nít'éé' aláahgo naat'áanii éí diné t'áá ałtso yich'į' haadzíi'go ání, Naaltsoos bee aha'deet'áanii biyi' bee ak'e'ashchíinii ánínígíí bik'ehgo Bóhólníihii nihiDiyin God bich'į' atis'adeesdzá bee bééhániihii baa naahkai doo. 
12:23:022:0	T'áá aaníí, á nidahodii'aahii éí Ízrel dine'é yá nidahodii'aahgo bídeiníłkánígíí áádóó Ízrel dine'é índa Júdah dine'é yinanit'a'í nídaadleełii bídeiníłkánígíí biyi' atis'adeesdzá bee bééhániihii ákót'éhígíí t'áadoo dayiił'a' da. 
12:23:003:1	Bóhólníihii éí Júdah dine'é yich'į' báhodinoochįįd
12:23:023:0	Áko Josáíyah aláahgo naat'áanii nilį́įgo tseebííts'áadah náhááh góne' Jerúsalem kin haal'áagi Bóhólníihii bich'į' atis'adeesdzá bee bééhániihii nídajiił'a'. 
12:23:024:0	Áádóó ałdó' Josáíyah éí Bóhólníihii bikin bii' sohodizin góne' náá'iiłniihii Hilkáíyah díí naaltsoos yik'íníyáhígíí bee haz'áanii biyi' bee ak'e'ashchínígíí bizh'doolííł biniyé ch'į́įdii yábiiłti'ii áádóó da'diłgąshii áádóó dinéshchíín áádóó eda'alyaii índa doo daaldinii éí Júdah kéyahgi índa Jerúsalemgi hadadees'į́'ígíí ałtso nahjį' kójiilaa. 
12:23:025:0	Hátséedi aláahgo naat'áanii nídaadleełii doo ła' hógi ádaat'ée da nít'éé', áko hajéí t'áá át'é bee áádóó hwii' sizíinii t'áá át'é bee índa hadziil t'áá át'é bee t'áá Mózes bibee haz'áanii ánínígíí bik'ehgo ájít'é; doo nidi hakéédę́ę́' ła' ákót'éego naat'áanii nilį́į da nít'éé'. 
12:23:026:0	Ákondi Manáseh yaa naayáhígíí biniinaa Bóhólníihii éí Júdah dine'é yich'į' doo bił hóózhǫǫd dago Bóhólníihii t'óó báhádzidgo báhóóchįįdígíí doo yits'ą́ąjį' áná'néeh da. 
12:23:004:1	Josáíyah daaztsą́
12:23:027:0	Bóhólníihii ádííniid, Ízrel dine'é shits'ą́ąjį' kóshłaaígi át'éego Júdah dine'é ałdó' nahjį' kóhodeeshłííł, índa Jerúsalem kin haal'áii áádóó kin bii' sohodizin shízhi' bee wójíi doo dishníigo nidiní'áanii nahjį' kódeeshłííł. 
12:23:028:0	Áko Josáíyah łahjį' ádzaii éí Júdah dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:23:029:0	Hwíyoołkááł yę́ędą́ą́' Ííjip dine'é aláahgo binanit'a'í Féro-nííko éí Asíriya dine'é aláahgo binanit'a'í yich'į' nídiibaa'go Yufréítiiz tooh nílínígóó yinéełgo aláahgo naat'áanii Josáíyah hach'į' nídiibaa'go Megído kin haal'áagi jiiłtsą́ągo ákwii jiisxį́. 
12:23:005:1	Jiihó'ahaz nant'áá nít'éé' áádóó nahjį' anáált'e'
12:23:030:0	Áko dadziztsą́ągo há nidaal'a'í Megídodóó tsinaabąąs bijáád naakiígíí yee Jerúsalemgóó nídahaastį́įgo hatséní'ootséél góne' yóó'adahoolaa. Nít'éé' kéyahdóó dine'é éí haye' Jiihó'ahaz aláahgo naat'áanii nilį́į doo biniyé ak'ah yik'i yadayiiziidgo yíísį́į́', áko éí bizhé'é yę́ę bitsásk'ehgi aláahgo naat'áanii silį́į́'. 
12:23:031:0	Jiihó'ahaz éí naadiin táá' binááhaigo aláahgo nant'á silį́į́', áádóó Jerúsalemgi aláahgo naat'áanii nilį́įgo táá' nídeezid. Bimá éí Hamútal wolyéego Líbnahdóó diné Jeremáíyah yitsi' nilį́. 
12:23:032:0	Bóhólníihii binááł dahazhé'é yę́ę ádáát'įįdii bik'ehgo doo yá'áshóonii yaa naagháá nít'éé'. 
12:23:033:0	Áko Jerúsalemgi doo nazhnit'áa da doo biniyé aláahgo naat'áanii Féro-nííko éí Héímath kéyahgi Ríblah kin haal'áadi yah ahóółt'e', áádóó éí kéyahígíí béésh łigaii tálent wolyéii neeznádiin bíighahgo índa óola t'ááłá'í tálent dah hidiidloh bíighahgo nehelyée doogo áyiilaa. 
12:23:034:0	Áádóó Féro-nííko éí Josáíyah biye' Iiláíyakim bizhé'é yę́ę bitsásk'ehgi aláahgo naat'áanii nilį́įgo áyiilaago Jiihóíyakim éí yee yiyíízhi', áko Jiihó'ahaz éí nahjį' hayííłt'e'go Ííjipgóó ho'deedlóozgo áadi dadziztsą́. 
12:23:006:1	Jiihóíyakim nant'áá nít'éé'
12:23:035:0	Nít'éé' Jiihóíyakim éí Féro nilíinii béésh łigaii áádóó óola yeinínil, nidi béeso ahindéhígíí éí Féro haadzí'ígíí bik'ehgo kéyahgi kéédahat'ínígíí nidayiiléego ájiilaa. Féro-nííko éí béeso baa doo'nił biniyé kéyahgi diné kéédahat'ínígíí t'ááłá'í jinízínígo t'áá dah da'jíléii bíighahgo nidahizhdooléełgo béésh łigaii índa óola nidajiiléé nít'éé'. 
12:23:036:0	Jiihóíyakim éí naadiin ashdla' binááhaigo aláahgo naat'áanii silį́į́', áádóó ła'ts'áadah nááhaijį' Jerúsalemgi nant'áá nít'éé'. Bimá éí Ziibódah wolyéego Rúmahdóó Piidéíyah yitsi' nilį́. 
12:23:037:0	Bóhólníihii binááł dahazhé'é yę́ę ádáát'įįdii bik'ehgo doo yá'áshóonii yaa naagháá nít'éé'.
