12:13:001:1	Jiihó'ahaz nant'áá nít'éé'
12:13:010:0	Júdah dine'é aláahgo binanit'a'í Jó'ash nant'áago tádiindóó ba'aan tsosts'id náhááh góne', Jiihó'ahaz biye' Jiihó'ash Samériyagi Ízrel dine'é aláahgo yinanit'a'í silį́į́', áko nant'áago hastą́'áadah nááhai. 
12:13:011:0	Jiihó'ash éí Bóhólníihii binááł doo yá'ádaashóonii yaa naayáago Nííbat biye' Jerobówam yee ni'iisí'ígíí t'áá át'é éí bee Ízrel dine'é nida'iisíihgo áyiilaii t'áadoo yóó'iidíí'ą́ą da, nidi éí yik'ehgo naayá. 
12:13:012:0	Áádóó Jó'ash łahjį' ádzaaígíí áádóó yaa naayáii éí t'áá át'é índa yee ayóó át'éii bee Júdah dine'é aláahgo binanit'a'í Amazáíyah yik'ijį' naazbaa'ígíí éí Ízrel dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:13:003:1	Iiláísha akée'di náás áhooníiłii yaa hoolne' áádóó daaztsą́
12:13:013:0	Áko Jó'ash éí dahazhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazh, áádóó Ízrel dine'é aláahgo bindanit'a'í yę́ę Samériya kin haal'áagi yóó'ádaalyaagi yóó'áho'diilyaa, áko Jerobówam éí habikáá'dóó nahat'áii yikáá' dah neezdá. 
12:13:014:0	Áko Iiláísha éí bitah honiigaii t'áá éí yits'ą́ą́dóó dadootsaał yę́ędą́ą́', Ízrel dine'é aláahgo binanit'a'í Jó'ash éí haa níyáago hak'ijį' sitį́įgo yichago ání, Shizhé'é, shizhé'é, tsinaabąąs bijáád naakiígíí Ízrel dine'é bee bich'ą́ą́h na'abaahii índa łį́į́' yee nida'ałbąąsii! 
12:13:015:0	Nít'éé' Iiláísha áháłní, Ałtį́į́' áádóó k'aa' nídiinííł. Áko ałtį́į́' k'aa' biłgo nízhdiinil. 
12:13:016:0	Áko Ízrel dine'é aláahgo binanit'a'í ábijiní, Níla' bee ałtį́į́' yiiłtsóód. Áko jiiłtsoodgo Iiláísha bíla' yee aláahgo naat'áanii bíla' yikáá' dah deesnii'. 
12:13:017:0	Nít'éé' ání, Ha'a'aahjigo tsésǫ' ąą ánílééh. Áko ąą ájiilaa. Nít'éé' Iiláísha ání, Adzíłt'óóh. Áko iijííłt'oh. Áádóó ání, Bóhólníihii bik'aa' bee hodínóonééł; t'áá éí Síriya dine'é bee baa hodínóonééł; jó, Éífekdi Síriya dine'é ałtso ásíníłdįįdjį' nidííłtsił. 
12:13:018:0	Áko áháłní, K' aa' nídiinííł. Áko nízhdiinil. Áádóó Ízrel dine'é aláahgo binanit'a'í ábijiní, Ni'jį' bee adzíłt'óóh. Táadi bee iijííłt'oh áádóó t'áá ákódí. 
12:13:019:0	Nít'éé' Diyin God yá naal'a'í hach'į' báhóóchįįdgo ání, Ashdladi, doodaii' hastą́ądi iizdííłt'oh nít'éé', ákohgo Síriya dine'é ałtso ádííłdįįłjį' atídíílííł nít'éé', nidi k'ad Síriya dine'é t'áá tá'ídi atídíílííł. 
12:13:020:0	Áádóó Iiláísha daaztsą́ągo yóó'ádajiilaa. Íídą́ą́' náhááh góne' Mó'ab dine'é ła' kéyahjį' anájahgo t'áadoo le'é ghadayii'nííł. 
12:13:021:0	Ákódzaadóó diné léi' yóó'ádajiléehgo, shoo, diné ła' t'áá na'níle'dii yijahgo dadziiłtsą́ągo diné yóó'ádajiléhígíí Iiláísha bitséní'ootséél góne' adadziisxan, áádóó diné bits'íís éí Iiláísha yę́ę bits'in bíhidéé'náa'go náhoo'nii'go yiizį'. 
12:13:022:0	Jiihó'ahaz bíyoołkááł yę́ędą́ą́' Síriya dine'é aláahgo binanit'a'í Házeiyel éí Ízrel dine'é yide áhósin nít'éé'. 
12:13:023:0	Áko Bóhólníihii haa jooba' áádóó haa a'ááh nízingo hodiizts'ą́ą́' índa Éíbraham áádóó Áízak índa Jéíkab yił ahada'deest'ánígíí biniinaa doo ałtso áhodoołdįįł da, nidi díí jį́įjį' hólónídóó doo áts'ą́ąjį' kóháléeh da. 
12:13:024:0	Síriya dine'é aláahgo binanit'a'í Házeiyel daaztsą́ągo haye' Ben-héídad éí hatsásk'ehgi aláahgo naat'áanii silį́į́'. 
12:13:025:0	Áko Jiihó'ahaz biye' Jiihó'ash éí Házeiyel biye' Ben-héídad éí kin hadaas'á hazhé'é Jiihó'ahaz anaa' bee yílák'eedóó hayíínilígíí bílák'ee háájoo'nil. Jó'ash táadi hak'eh nídeesdlį́į'go Ízrel dine'é bikin hadaas'áhígíí nínázhdii'nil.
