12:15:001:1	Azaráíyah nant'áá nít'éé'
12:15:011:0	Zakaráíyah łahjį' ádzaaígíí éí Ízrel dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:15:003:1	Shálam nant'áá nít'éé'
12:15:012:0	Bóhólníihii éí Jííhu díí yee yich'į' haadzíi'go ádííniid, Na'áłchíní náás ahoolchíiłii dį́įdi ałk'i ná'ázhchį́į́góó Ízrel dine'é bibikáá'dóó nahat'áii yikáá' dah náhidinoobįįł dooleeł. Ákót'éego bohoolyaa. 
12:15:013:0	Azáíyah éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo tádiindóó ba'aan náhást'éí náhááh góne' Jéíbesh yę́ę biye' Shálam aláahgo nant'á silį́į́', áko Samériya kin haal'áagi nant'áago t'ááłá'í nídeezid. 
12:15:014:0	Nít'éé' Géídai biye' Ménahem éí Térzah kin haal'áádóó Samériyajį' níyá, áádóó ákwii Jéíbesh biye' Shálam atíyiilaago yiyiisxį́, áko éí bitsásk'ehgi aláahgo naat'áanii silį́į́'. 
12:15:015:0	Shálam łahjį' ádzaaígíí áádóó inahaz'ánígíí éí Ízrel dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:15:004:1	Ménahem nant'áá nít'éé'
12:15:016:0	Nít'éé' Ménahem éí Tífsah kin haal'áii áádóó ákwii diné kéédahat'ínígíí t'áá ałtso índa Térzah kin haal'áádóó kéyah t'áá át'é yik'ijį' naazbaa'go yik'eh deesdlį́į́'; yah a'atiin doo há ąą ádahalééhgóó biniinaa yik'ijį' naazbaa'go asdzání daaltsánígíí t'áá ałtso bibid ąą deidiyiizǫ́ǫ́z. 
12:15:017:0	Azaráíyah éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo tádiindóó ba'aan náhást'éí náhááh góne' Géídai biye' Ménahem éí Ízrel dine'é aláahgo yinanit'a'í silį́į́', áko Samériyagi aláahgo nant'áago neeznáá nááhai. 
12:15:018:0	Áko Bóhólníihii binááł doo yá'ádaashóonii yaa naayáago Nííbat biye' Jerobówam yee ni'iisí'ígíí éí bee Ízrel dine'é nida'iisíihgo áyiilaii éí hóyoołkááł bijį́įjį' t'áadoo yits'áníyáa da. 
12:15:019:0	Áádóó Asíriya dine'é aláahgo binanit' a'í Pul éí Ízrel dine'é yich'į' anaa' hasłį́į́', áko Ménahem bee óhólnííh bidziilgo jótą' doo biniyé Pul háká adoolwołgo béésh łigaii tálent wolyéhígíí t'ááłáhídi míilgo baazhnínil. 
12:15:020:0	Áko Ménahem éí béésh łigaii shékel wolyéii Asíriya dine'é aláahgo binanit'a'í baa doo'nił biniyé Ízrel dine'é da'at'íinii t'áá ałtso bits'ą́ą́dóó t'ááłá'í nítínígo shékel ashdladiingo nideidiyooléełgo bee hojiił'a', áádóó anáádzáago doo t'áá kéyahgi naagháa da nít'éé'. 
12:15:021:0	Ménahem łahjį' ádzaaígíí áádóó yaa naayáhígíí t'áá ałtso éí Ízrel dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:15:005:1	Pekaháíyah nant'áá nít'éé'
12:15:022:0	Áko Ménahem éí dahazhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazh áádóó haye' Pekaháíyah hatsásk'ehgi aláahgo nant'á silį́į́'. 
12:15:023:0	Azaráíyah éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo ashdladiin náhááh góne' Ménahem biye' Pekaháíyah éí Samériyagi Ízrel dine'é aláahgo yinanit'a'í silį́į́', áádóó nant'áago naaki nááhai. 
12:15:024:0	Áádóó Bóhólníihii binááł doo yá'ádaashóonii yaa naayáago Nííbat biye' Jerobówam yee ni'iisí'ígíí éí bee Ízrel dine'é nida'iisíihgo áyiilaii t'áadoo yits'áníyáa da. 
12:15:025:0	Nidi hasiláo yinanit'a'í nilíinii Remaláíyah biye' Pííkah éí Gíliyadóó diné ashdladiingo yił honahaz'ą́ągo Samériyadi aláahgo naat'áanii bikin náwóne'édi Árgab áádóó Aráíyeh t'áá yił nahastseed, áko hatsásk'ehgi aláahgo naat'áanii silį́į́'. 
12:15:006:1	Pííkah nant'áá nít'éé'
12:15:026:0	Pekaháíyah łahjį' ádzaaígíí áádóó yaa naayáii t'áá át'é Ízrel dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:15:027:0	Azaráíyah éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo ashdladiindóó ba'aan naaki náhááh góne' Remaláíyah biye' Pííkah éí Samériyagi Ízrel dine'é aláahgo yinant'á silį́į́'; ákwii nant'áago naadiin nááhai. 
12:15:028:0	Áádóó Bóhólníihii binááł doo yá'ádaashóonii yaa naayá; Nííbat biye' Jerobówam yee ni'iisí'ígíí éí bee Ízrel dine'é nida'iisíihgo áyiilaii t'áadoo yits'áníyáa da. 
12:15:029:0	Ízrel dine'é aláahgo binanit'a'í Pííkah bíyoołkááł yę́ędą́ą́' Asíriya dine'é aláahgo binanit'a'í éí kin hadaas'á Áíjan, Éíbel-beth-méíyakah, Janówah, Kíídesh índa Héízar áádóó Gíliyad, Gálilii índa Náftalai kéyah t'áá át'éé nít'éé' yisná, áádóó diné deisnánígíí Asíriyagóó ayiizh'eezh. 
12:15:030:0	Áko Azáíyah biye' Jótham aláahgo naat'áanii nilį́įgo naadiin náhááh góne' Íílah biye' Hoshíya éí Remaláíyah biye' Pííkah yinahaz'ą́ągo atíyiilaago yiyiisxį́ áádóó éí bitsásk'ehgi aláahgo naat'áanii silį́į́'. 
12:15:007:1	Jótham nant'áá nít'éé'
12:15:031:0	Pííkah łahjį' ádzaaígíí áádóó yaa naayáii t'áá át'é éí Ízrel dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:15:032:0	Remaláíyah biye' Pííkah éí Ízrel dine'é aláahgo yinanit'a'í nilį́įgo naaki náhááh góne' Júdah dine'é aláahgo binanit'a'í Azáíyah biye' Jótham aláahgo naat'áanii silį́į́'. 
12:15:033:0	Naadiin ashdla' binááhaigo aláahgo naat'áanii silį́į́', áko Jerúsalemgi nant'áago hastą́'áadah nááhai. Bimá éí Zéídak yitsi' nilį́įgo Jiirúsha wolyé. 
12:15:034:0	Áko hazhé'é Azáíyah yę́ę áát'įįdígíí bik'ehgo Bóhólníihii binááł t'áá ákogi ájít'į́į́ nít'éé'. 
12:15:035:0	Ákondi ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí éí t'áadoo nahjį' kólyaa da, nidi ákwe'é diné éí t'ah didlidgo nááhániihii índa tsin bijeeh dilidgo łikání halchinii nááhániihii náádayiiłniih. Bóhólníihii bikin bii' sohodizingi wódahgo yah a'atiinígíí áńjiidlaa. 
12:15:036:0	Jótham łahjį' áát'įįdígíí áádóó yaa naayáii t'áá át'é éí Júdah dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:15:037:0	Éí yoołkááł yę́ędą́ą́' Bóhólníihii éí Síriya dine'é aláahgo binanit'a'í Ríízin áádóó Remaláíyah biye' Pííkah éí Júdah dine'é yich'į' yił'áago hahoolzhiizh. 
12:15:038:0	Jótham éí dahazhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazh, áádóó hazhé'é David yę́ę bikin haal'áhígi dahazhé'é yę́ę yóó'ádabi'diilyaaígi yóó'áho'diilyaa, áko haye' Éíhaz hatsásk'ehgi aláahgo naat'áanii silį́į́'.
