41:14:001:1	Jesus Anointed at Bethany
41:14:041:0	When he returned to them the third time , he said , “ Go ahead and sleep . Have your rest . But no—the time has come . The Son of Man is betrayed into the hands of sinners .
41:14:006:1	Jesus Is Betrayed and Arrested
41:14:042:0	Up , let 's be going . Look , my betrayer is here ! ”
41:14:043:0	And immediately , even as Jesus said this , Judas , one of the twelve disciples , arrived with a crowd of men armed with swords and clubs . They had been sent by the leading priests , the teachers of religious law , and the elders .
41:14:044:0	The traitor , Judas , had given them a prearranged signal : “ You will know which one to arrest when I greet him with a kiss . Then you can take him away under guard . ”
41:14:045:0	As soon as they arrived , Judas walked up to Jesus . “ Rabbi ! ” he exclaimed , and gave him the kiss .
41:14:046:0	Then the others grabbed Jesus and arrested him .
41:14:047:0	But one of the men with Jesus pulled out his sword and struck the high priest 's slave , slashing off his ear .
41:14:048:0	Jesus asked them , “ Am I some dangerous revolutionary , that you come with swords and clubs to arrest me ?
41:14:049:0	Why did n't you arrest me in the Temple ? I was there among you teaching every day . But these things are happening to fulfill what the Scriptures say about me . ”
41:14:050:0	Then all his disciples deserted him and ran away .
41:14:051:0	One young man following behind was clothed only in a long linen shirt . When the mob tried to grab him ,
41:14:007:1	Jesus before the Council
41:14:052:0	he slipped out of his shirt and ran away naked .
41:14:053:0	They took Jesus to the high priest 's home where the leading priests , the elders , and the teachers of religious law had gathered .
41:14:054:0	Meanwhile , Peter followed him at a distance and went right into the high priest 's courtyard . There he sat with the guards , warming himself by the fire .
41:14:055:0	Inside , the leading priests and the entire high council were trying to find evidence against Jesus , so they could put him to death . But they could n't find any .
41:14:056:0	Many false witnesses spoke against him , but they contradicted each other .
41:14:057:0	Finally , some men stood up and gave this false testimony :
41:14:058:0	“ We heard him say , ‘ I will destroy this Temple made with human hands , and in three days I will build another , made without human hands . ' ”
41:14:059:0	But even then they did n't get their stories straight !
41:14:060:0	Then the high priest stood up before the others and asked Jesus , “ Well , are n't you going to answer these charges ? What do you have to say for yourself ? ”
41:14:061:0	But Jesus was silent and made no reply . Then the high priest asked him , “ Are you the Messiah , the Son of the Blessed One ? ”
41:14:062:0	Jesus said , “ . And you will see the Son of Man seated in the place of power at God 's right hand and coming on the clouds of heaven . ”
41:14:063:0	Then the high priest tore his clothing to show his horror and said , “ Why do we need other witnesses ?
41:14:064:0	You have all heard his blasphemy . What is your verdict ? ” “ Guilty ! ” they all cried . “ He deserves to die ! ”
41:14:008:1	Peter Denies Jesus
41:14:065:0	Then some of them began to spit at him , and they blindfolded him and beat him with their fists . “ Prophesy to us , ” they jeered . And the guards slapped him as they took him away .
41:14:066:0	Meanwhile , Peter was in the courtyard below . One of the servant girls who worked for the high priest came by
41:14:067:0	and noticed Peter warming himself at the fire . She looked at him closely and said , “ You were one of those with Jesus of Nazareth . ”
41:14:068:0	But Peter denied it . “ I do n't know what you 're talking about , ” he said , and he went out into the entryway . Just then , a rooster crowed .
41:14:069:0	When the servant girl saw him standing there , she began telling the others , “ This man is definitely one of them ! ”
41:14:070:0	But Peter denied it again.A little later some of the other bystanders confronted Peter and said , “ You must be one of them , because you are a Galilean . ”
41:14:071:0	Peter swore , “ A curse on me if I 'm lying—I do n't know this man you 're talking about ! ”
41:14:072:0	And immediately the rooster crowed the second time.Suddenly , Jesus ' words flashed through Peter 's mind : “ Before the rooster crows twice , you will deny three times that you even know me. ” And he broke down and wept .
