66:2:001:1	Éfesasgi da'oodlání áłah nádleehii bich'į' hane' ályaa
66:2:010:0	Bik'ee ti'dahwiidoohnihgo bich'į' hoolzhishígíí t'áadoo bik'ee nihił daayé'í. Jó'akon, nihí dahodínóotahígíí biniyé níłch'i bida'iiníziinii binanit'a'í k'adę́ę nihí ła' awáalyaa góne' anihiiłtł'iid, áádóó nihich'į' nidahwii'náago neeznáá yidoołkááł. T'áá dasinoonáajį' hada'íínółní, áko iináájí naat'á ch'ah nihitaa deeshnih. 
66:2:003:1	Pérgamasgi da'oodlání áłah nádleehii bich'į' hane' ályaa
66:2:011:0	T'áá háiida daz'diits'a'ii éí Níłch'i Diyinii da'oodlání áłah nídaadleehii kwííłníigo yee yił halne'ígíí háni'dii dajíists'ą́ą́'! T'áá ak'eh deesdlį́'ígíí naakidi ná'ní'néhígíí doo bidééłníi da doo. 
66:2:012:0	Pérgamasgi da'oodlání áłah nádleehii bidiyingo naal'a'í kót'éego bich'į' ak'e'íłchí: Diltłish t'áá ałch'ishjigo deeníinii dah yootį́įłii kóní: 
66:2:013:0	[Baa nidaahkaii shił bééhózin, áádóó] níłch'i bida'iiníziinii binanit'a'í Séítan wolyéii bibikáá'dóó nahat'áii si'ą́ągi kééhoht'į́įgo shił bééhózin. Shízhi' yéego dayínóhtą', áádóó Ántipas, ba'ahódlíigo shá halne'ii, éí nihitahgi níłch'i bida'iiníziinii binanit'a'í kééhat'į́įgi bi'diisyíinii bíyoołkááł yę́ędą́ą́' doo haa dadzííníidlíi da, t'áadoo dashidooniid da. 
66:2:014:0	Nidi t'áá díkwííhígo haz'ą́ t'éí bee nihik'íhásh'ááh, jó, éí Béílam bina'nitin Ízrel dine'é dabidínóołtł'ahígíí, éí e'elyaii bich'į' náádahaaznii'ii deiyą́ą doogo, índa na'ageh yee tsi'nidaakai doogo Béílak yee neineeztą́ą'ii nihitahgi ła' dayótą'. 
66:2:015:0	T'áá ákót'éego ałdó' Nikoléíyatanz bina'nitin nihitahgi ła' dayótą' [éí bik'ee dinishniih]. 
66:2:016:0	Éí bąą ákódaat'éhígíí łahgo át'éego bąąh tsíńdahidohkeesgo bits'áhóhkááh. Doo ákódaaht'į́į́góó t'áá k'ad tsį́įłgo nihaa deeshááł, áko shizéé'dóó diltłish bee hach'į' anaa' hodeeshłeeł. 
66:2:004:1	Thaiyatáíragi da'oodlání áłah nádleehii hane' bich'į' ályaa
66:2:017:0	T'áá háiida daz'diits'a'ii Níłch'i Diyinii éí da'oodlání áłah nídaadleehii kwííłníigo yee yił halne'ígíí háni'dii dajíists'ą́ą́'! T'áá ak'eh deesdlį́'ígíí mána nanil'inii ła' haa deeshnił, áádóó tsé łigaii haa deesh'ááł, bikáa'gi yízhí ániidíii bik'iisdzohgo éí doo ła' hoł bééhóziní da, nidi baa yít'ánígíí t'éiyá. 
66:2:018:0	Thaiyatáíragi da'oodlání áłah nádleehii bidiyingo naal'a'í kót'éego bich'į' ak'e'íłchí: Diyin God biYe', bináá' kǫ' nahalingo dah nídíno'ii, bikee' béésh łitsoii bízdílidgo ályaa nahalinii kóní: 
66:2:019:0	Baa nidaahkaii shił bééhózin. Nihe'ayóó'ó'ó'ni' áádóó nihe'oodlą' áádóó chodaah'ínígíí áádóó nízaadgóó nihiha'ahóní, índa átsé baa nisoohkaii yę́ę t'ah biláhídi át'éii baa naahkaigo shił bééhózin. 
66:2:020:0	Nidi asdzání Jézebel, Diyin God yá halne'ii nilį́įgo ádójíii, éí shá nidaal'a'í na'ageh yee tsi'nidaakai doogo, índa eda'alyaii bich'į' náádahaaznii'ii deiyą́ą doogo neinitingo t'áá áhoodzaagóó ayii'éeshgo bee bá nahosooł'ánígíí, éí t'éí nihik'ijį' séł'ą́. 
66:2:021:0	Áko asdzání na'ageh yee tsi'naagháhígíí łahgo át'éego yąąh tsíńdookosgi ch'ééh bee bá hooł'a', nidi doo t'áá k'ad yi'iilaa da. 
66:2:022:0	Jó'akon, hatah hodínéeshgahgo hodínéeshtééł, áádóó bił da'ahizhdilyéego bił baa nijikaígíí doo łahgo át'éego bąąh tsíńdazdikeesgo yóó'adazhdi'aahgóó éí ayóó át'éego hach'į' nidahwii'náago ádeeshłííł. 
66:2:023:0	Áádóó asdzání ba'áłchíní bits'ą́ą́' nideestsił. Áko da'oodlání áłah nídaadleehii t'áá ałtso éí diné bintsíkees índa bijéí haisíidii nishłį́įgo bił béédahodoozįįł. Índa t'ááłá'í nootínígo ádaoht'įįdígíí bik'ehgo k'ééhodidoodlííł. 
66:2:024:0	Nidi Thaiyatáíragi díí nichxǫ́'ógo na'nitin doo dayínóhtą'ii, níłch'i bida'iiníziinii binanit'a'í binahat'a' bidziil deiłníinii doo bídahooł'ą́ą'ii, nihí ánihidishní, Náánáła' doo nihiyéél nihá ánáádeeshdlíił da. 
66:2:025:0	Nidi níyáajį' oodlą' nihee dahazlį́'ígíí yéego dayínóhtą'. 
66:2:026:0	T'áá ak'esdeesdlį́'ígíí índa nihoolzhiizhjį' íinisinii ájoolíłígíí éí ał'ąą dine'é bił dah nidahaz'áanii bee hóhólníihgo áhodeeshłííł. 
66:2:027:0	T'áá shiTaa' bits'ą́ą́dę́ę́' bee óhólníihii shee hazlį́'ígi át'éego bee hóhólníihgo áhodeeshłííł. Béésh hał bee binazhnit'áa doo; ásaa' ííł'íinii bileets'aa' nihídazdeestsxis nahalingo nihídadidooltsxisgo ałtso dadidoozéí. 
66:2:028:0	Áádóó yikáít'áahjį' sǫ'tsoh haagháhígíí haa deesh'ááł. 
66:2:029:0	T'áá háiida daz'diits'a'ii Níłch'i Diyinii éí da'oodlání áłah nídaadleehii kwííłníigo yee yił halne'ígíí háni'dii dajíists'ą́ą́'.
