16:13:001:1	Niihemáíyah yá'át'éehgo ánáhoodlaa
16:13:014:0	ShiDiyin God nílíinii, díí bee shéénílniih: shiDiyin God bikin yá'át'éehii bá baa niséyáhígíí áádóó biyi'dóó bich'į' nahadláago bá baa áháshyánígíí k'éé'óółchxǫǫh lágo. 
16:13:015:0	Éí yoołkááłdą́ą́' Júdah kéyahdi háá'áyį́į́h jį́į́ góne' diné ła' ch'il na'atł'o'ii bitoo' yąąh hadeiníihgo yiiłtsą́ áádóó neest'áanii bida'astł'ǫ́ǫgo índa wáin, ch'il na'atł'o'ii, tsin bineest'ą' fig wolyéhígíí áádóó naalyéhé ał'ąą ádaat'éii ałdó' Jerúsalem kin haal'áajį' télii yee nidayiiyeehgo yiiłtsą́, áko ch'iyáán baa nidahaniih bijį́į́ góne' bee hak'ijį' haasdzíí'. 
16:13:016:0	Táir kin haal'áádę́ę́' diné nidaakaii ałdó' ła' ákwii kéédahat'į́; éí łóó' índa naalyéhé ał'ąą ádaat'éii nidayiiyeehgo Jerúsalemgi háá'áyį́į́h jį́į́ góne' Júdah dine'é yich'į' nidayiiłniih. 
16:13:017:0	Áádóó Júdah dine'é bitahdóó aląąjį' naazíinii bił ałghada'désht'ą́ągo áhodííniid, Díísh ha'át'íí doo yá'át'éehii baa naahkai? Háá'áyį́į́h jį́ doo ílį́į́góó ádaohłééh. 
16:13:018:0	Da' danihizhé'é yę́ęésh ákódáát'įįd, áko nihiDiyin God doo yá'át'éhígi ánihííł'įįd índa díí kin haal'áhígi doo yá'át'éhígi áyííł'įįd, áko háá'áyį́į́h jį́ doo ílį́į́góó ádaohłéhígíí bee t'ah yówehgo t'óó báhádzidgo bee atí'él'íinii Ízrel dine'é bik'ijį' ádaohłééh. 
16:13:019:0	Ákódzaago k'adę́ę háá'áyį́į́h jį́ aleehgo, Jerúsalem bidáń'daditį́į́hgóó yíłhéelgo dáda'dinołkaał, dííniid áádóó t'áadoo ąą ádaalnéhí háá'áyį́į́h jį́ ałtsogo índa ąą ádadoolníiłgo bee haasdzíí' índa háá'áyį́į́h jį́į́ góne' hééł ła' doo yah adoogéeł da biniyé diné shá nidaal'a'ígíí ła' dáń'daditį́į́hgóó nidasínil. 
16:13:020:0	Áko nída'iiłniihí danilíinii índa naalyéhé ał'ąą ádaat'éii baa nidahaniihgo Jerúsalem tł'óo'di ła'a tł'éé', doodaii' naaki tł'éé' nídabiilkááh nít'éé'. 
16:13:021:0	Ha'át'íí lá biniyé tsé ahénátł'inígíí tł'óo'di nídanihiilkááh? Ákónáádaahdzaago yah anihideeshnił, dishníigo bich'į' bee haasdzíí'. Éí áádóó háá'áyį́į́h jį́į́ góne' t'áadoo náádaaskai da. 
16:13:022:0	Áádóó índa Líívai dine'é ábidííniid, Áda'dołdéehgo áádóó háá'áyį́į́h jínígíí diyingo óolzin doo biniyé nihidoohkahgo dáń'dítį́hí baa ádahołyą́ą doo. ShiDiyin God nílíinii, díí ałdó' bee shéénílniihgo ayóó át'éego aa a'ááh nínízinii bik'ehgo shaa sínízid doo. 
16:13:023:0	Éí yoołkááłdą́ą́' ałdó' Jew dine'é éí Áshdad dine'é áádóó Áman dine'é índa Mó'ab dine'é bitahdóó asdzání danilíinii yił naazkéego yiiłtsą́; 
16:13:024:0	hada'áłchíní éí Áshdad bizaad łahjį' yee yádaałti'go Jew dine'é bizaad doo yee yádaałti' da, nidi dadine'é danilínígíí dabizaad yik'ehgo yádaałti'. 
16:13:025:0	Áádóó bił ałghada'désht'ą́ągo hóyée'go há haasdzíí', áádóó ła' hataa'síłts'ingo hatsii' hadaháłdláád índa doo ákónáádazhdoo'nííłgóó Diyin God bee ádee hadadziisdzíi'go áhodííniid, Nihitsi'ké éí dabiye'ké doo baa dahidoohnił da índa dabitsi'ké éí danihiye'ké doo baa dahidoohnił da, áádóó t'áá nihí nidi doo ádá shódeidoołt'eeł da. 
16:13:026:0	Shą́ą́', t'áá ákót'éego ałdó' Ízrel dine'é aláahgo binanit'a'í Sálaman ádił ni'iiszíí'. Azhą́ ákót'ée nidi, t'óó ahayóí ał'ąą dine'é bitahgóó t'áadoo ła' ákót'éego aláahgo naat'áanii nilíní da; éí Diyin God ayóó'ábó'níigo Ízrel dine'é t'áá ałtso yinant'áago áyiilaa; azhą́ ákót'ée nidi, asdzání dé'éyóní danilíinii ádił nidziisíihgo ádahoolaa. 
16:13:027:0	Díí t'áá íiyisí doo yá'át'éhígi ádaoht'ínígíí danohsingo doo danihíísíilts'ą́ą' da doo; éí asdzání dé'éyóní danilíinii bił ahánda'ohgehgo Diyin God bich'į' bee haz'áanii k'ídahohtíih doo. 
16:13:028:0	Áko aláahgo náá'iiłniihii Iiláíyashib biye' Jóíyada biye' ła' éí Hóran dine'é Sanbálat yaadaaní nilį́į́ lá; éí bąą hó éí níwehjį' ahonííłchą́ą́'. 
16:13:029:0	ShiDiyin God nílíinii, ádáát'įįdii béénílniih, háálá náá'iiłniihii binaanish áádóó náá'iiłniihii dajílį́į doogo índa t'áá Líívai dine'é dajílį́įgo éí biniyé bee aha'deet'áanii bá íinilaii dayííłchxǫ'. 
16:13:030:0	Ákót'éego hąąh hóółdee'go dé'éyóní danilíinii t'áá ałtso bits'áhonínil, áádóó náá'iiłniihii binaanish ádaat'ée dooleełii índa Líívai dine'é binaanish ádaat'ée dooleełii baa dahidí'ą́, 
16:13:031:0	áádóó náá'iiniih biniyé chizh dilidii índa átsé neest'áanii nihoot'ą́ą́ góne' yah anídayiijih dooleełii ałdó' biniyé ła' nihonínil. ShiDiyin God nílíinii, shaa jiiníba'go shéénílniih.
