41:12:001:1	Ch'il na'atł'o'ii áádóó yaa ádahalyáanii binahjį' hane' bee ak'idi'dootį́įłii
41:12:028:0	Nít'éé' bee haz'áanii yínda'niłtinii ła' níyáago ałghadazh'dit'áhígíí yidiizts'ą́ą́' , áko Jesus beełt'éego hach'į' t'ą́ą́' hanáádzí'ígíí bił bééhoozingo nabídééłkidgo ání , Bee haz'áanii t'áá ałtso biyi'dóoshą' háidíígíí ts'ídá aláahgo bee haz'ą́ ?
41:12:029:0	Áko Jesus hach'į' hanáánáádzíi'go áháłní , Ts'ídá aláahgoígíí éí díí , Ízrel dine'é danohłíinii , da'íísółts'ą́ą́' : Bóhólníihii nihiDiyin God éí Bóhólníihii t'ááłá'í ,
41:12:030:0	áko nijéí t'áá át'é bee , áádóó nii' sizíinii t'áá át'é bee , áádóó níni' t'áá át'é bee , índa ne'adziil t'áá át'é bee Bóhólníihii niDiyin God ayóó'ííní'ní . Éí bee haz'áanii aláahgoígíí át'é .
41:12:031:0	Naaki góne'ígíí éí kót'é , T'áá ni ádííní'nínígi át'éego bił kééhót'íinii ayóó'ííní'ní . Bee haz'áanii náánáła' díí biláahgo át'éego nááhódlǫ́ǫ dooleełii t'áá ádin .
41:12:032:0	Áko bee haz'áanii yína'niłtinii áhodííniid , T'áá ákót'é , Na'nitiní , Diyin God t'ááłá'í , t'áá hó t'éí Diyin God jílį́ , náánáła' éí ádin , dííníniidígíí t'áá aaníígóó ádííníniid ,
41:12:033:0	áko éí hajéí t'áá át'é bee , áádóó hantsíkees t'áá át'é bee , [ áádóó hwii' sizíinii t'áá át'é bee] índa hwe'adziil t'áá át'é bee Diyin God ayóó'ájó'nínígíí índa t'áá hó ízhdó'nínígi át'éego bił kééhojit'íinii ayóó'ájó'nínígíí , éí t'áá át'é didlidgo nááhániihii índa nidaatseedgo nááhániihii t'áá ałtso biláahgo át'é .
41:12:005:1	David biye' bína'ídíkid
41:12:034:0	Áko hojíyą́ągo hadzoodzí'ígíí éí Jesus bił bééhoozingo áháłní , Diyin God bee bóhólníihgo bił haz'ą́ą́dóó koshídę́ę́' honílǫ́ . Áádóó éí bik'ijį' diné ła'da t'áá łahgo ninááhódídóołkiłgi nidi t'óó hats'ąą dáátiid .
41:12:035:0	Nít'éé' kin bii' sohodizin bił haz'ą́ą́ góne' Jesus nazh'nitingo ájíní , Ha'át'éegoshą' bee haz'áanii yínda'niłtinii ádaaní , Christ éí David biye' nilį́ ?
41:12:036:0	Jó , David t'áá bí Níłch'i Diyinii yee ádííniid : Bóhólníihii éí shiBóhólníihii áyidííniid , Shinish'náájí dah sínídá , nida'ana'í bik'i dííníl'eezgo ániishłaajį' .
41:12:006:1	Jesus éí bee haz'áanii yínda'niłtinii yideezteh
41:12:037:0	David t'áá bí shiBóhólníihii hałní , ákoshą' haa yit'éego biye' jílį́ ? Áko diné t'áá bóhólníhígíí bił dahózhǫ́ǫgo dahodiizts'ą́ą́' .
41:12:038:0	Áko nazh'nitingo bich'į' hadzoodzíi'go ájíní , Bee haz'áanii yínda'niłtinii bits'ąą ádaa ádahołyą́ , éí bi'éé' danineezgo nidaakaigo bił ayóó ádaat'é , áádóó nida'iiniihgóó k'é dabidi'níigo bił ayóó ádaat'é ,
41:12:039:0	índa kin bii' áłah nída'adleehí naaznil dabiyi'góó áádóó áda'azįįdgóó aląąjį' naazíinii bá nidahaz'ą́ą́góó bił ayóó ádahoot'é ,
41:12:007:1	Asdzání bąąh áhásdįįdii béeso ayíínil
41:12:040:0	índa asdzání bąąh ádahasdįįdii dabighan yaa nidahodikai , índa t'óó ádaat'į́įgo nízaadgóó sodadilzin . Éí t'ah aláhígi át'éego bik'e'íyée'go bá nidahodiyoot'ááł .
41:12:041:0	Nít'éé' Jesus éí béeso adaha'níłígíí binaashiidę́ę́' dasneezdáago , diné t'óó ahayóí hanááł béeso adayiiznil . Lą'í diné da'at'íinii béeso t'óó ahayóí adayiiznil .
41:12:042:0	Áko asdzání ła' bąąh áhásdįįdii nilį́įgo bahojoobá'í léi' áajį' niníyáago , béeso ts'ídá a'ohgo ílínígíí naaki ayíínil , éí naakigo t'áálá'í sindáo bíighah .
41:12:043:0	Ákohgo hódahooł'aahii hágo bizhdííniidgo ábijiní , T'áá aaníígóó ánihidishní , Díí asdzání bąąh áhásdįįdii bahojoobá'í nidi , éí béeso ahi'níiłjį' béeso adayiiznilígíí t'áá ałtso yiláahgo béeso ayíínil .
41:12:044:0	Háálá t'áá ádzíłtso t'áá ałtsoní bee bilááh dazhneel'ánígíí éí lą'í adadziiznil , nidi díí asdzání t'áá íiyisí bahojoobá'í nidi , t'áá bee hólónígi ayíínil , yee hináanii nidi t'áá ałtso .
