41:1:001:1	John Tó Yee Asį́įhii nahalne'
41:1:011:0	áádóó yádiłhił biyi'dę́ę́' iinéé' diists'ą́ą'go ání , ShiYe' ayóó'óósh'níinii nílį́ ; t'áá íiyisí naa shił hózhǫ́ .
41:1:012:0	T'áá áko Níłch'i Diyinii honoojíígóó ahoyíísá .
41:1:004:1	Gáliliigi Jesus éí hane' yá'át'éehii yaa aho'niilne'
41:1:013:0	Áko honoojíidi dízdiin hwiiską́ , áádóó Séítan níłch'i bida'iiníziinii binanit'a'í nahóneeztą́ą́' ; áadi nidaaldlooshii dahashkéii bił nijildeeh nít'éé' , índa diyingo nidaal'a'í há chodaoz'įįd .
41:1:014:0	Áko John yah abi'doolt'e'dóó bik'ijį' , Jesus , Diyin God baa hane' yá'át'éehii baa nahojilne'go Gálilii kéyahgóó ajííyá ,
41:1:005:1	Jesus éí łóó' hadayiileehí dį́lt'éego yíká ádííniid
41:1:015:0	kójíníigo , K'ad áajį' ahoolzhiizh , Diyin God bee bóhólníihgo bił haz'áanii baa hodoogáałjį' bílátah dah hashzhiizh ; łahgo át'éego tsíńdahidohkeesgo hane' yá'át'éehii deinohdląąh .
41:1:016:0	Áádóó Gálilii be'ek'id bąąhgóó joogááł , nít'éé' Sáíman índa bitsilí Andrew łóó' bee hahaltsósí taah yiłtsóosgo jiiłtsą́ , háálá éí łóó' hayiileehí nilį́ .
41:1:017:0	Nít'éé' Jesus áhodííniid , Tį' , shikéé' woh'ash , áko diné hayiileehí doohłeełgo ánihideeshłííł .
41:1:018:0	T'áá áko hałóó' bee hadahaltsósí t'áá ákǫ́ǫ́ nizhnínilgo bikéé' dashdii'áázh .
41:1:019:0	Áádóó t'áá áyídígóó joogááł , nít'éé' James éí Zébedii biye' áádóó bitsilí John , éí tsinaa'eeł biyi'gi łóó' bee hadahaltsósí hasht'éédeidle'go jiiłtsą́ .
41:1:006:1	Diné níłch'i nichxǫ́'í bii' hólóonii
41:1:020:0	T'áá áko hágo bizhdííniid , áko bizhé'é Zébedii índa bá nidaalnishígíí t'áá ákǫ́ǫ́ tsinaa'eeł yii' naháaztą́ągo bits'ą́ą́' dashdii'áazhgo Jesus bikéé' jiní'áázh .
41:1:021:0	Áko Kapérniyamgi jíkai , áádóó t'áá áko háá'áyį́į́h jį́ azlį́į'go kin bii' áłah ná'ádleehí biyi' góne' yah ajííyáago naz'neeztą́ą́' .
41:1:022:0	Áko naz'neeztą́'ígíí yik'ee t'óó bił adahóóyóí , háálá naat'áanii nilį́įgo na'nitinígíigi át'éego naz'neeztą́ą́' , bee haz'áanii yínda'niłtinii nahalingo éí dooda .
41:1:023:0	T'áá áko kin bii' áłah ná'ádleehígíí biyi' góne' diné léi' níłch'i nichxǫ́'í bii' hólǫ́ǫgo sidáá lá ,
41:1:024:0	áko hadoolghaazhgo ání , [ T'áadoo nihaa nánít'íní . ] Haashą' nihidíílííł , Jesus Názarethdóó nílíinii ? Da' ánihidííłdįįłgoósh yíníyá ? Ánít'íinii shił bééhózin , Diyin God bits'ą́ą́dóó Diyinii nílį́ .
41:1:025:0	Nidi Jesus éí yideeztehgo ííłní , T'áadoo ádíníní , hayi'dę́ę́' haninááh !
41:1:026:0	Áko níłch'i nichxǫ́'í nihihodiyiiłhan áádóó yéego hadoolghaazhgo hayi'dę́ę́' hahóóle' .
41:1:027:0	Áádóó t'áá ádzíłtso t'óó hoł adahayóigo nida'ahízhdílkidgo ádajiní , Díí lá ha'át'íí át'é ? Jó , na'nitin ániidíii át'é ! Níłch'i danchxǫ́'í nidi bee óhólnííh yee yich'į' hahadziihgo bik'eh dahół'į́ .
41:1:007:1	Jesus éí diné t'óó ahayóí hadaałt'é áńdayiidlaa
41:1:028:0	Áádóó t'áá áko Gálilii kéyah binaagóó t'áá át'éé nít'éé' bee haa hane'go dadideezdláád .
41:1:029:0	T'áá áko kin bii' áłah ná'ádleehídóó dashdiikai , áko Sáíman índa Andrew bighan góne' James índa John bił yah ajookai .
41:1:030:0	Nít'éé' Sáíman be'asdzą́ą́ bimá bitah honeezgaigo sitį́į́ lá , t'áá áko yee hoł dahoolne' .
41:1:031:0	Baazhníyáago bíla' jiiłtsoodgo nízdiidzį́į́z , áádóó tah honiigááh bits'áldoh , áko diné yá chooz'įįd .
41:1:032:0	Íídą́ą́' i'íí'ą́ągo diné bąąh dah nahaz'ánígíí índa níłch'i bi'iiníziinii bii' dahólóonii Jesus yił yaa dahaaskai .
41:1:033:0	Kin haal'áhídóó diné t'áá át'é ch'é'étiingi áłah silį́į́' .
41:1:008:1	Jesus éí Hane' Yá'át'éehii yaa nahodoolnihgóó dah diiyá
41:1:034:0	Áko diné t'óó ahayóí naałniih ał'ąą ádaat'éii bee bąąh dah nidahaz'áanii hadaałt'é áńdajiidlaa , índa níłch'i bi'iiníziinii lą'í dabiyi'dę́ę́' hahizneeskaad , áko níłch'i bi'iiníziinii hwéédahósingo bąą hadadoodzihígi t'áadoo bee bá hojiił'a' da .
41:1:035:0	Biiskání t'ah ni' halzhingo nízhdii'na'go doo naagháhígóó ajííyá , ákwe'é sozdoolzin .
41:1:036:0	Sáíman áádóó yił naakaígíí hakéé' yíkai ,
41:1:037:0	áko hak'ídaneeztą́ą'go ádahodííniid , Diné t'áá ałtso níkadantá .
41:1:038:0	Áko ábizhdííniid , Tį' , kin dah naazhjaa'góó diikah , áko áadi ałdó' Diyin God bizaad baa nahodeeshnih , háálá éí biniyé níyá .
41:1:009:1	Jesus éí diné ła' łóód ats'íís yiyáanii naałdzidii bee bąąh dah haz'ą́ągo néidiisá
41:1:039:0	Áko Gálilii kéyah t'áá át'éé nít'éé' yii' kéédahat'íinii kin yii' áłah nídaadleehgóó Diyin God baa nahojilne'go , índa diné biyi'dę́ę́' níłch'i bida'iiníziinii hahizhniłkaadgo tázhdííyá .
41:1:040:0	Nít'éé' diné ła' łóód ats'íís yiyáanii naałdzidii bee bąąh dah haz'ą́ą́ léi' haa níyá , áko hach'į' nitsidinígo'go náhookąąhgo áháłní , Íinínízin ládą́ą́' nááshididííłááł .
41:1:041:0	Áádóó Jesus haa a'ááh niizį́į'go k'ídeesnii'go hodeelchidgo ání , Íinisin lą́ą ; łóód nąąh óodįįh .
41:1:042:0	T'áá áko łóód ats'íís yiyáanii naałdzidii yę́ę hąąh ásdįįdgo náázdiidzá .
41:1:043:0	Áko hach'į' haadzíi'go dahodiił'a'go
41:1:044:0	áhodííniid , T'ááká diné ła'da bił hóólne' lágo , nidi nílááh dah diináahgo náá'iiłniihii átsé nidínóoł'įįł , áádóó nááni'diilzáhígíí bąą nááhániihii Mózes yee nihoní'áanii bik'ehgo náá'ayíłniih , áko éí bee nilóód náádzíi'ii diné bił béédahózin doo .
41:1:045:0	Nidi dashdiiyáago t'áá ałtsogóó baa ahozh'niilne' áádóó áhoodzaaígíí da'níłts'ą́ą́góó bee ahozhdííłdláád , áko kin haal'áajį' Jesus doo t'áá yit'íní jidóya' át'ée da silį́į́' , nidi kéyah doo naagháhídi t'éí nijighá , ákondi t'áá da'níłts'ą́ą́dę́ę́' diné haa dahakááh .
