41:10:001:1	Jesus ałts'á'iildééh yeinít'į́
41:10:017:0	Nít'éé' náánáłahgóó nihináádzídzáago , diné léi' hadááh yílwodgo hach'į' nitsidinígo'go áháłní , Na'nitiní yá'át'éehii nílíinii , haash deeshníiłgo iiná doo ninít'i'ii shee hodooleeł ?
41:10:018:0	Áko Jesus áhodííniid , Ha'át'íishą' biniyé yá'át'éehii shidiní ? T'ááłá'í nidi doo yá'ájít'éhí da , t'áá hazhó'ó Diyin God t'éiyá .
41:10:019:0	Bee haz'áanii nił bééhózin : Ts'ídá doo adidííléeł da , Diné ts'ídá doo diyííłhéeł da , Ts'ídá doo adíníí'į́įł da , Ts'ídá doo t'áá ádzaagóó hólne'í da , Doo hona'adlo' da , Nizhé'é índa nimá nił nilį́įgo íínísin .
41:10:020:0	Áko ázhdííniid , Na'nitiní , eii t'áá ałtso t'áá áłchíní nishłį́į́dą́ą́' bik'eh honish'į́įgo hoolzhiizh .
41:10:021:0	Áko Jesus ayóó'áhó'níigo honééł'į́į'go áhodííniid , T'ááłáhígo haz'ą́ t'ahdii bee nich'į' anáhóót'i' ; nílááh , nídídáahgo nee hólónígíí t'áá ałtso naa nahóniihgo bee shóisíníłt'e'ígíí badahojoobá'íígíí bitaa díínih , áko yá'ąąshdi naalye'é ílíinii nee hólǫ́ǫ dooleeł , áádóó dah diináahgo [ tsin ałnáoszid nídiitįįhgo] shikéé' yínáał doo .
41:10:022:0	Nidi kót'éego ha'oodzí'ígíí bik'ee yínííł dzizlį́į'go bąąh háni'go dashdiiyá , háálá t'áá íiyisí ajit'į́ .
41:10:023:0	Áko Jesus hódahooł'aahii bitaa dzizghalgo ájíní , Da'jit'ínígíí Diyin God bee bóhólníihgo bił haz'áanii biih dazhdookahígi dooládó' há daniłdzil da !
41:10:024:0	Nít'éé' hódahooł'aahii saad bee hadzoodzí'ígíí yik'ee t'óó bił adahóóyóí . Áko Jesus hach'į' hanáánáádzíi'go áhodííniid , Sha'áłchíní , [ at'į́ bada'jólíhígíí] Diyin God bee bóhólníihgo bił haz'áanii biih dazhdookahígi dooládó' lá há daniłdzil da .
41:10:025:0	Ghą́ą́'ask'idii tsah bighá'ált'ih góne' ch'ídoogáałgo doo bá bohónéedzą́ą da , nidi diné ajit'íinii Diyin God bee bóhólníihgo bił haz'áanii biishdoogáłígi agháago doo há bohónéedzą́ą da .
41:10:026:0	Áko t'áá íiyisí t'óó hoł adahayóigo ádabizhdííniid , Ákoshą' háí yisdádooltééł ?
41:10:027:0	Áko Jesus hatah déez'į́į'go áhodííniid , Éí diné ts'ídá t'áadoo bee bá bohónéedzání da , nidi Diyin God éí doo ch'ééh íidooł'įįł da , háálá Diyin God t'áá ałtsoní bee bá bohónéedzą́ .
41:10:028:0	Áko Peter hach'į' ayá'niiłti'go ání , Jó'akon , nihí nihee dahólǫ́ǫ́ nít'é'ígíí ałtso bits'ą́ą́' dah dahidiikaigo nikéé' dayíníikááh .
41:10:029:0	Áko Jesus ádííniid , T'áá aaníígóó ánihidishní , Diné t'ááłá'í nítínígo shí áádóó hane' yá'át'éehii biniinaa bikin , doodaii' bik'isóó , doodaii' bilahkéí , doodaii' bizhé'é , doodaii' bimá , [ doodaii' be'asdzą́ą́ , ] doodaii' ba'áłchíní , doodaii' bikédaayah yits'ą́ą́' dah diiyáii ,
41:10:030:0	éí díí k'ad hoolzhishígíí biyi' daakin áádóó ak'isóó áádóó alahkéí áádóó amá danilíinii áádóó áłchíní índa kédaayah , neeznádiindi ahą́ą́h nániiláago até'él'į́ bóóltą'go baa nídoolyééł , áádóó łahgo náhodeesdzáago iiná doo ninít'i'ii bee jiináa doo .
41:10:004:1	Jesus bidi'yoolyéłígíí yaa nááhálne'
41:10:031:0	Nidi lą'í da'alą́ąjį'ígíí éí da'akéédę́ę' dooleeł , índa da'akéédę́'ígíí éí da'alą́ąjį' dooleeł .
41:10:032:0	Nít'éé' Jesus halą́ąjį' yigáałgo Jerúsalem góde bikéé' jookahgo t'óó hoł adahóóyóí , índa bikéé' jookahígíí nídadzildzid . Áko naakits'áadahígíí bił ats'ádzískaigo áhodi'doolníłígíí bee bił ahozhniilne' ,
41:10:033:0	kójíníigo , Jó'akon , Jerúsalem góde deekai , áko Diné Silį́į'ii éí aláahgo nááda'iiłniihii índa bee haz'áanii yínda'niłtinii baa hodi'doot'ááł , áádóó éí hodi'yoolyéełjį' há nidahodoo'ááł índa doo Jew dine'é danilíinii yaa dahodidoo'ááł ,
41:10:005:1	James áádóó John adííkeed
41:10:034:0	áko éí há nidahodoołt'ih áádóó nahóda'doołtsxis áádóó hak'ídahididoozhah índa dahodiyoołhééł , áko tágí jį́ aleeh góne' náázhdidoodááł .
41:10:035:0	Nít'éé' Zébedii biye'ké James índa John haa ní'áazhgo áháłní , Na'nitiní , t'áá nííníikeedígíí nihá bi'díílííł , nííníi'ní .
41:10:036:0	Áko ábizhdííniid , Ha'át'íí nihá baa nideeshaał nohsin ?
41:10:037:0	Áko áháłní , Ayóó ánít'é áni'diilyaadi , ła' ninish'náájí dah siidáa doogo índa ła' ninishtł'ají dah siidáa doogo bee niha'di'ní'aah .
41:10:038:0	Nidi Jesus áhodííniid , Yínóhkeedígíí doo nihił bééhózingóó ádóhní . Sheíką́ągo yishdlánígíí daats'í doohdlį́įłgo bínooł'ą́ ? Áádóó bee shidi'doolzįhii daats'í bee nihidi'doolzįhgo bínooł'ą́ ?
41:10:039:0	Áko , Bíniil'ą́ lą́ą , hodííniidgo Jesus ázhdííniid , Sheíką́ągo yishdlánígíí lá doohdlį́įł ni , áádóó bee shidi'doolzįhii lá bee nihidi'doolzįh ni ,
41:10:040:0	nidi ła' shinish'náájí áádóó ła' shinishtł'ají dah soodáa dooleełígíí shí a'dideesh'áałgo doo bee shóhólníih da , nidi bá hasht'eelyaaígíí éí baa didoot'ááł .
41:10:041:0	Áko neeznált'éhígíí éí deidiizts'ą́ą'go James índa John yich'į' doo bił dahóózhǫǫd da .
41:10:042:0	Áko Jesus t'áá ádzíłtso hágo hodííniidgo áháłní , Nihił béédahózingo doo Jew dine'é danilíinii nidant'á béédaho'dílzinii ayóogo ádídahólníihgo yindant'áa łeh , áko doo Jew dine'é danilíinii bitahgóó ayóó ádaat'é danilíinii ída'niłkadgo bee bídahólnííh .
41:10:043:0	Nidi nihí nihitahgóó éí doo ákót'ée da dooleeł , nidi t'áá háiida nihitahgóó ayóó át'éii deeshłeeł jinízinígíí éí nihá nijil'a' doo ,
41:10:044:0	áádóó t'áá háiida nihitahgóó shí alą́ąjį' dooleeł jinízinígíí éí t'áá ałtso bá nijil'a' doo .
41:10:006:1	Bartimíyas doo oo'íinii oo'į́ ábi'diilyaa
41:10:045:0	Háálá Diné Silį́į'ii ałdó' doo bá na'al'a' da , nidi á naal'a' doo índa be'iina' ninéidiní'ą́ągo daaztsánígíí yee lą'í ninéidiyoołnih yiniyé níyá .
41:10:046:0	Nít'éé' Jériko kin haal'áadi jíkai , áko hódahooł'aahii índa diné hoł nooyéłígíí Jérikodóó bił ch'íjíkaigo Bartimíyas , Timíyas biye' , doo oo'į́į́góó adókeedí nilį́įgo , atiin bąąhgi sidáá lá .
41:10:047:0	Áko Názarethdóó Jesus át'į́ ha'níigo yidiizts'ą́ą'go hadoolghaazhgo ání , Jesus , David biYe' nílíinii , shaa jiiníbaah !
41:10:048:0	Áko diné lą'í , T'áadoo ádíníní , dahałní , nidi t'ah yówehgo hanáázhdoolghaazhgo ájíní , David biYe' nílíinii , shaa jiiníbaah !
41:10:049:0	Áko Jesus t'áá ákǫ́ǫ́ yiizį'go ání , Hágo bidohní . Áko diné doo oo'ínígíí hágo deidííniidgo ádeiłní , Nił hózhǫ́ǫgo nídiidááh ; níláhdę́ę́' hágo niłní .
41:10:050:0	Áko diné éí habeeldléí nahjį' ajiyííłhango náhizhdiitahgo Jesus baazhníyá .
41:10:051:0	Áko Jesus áháłní , Ha'át'íí ná baa nideeshaał shííní'ní ? Áko diné doo oo'íinii ání , Na'nitiní , eesh'į́įgo áshílééh .
41:10:052:0	Áko Jesus áháłní , Nílááh yínááł ; ne'oodlą' bee doo ánít'éhí da násínídlį́į́' . T'áá áko ajoo'į́ dzizlį́į́' áádóó Jesus bikéé' dashdiiyá .
