41:6:001:1	Jesus éí Názarethdi doo bidi'niidzį́į' da
41:6:022:0	Áko Heródiyas bich'é'é yah ííyáago Hérad índa diné yił naháaztánígíí binááł ajoolzhiizhgo bił dahojííshǫǫd , áko aláahgo naat'áanii Hérad éí at'ééd ííłní , T'áá nínízinígíí shííníkeed , áko t'áá éí naa deeshłééł .
41:6:023:0	Áko t'áá hó ádee hadzoodzíi'go at'ééd ábizhdííniid , T'áá shííníkeed shį́į́ naa deeshłééł , bee shóhólníihgo bił haz'áanii ałníí'dóo nidi .
41:6:024:0	Áko at'ééd ch'ínádzáago bimá áyidííniid , Ha'át'íishą' yídéeshkił ? Áko bimá ábíłní , John Tó Yee Asį́įhii bitsiits'iin lą́ą .
41:6:025:0	Áádóó at'ééd tsxį́įłgo aláahgo naat'áanii yich'į' yah anáálwodgo yí'dííkeedgo ání , T'áá k'ad John Tó Yee Asį́įhii bitsiits'iin łeets'aat'ą́hí bii' si'ą́ągo shaa dííkááł .
41:6:026:0	Áko aláahgo naat'áanii t'áá íiyisí bąąh bíni' , nidi ádee hadzoodzí'ígíí índa haa haaskaigo bił nidzíiztánígíí biniinaa at'ééd t'óó jidínóo'ahígíí doo háni' nilį́į da .
41:6:027:0	T'áá áko naat'áanii bizaak'e bá na'ałtseedii ła' ákǫ́ǫ́ ayííł'a'go áyidííniid , John bitsiits'iin nání'aah . Ákǫ́ǫ́ jiníyáago awáalyaa góne' John bik'os k'ízhníłne' ,
41:6:028:0	áko bitsiits'iin éí łeets'aat'ą́hí bee názhníką́ągo at'ééd baazhníką́ , áádóó at'ééd éí bimá yeiníką́ .
41:6:004:1	Diné ashdladi mííl yilt'éego ba'íltsood
41:6:029:0	Áko John bídahooł'aahii díí dayíínii'go ákwii yíkaigo bits'íís dah deidiiłtį́įgo tséní'ootséél góne' yóó'ádayiilaa .
41:6:030:0	Áádóó dajool'aadígíí t'áá ádzíłtso Jesus baa náádziiskaigo ádajíít'įįdígíí índa bee nidaz'neeztą́'ígíí t'áá ałtso Jesus bee bił dahojoolne' .
41:6:031:0	Áko ábizhdííniid , Tį' , t'áá sáhí doo naagháhígóó diikahgo haada nízahjį' háádadoołyįh . Háálá diné lą'í ałnánáálį́įgo biniinaa dazh'dooyį́į́ł yę́ęgi nidi doo há hoo'aah da .
41:6:032:0	Áko t'áá sáhí ats'ájíkaigo tsinaa'eeł bee doo naagháhígóó ajookai .
41:6:033:0	Nidi hoł oo'ołgo diné dahoołtsą́ągo lą'í hwéédahoosįįdgo , da'níłts'ą́ą́dę́ę́' kin hadaas'áádę́ę́' t'áá ni' dayíjeehgo t'áá hó áłtsé áadi neheezhjéé' .
41:6:034:0	Áko Jesus tsinaa'eeł yii'dę́ę́' hááyáago ayóó át'é diné yíl'áago yiyiiłtsą́ , áko dibé éí baa áhályáanii ádin nahalingo biniinaa baa a'ááh jiniizį́į́' , áádóó lą'í bee nízhdíníitą́ą́' .
41:6:035:0	Áko doozhǫǫgo yaa adeez'ą́ągo hódahooł'aahii haa yíkaigo ádahodííniid , Díí doo naagháhígi ádeit'į́ , áádóó k'ad doozhǫǫgo yaa adeez'ą́ .
41:6:036:0	Nídayínóhkááh , bidiní , áko kin naazhjaa'góó índa dáda'ak'ehgóó ahidookah , áadi deidooyį́łígíí nideidiyoołnih , háálá t'áadoo dayóyą́'í da .
41:6:037:0	Nidi ábijiní , T'áá nihí bada'nołtsóód . Áko ádahałní , Dah didiikahgo daats'í denériyas naakidi neeznádiin bíighahgo bááh nidahidiilnihgo nihá deidooyį́į́ł ?
41:6:038:0	Áko ábijiní , Díkwíishą' łees'áán nidaahjaah ? Nihílááh , nihił béédahoozį́į́' . Áko bił béédahoozingo ádadííniid , Łees'áán ashdla' lá , áádóó łóó' t'éí t'áá naakíhí .
41:6:039:0	Áko Jesus ádííniid , Ał'ąą noojaa'go hootsogóó dinohbįįh .
41:6:040:0	Áko t'ááłáhídi neeznádiin índa ashdladiin níjaa'go dadineezbin .
41:6:041:0	Áádóó łees'áán ashdla' índa łóó' naakiígíí néidiinil áádóó yá'ąąshgóó déez'į́į'go yik'i sodoolzin , índa łees'áán niyiitíihgo bídahooł'aahii yitainiih , éí diné yitaa deidoonih biniyé , áádóó łóó' naakiígíí ałdó' t'áá ałtso yá ałts'ádayiizti' .
41:6:042:0	Áko t'áá ádzíłtso da'jííyą́ą'go hwiih dadzizlį́į́' .
41:6:043:0	Áádóó łees'áán áádóó łóó' nidahaasti'go bi'oh da'jííyą́'ígíí náádadziisdláa'go ts'iizis naakits'áadah bii' hadazhdééłbįįd .
41:6:005:1	Jesus táłkáá' yigááł
41:6:044:0	Diné t'áá bízhánígo ashdladi mííl yilt'éego da'ííyą́ą́' lá .
41:6:045:0	T'áá áko hódahooł'aahii ábizhdííniid , Tsinaa'eeł biih hohkáahgo wónaanígóó Bethséyida hoolyéégóó shilą́ąjį' da'doł'eeł , áko shí éí jíl'áhígíí , Nídayínóhkááh , bidideeshniił .
41:6:046:0	Áádóó jíl'áhígíí , Nídayínóhkááh , bizhdííniidóó bik'ijį' sozdidoolzįįł biniyé dził bíjiiyá .
41:6:047:0	Áádóó i'íí'ą́ągo tsinaa'eeł tá'ałníí'góó yi'oł , nidi hó t'éí t'áá sáhí t'áá áadi nijighá .
41:6:048:0	Hach'į' nidahwii'náago da'jíł'eełgo hojiiłtsą́ , háálá hadááhdę́ę́' níyol . Áko yikáíht'áahjį' daats'í ayííłką́ągo táłkáá' joogáałgo baa nídzídzá . T'óó bíighah ch'íjíghááh nít'éé' ,
41:6:049:0	nidi táłkáá' joogáałgo dahoołtsą́ągo , Ha'át'íí shį́į́ bich'į́įdii át'į́ ? daniizį́į'go hak'ee hadadeeshghaazh ,
41:6:050:0	háálá t'áá ałtso dahoołtsą́ągo hwéédaasdzííd . Nidi t'áá áko bich'į' hadzoodzíi'go ábijiní , Nihił dahózhǫ́ . Shíyee' ásht'į́ ; t'áadoo nídaałdzidí .
41:6:051:0	Áko tsinaa'eeł biih jííyá , nít'éé' ííyol . Áko t'áá íiyisí t'óó bił adahayóí .
41:6:006:1	Jesus éí Genésaretdi bąąh dah nidahaz'áanii néidiyiiłjeeh
41:6:052:0	Háálá doo honídahaz'áhígíí biniinaa łees'áán áyííł'įįdígíí t'áadoo bik'idazh'diitą́ą da .
41:6:053:0	Áko kéyah Genésaret hoolyéejį' tsé'naa nida'dzis'éelgo tábąąhgi tsinaa'eeł dah dadziiztł'ǫ́ .
41:6:054:0	Áko tsinaa'eeł bii'dę́ę́' hajookaigo t'áá áko diné hwéédahoosįįd .
41:6:055:0	Áko éí kéyahígi t'áá át'éé nít'éé' diné nihidadiijée'go t'áá haa nídahodiits'į́į́hgóó áádę́ę́' diné bąąh dah nidahaz'ánígíí beeldléí yikáa'gi naaztį́įgo hach'į' nidayiijáahgo yaa nídiikai .
41:6:056:0	Áko kin naazhjaa'góó áádóó kin hadaas'áágóó índa dáda'ak'ehgóó hizhdigháahgo nida'iiniihgóó diné bąąh dah nidahaz'ánígíí nidayiijááh , áko , Bíni'dii ni'éé' bijánil t'éiyá nidi yidahidilchííd , dahałníigo nídahookąąh , áko hodahideeshchidígíí t'áá ałtso hadaałt'é nídaasdlį́į́' .
