41:13:001:1	Kin bii' sohodizin ádooldįįłígíí t'áá bítséedi baa hojoolne'
41:13:027:0	Áadi índa bidiyingo nidaal'a'í iidiyooł'aałgo t'áá dį́į́'góó ni' nidanees'ą́ą́dę́ę́' índa yá nidanees'ą́ą́dę́ę́' atah yiyiizláa'ii áłah ádeidoolííł .
41:13:028:0	Fig sikaadii binahjį' hane' bee ak'idi'dootį́įłii nihił béédahoozįįh : jó , éí bits'áoz'a' dit'ódí yileeh áádóó índa bit'ąą' néitsóohgo , k'adę́ę ch'ínáshį́įhgo nihił béédahózin łeh .
41:13:029:0	Díidíígíí bidahoolníiłgo danół'į́įgo Diné Silį́į'ii k'ad t'áá áyídídę́ę́' nihich'éédą́ą'jį' nidi , bił ahoolzhiizh lá danohsingo nihił béédahózin doo .
41:13:030:0	T'áá aaníígóó ánihidishní , Díí oochíłígíí doo bił yóó'ahodoogáał da , díidí t'áá ałtso ádaadzaago índa .
41:13:006:1	Ákwii yoołkáłígíí índa oolkiłígíí diné ła'da doo hoł bééhózin da
41:13:031:0	Yádiłhił índa nahasdzáán bił yóó'ahodoogááł , nidi shizaad t'éiyá doo bił yóó'ahodoogáał da .
41:13:032:0	Nidi ákwii yoołkáłígíí índa oolkiłígíí diné ła'da doo hoł bééhózin da , yá'ąąshdi diyingo nidaal'a'í nidi dooda , aYe' nidi dooda , nidi aTaa' t'éiyá bił bééhózin .
41:13:033:0	Nihoolzhíísh doo nihił béédahózin daígíí bąą ádaa ádahołyą́ , hada'ísídół'į́į́' áádóó sodadołzin .
41:13:034:0	Diné Silį́į'ii éí díigi át'é : diné ła' haghan bits'ą́ą́' náánáła' kéyahgóó dashdiiyáago há nidaal'a'í t'ááłá'í nítínígo , Díí ninaanish dooleeł , dabizhdííniidgo hook'ee nizhnínil , áádóó ch'é'étiin yaa áhályáanii , Hazhó'ó ha'ísííd , bizhdííniid .
41:13:035:0	Éí bąą hada'ísídół'į́į́' , háálá éí kin bee bóhólníihii nídoodááł bijínígíí doo nihił béédahózin da , i'íí'ą́ągo daats'í , tł'é'ííłníi'go daats'í , naa'ahóóhai biką'í ádííniidgo daats'í , abínígo daats'í nídoodááł .
41:13:036:0	Doo hada'ísídół'į́į́'góó t'áadoo hooyání nídoodáałgo , da'ołhoshgo nihik'ídoogááł .
41:13:037:0	Áko díí ánihidishnínígíí éí t'áá ádzíłtso áhodishní , Hada'ísídół'į́į́' .
