43:6:001:1	Five Thousand Fed
43:6:040:0	For this is the will of My Father , that everyone who beholds the Son and believes in Him will have eternal life , and I Myself will raise him up on the last day . ”
43:6:041:0	Therefore the Jews were grumbling about Him , because He said , “ I am the bread that came down out of heaven . ”
43:6:042:0	They were saying , “ Is not this Jesus , the son of Joseph , whose father and mother we know ? How does He now say , ‘I have come down out of heaven’ ? ”
43:6:043:0	Jesus answered and said to them , “ Do not grumble among yourselves .
43:6:044:0	No one can come to Me unless the Father who sent Me draws him ; and I will raise him up on the last day .
43:6:045:0	It is written in the prophets , ‘A G . ’ Everyone who has heard and learned from the Father , comes to Me .
43:6:046:0	Not that anyone has seen the Father , except the One who is from God ; He has seen the Father .
43:6:047:0	Truly , truly , I say to you , he who believes has eternal life .
43:6:048:0	I am the bread of life .
43:6:049:0	Your fathers ate the manna in the wilderness , and they died .
43:6:050:0	This is the bread which comes down out of heaven , so that one may eat of it and not die .
43:6:051:0	I am the living bread that came down out of heaven ; if anyone eats of this bread , he will live forever ; and the bread also which I will give for the life of the world is My flesh . ”
43:6:052:0	Then the Jews began to argue with one another , saying , “ How can this man give us His flesh to eat ? ”
43:6:053:0	So Jesus said to them , “ Truly , truly , I say to you , unless you eat the flesh of the Son of Man and drink His blood , you have no life in yourselves .
43:6:054:0	He who eats My flesh and drinks My blood has eternal life , and I will raise him up on the last day .
43:6:055:0	For My flesh is true food , and My blood is true drink .
43:6:056:0	He who eats My flesh and drinks My blood abides in Me , and I in him .
43:6:057:0	As the living Father sent Me , and I live because of the Father , so he who eats Me , he also will live because of Me .
43:6:005:1	Words to the Disciples
43:6:058:0	This is the bread which came down out of heaven ; not as the fathers ate and died ; he who eats this bread will live forever . ”
43:6:059:0	These things He said in the synagogue as He taught in Capernaum .
43:6:060:0	Therefore many of His disciples , when they heard this said , “ This is a difficult statement ; who can listen to it ? ”
43:6:061:0	But Jesus , conscious that His disciples grumbled at this , said to them , “ Does this cause you to stumble ?
43:6:062:0	then if you see the Son of Man ascending to where He was before ?
43:6:063:0	It is the Spirit who gives life ; the flesh profits nothing ; the words that I have spoken to you are spirit and are life .
43:6:064:0	But there are some of you who do not believe . ” For Jesus knew from the beginning who they were who did not believe , and who it was that would betray Him .
43:6:006:1	Peter’s Confession of Faith
43:6:065:0	And He was saying , “ For this reason I have said to you , that no one can come to Me unless it has been granted him from the Father . ”
43:6:066:0	As a result of this many of His disciples withdrew and were not walking with Him anymore .
43:6:067:0	So Jesus said to the twelve , “ You do not want to go away also , do you ? ”
43:6:068:0	Simon Peter answered Him , “ Lord , to whom shall we go ? You have words of eternal life .
43:6:069:0	We have believed and have come to know that You are the Holy One of God . ”
43:6:070:0	Jesus answered them , “ Did I Myself not choose you , the twelve , and one of you is a devil ? ”
43:6:071:0	Now He meant Judas the son of Simon Iscariot , for he , one of the twelve , was going to betray Him .
