10:18:001:1	Ábsalam daaztsą́
10:18:012:0	Áko diné éí Jó'ab ííłní , Azhą́ míilgo béésh łigaii shílák'ee'nil nidi , aláahgo naat'áanii biye' doo t'áá k'ad bił nizníłxaal da , háálá aláahgo naat'áanii deísíilts'ą́ą'go yee ánihidííniid , Jó , ni áádóó Abísheiyai índa Ítayai ánihidi'ní , Diné ániid naagháii Ábsalam haada daohłe' lágo .
10:18:013:0	Éí doodago ákwíishłaago she'iina' bik'ijį' náníshdlį́į doo nít'éé' ; jó , aláahgo naat'áanii t'áadoo bits'ąą nanil'iní da , áko ni nidi shíká yí'áał dooleeł nít'éé' .
10:18:014:0	Nít'éé' Jó'ab ádííniid , T'áadoo biniyéhígóó yee' t'óó shiníníłtł'ahgo ádíní , áko tsiidétáán táa'go dah yidiijaa'go Ábsalam bijéí góne' yaa ayiisgeed ; chéch'il yiih dinoolne'go t'ahdii t'áá hináago dah naalch'ąął nít'éé' lá .
10:18:015:0	Áko tsíłkéí neeznált'éego éí Jó'ab yee naabaahii yá nideijaahígíí Ábsalam yinázt'i'go yighá da'ashxiishgo dayiisxį́ .
10:18:016:0	Áko Jó'ab éí deenásts'aa' bidee' bee í'dílzoołí yee ádííniid , áádóó Ízrel dine'é yikéé' deíjeehígíí t'ą́ą́' hahaazhjéé' ; jó , Jó'ab éí diné yéé'níłnii' .
10:18:017:0	Áádóó Ábsalam dah deidiiłtį́įgo tsintahgi t'áá íiyisí hótsaago ahoodzą́ą́ léi' góyaa adayiisxango t'áá íiyisí tsé yik'i yáádayiitsih , áko Ízrel dine'é t'ááłá'í nítínígo dabiníbaalgóó anáhineezhchą́ą́' .
10:18:018:0	Ábsalam t'ah hiná yę́ędą́ą́' tsé níyizii ła' néidii'ą́ągo t'áá bí ádá ayíítsih ; éí aláahgo naat'áanii biyíldzis góyaa yaa'á , háálá íídą́ą́' ání , Shiye' bee shééhániih dooígíí doo ła' naagháa da , áko tsé bízhi' yee yiyíízhi'ígíí díí jį́į́góó Ábsalam bígo haz'ą́ hoolyé .
10:18:019:0	Nít'éé' Zéídak biye' Ahímeiyaz ádííniid , Haa'íyee' k'ad yaashtaałgo aláahgo naat'áanii ábidideeshniił , Bóhólníihii éí ni'ana'í danilínígíí ná k'éidiidlaa .
10:18:020:0	Áádóó Jó'ab áhodííniid , Díí jį́ doo ákǫ́ǫ́ hane' díí'áał da , nidi t'áá haa'ída índa hane' díí'ááł , nidi díí jį́ t'ááká ákǫ́ǫ́ hane' dóó'a' lágo , háálá aláahgo naat'áanii biye' daaztsą́ .
10:18:021:0	Nít'éé' Jó'ab éí Kúshai dine'é nilínígíí áyidííniid , Nílááh , aláahgo naat'áanii bich'į' hane' dí'aahgo yiniłtsánígíí bee bił hodíílnih . Áádóó Kúshai dine'é éí Jó'ab yich'į' yaa ádzaa áádóó dah diilwod .
10:18:022:0	Áko Zéídak biye' Ahímeiyaz éí Jó'ab ánéidoo'niid , Azhą́ ákót'ée nidi shíni'dii , nánooshkąąh , Kúshai dine'é nilíinii bikéé' nídiishyeed bee shadi'ní'aah . Áádóó Jó'ab ádííniid , Ha'át'íí biniyé nídidíílwoł , shiye' . Jó , bik'é hane' díí'áłígíí ádin .
10:18:023:0	Nidi Ahímeiyaz ání , Azhą́ ákót'ée nidi shíni'dii ákǫ́ǫ́ nídiishyeed , áko Jó'ab , Nílááh yílwoł , hałní . Áko Ahímeiyaz t'áá dzígaijí ahénálwodgo Kúshai dine'é nilínígíí yaa diilwod .
10:18:024:0	Nít'éé' naakigo yah a'atiinígíí bita'gi David dah dzizdá , áádóó diné ha'asídígíí éí kin haal'á binaa ahéé'ítł'inígíí t'áá ałch'ishdę́ę́' yah a'atiinígíí bikáa'di tsé ha'naa niní'áhígíí bikáa'di dah náhást'áníjį' haayá , áádóó jidéé'į́į́' , nít'éé' diné léi' t'áá sáhí yilwołgo jiiłtsą́ .
10:18:025:0	Áádóó ha'asídí hahoyííníi'go aláahgo naat'áanii yíká hadoolghaazh . Áko aláahgo naat'áanii ání , T'áá sáhí yilwołgo éí baa hane' hólǫ́ǫ doo . Áko t'áá ahánídę́ę́' yilwoł áádóó hat'áahjį' eelwod .
10:18:026:0	Nít'éé' ha'asídí diné ła' náánáálwołgo yiyiiłtsą́ągo ch'é'étiin yaa áhályánígíí yił hoolne'go ííłní , Shoo , diné ła' náánáálwoł . Áádóó aláahgo naat'áanii ání , Éí ałdó' baa hane' hólǫ́ sha'shin .
10:18:027:0	Áko ha'asídí ání , Baa nitsískeesgo alą́ąjį' yilwołígíí éí Zéídak biye' Ahímeiyaz nidzit'i'ígi át'éego yilwoł . Áádóó aláahgo naat'áanii ání , Éí lá éí diné yá'át'éehii át'į́ ni . Áko hane' yá'át'éehii yoo'áałgo át'į́ .
10:18:028:0	Nít'éé' Ahímeiyaz hahoyííníi'go aláahgo naat'áanii ííłní , T'áá ałtso yá'át'ééh . Áádóó ni'jį' aláahgo naat'áanii biyaajį' tsé'yaa jineeshjoolgo ábijiní , Bóhólníihii nihiDiyin God baa ha'niih le' ; éí diné danilíinii bóhonishníihii aláahgo naat'áanii yich'į' anaa' danízin yę́ę ałtso doo ła' yidziihgóó áyiilaa .
10:18:029:0	Áko aláahgo naat'áanii ádííniid , Da' diné ániid naagháii Ábsalam t'áadoósh ádzaaí da ? Nít'éé' Ahímeiyaz bich'į' haadzíi'go Jó'ab éí aláahgo naat'áanii yá naal'a'í nilíinii dah yidiił'a' áádóó shí ałdó' ná naal'a'í nishłíinii dah shidiił'a' yę́ędą́ą́' t'óó báhádzidígi át'éego hahóó'áago łeezh dah oojołgo yiiłtsą́ , nidi haa dahóót'įįd sha'shin éí doo shił bééhózin da .
10:18:030:0	Áádóó aláahgo naat'áanii ábíłní , Nahjigo hidínáahgo nahjí yiizįįh . Áko nahjį' hizhdeeyáago áájí jiizį' .
10:18:031:0	Nít'éé' shoo , Kúshai dine'é nilíinii níyá áádóó Kúshai dine'é ání , Bóhonishníihii aláahgo naat'áanii hane' hólǫ́ ; jó , Bóhólníihii éí diné nik'ijį' nidaabaah nít'éé' yę́ę t'áá ałtso díí jį́ ná k'éidiidlaa .
10:18:032:0	Áádóó aláahgo naat'áanii éí Kúshai dine'é nilíinii áyidííniid , Da' diné ániid naagháii Ábsalam t'áadoósh ádzaaí da ? Áko Kúshai dine'é hanáánáádzíi'go ádííniid , Bóhonishníihii aláahgo naat'áanii bi'ana'í danilíinii áádóó diné t'áá ałtso adadidoonih biniyé bik'ijį' danilínígíí éí diné ániid naagháii ábi'diilyaa yę́ęgi ádabi'dólne' .
10:18:033:0	Nít'éé' aláahgo naat'áanii t'áá íiyisí bidiisnáa'go yah a'atiin bighą́ą'di haz'ą́ą́ góne' yah ííyáago yicha , áko ákóde yigáałgo ání , Aháláane' , shiye' Ábsalam nílíinii , shiye' , shiye' Ábsalam nílíinii , shígoyee' ná dadeestsaał nít'éé' ; aháláane' , Ábsalam shiye' nílíinii , shiye' nílíinii .
