10:15:001:1	Ábsalam éí ádił naalteehgo David yik'ijį' nilį́
10:15:024:0	Ákohgo Zéídak ałdó' índa Líívai dine'é bił naakaígíí éí Diyin God bitsits'aa' bee aha'deet'áanii deí'aah , áádóó Diyin God bitsits'aa' dílzinii ni' nideiz'ą́ , áko Abáíyathar áajį' níyá ; diné t'áá ałtso kin haal'áádóó ałtso ch'ídahaaznáajį' .
10:15:025:0	Áko aláahgo naat'áanii éí Zéídak áyidííniid , Nílááh , Diyin God bitsits'aa' dílzinii kin haal'áágóó nídóh'aah . Shich'oha'néego Bóhólníihii shąąh tsídeezkéezgo shił nihéédoot'ash , áko bitsits'aa' dílzinii índa bí hólǫ́ǫgi shił ííshjání íidoolííł .
10:15:026:0	Nidi , Doo naa shił hózhǫ́ǫ da , shiłníigo , shoo , kǫ́ǫ́ naashá , bíni'dii t'áá bił yá'át'éhígi áshílééh .
10:15:027:0	Nít'éé' aláahgo naat'áanii éí náá'iiłniihii Zéídak ałdó' ííłní , Náasdi áhodoonííł yaa halne'iísh nílį́ ? Nílááh , kin haal'áagi hózhǫ́ǫgo haz'ą́ą́góó nídídááh ; niye' nidilt'éego éí Ahímeiyaz niye' nilíinii áádóó Abáíyathar biye' Jánathan bił nídíkááh .
10:15:028:0	Shoo , honoojíidi dah nídzílgaígi ádeeshníłígíí bee shił hodíílnihígíí biba' ánísht'ée doo .
10:15:029:0	Éí bąą Zéídak áádóó Abáíyathar éí Diyin God bitsits'aa' dílzinii Jerúsalem kin haal'áágóó t'ą́ą́' názhní'ą́ągo áadi dzizkéé nít'éé' .
10:15:030:0	Nít'éé' David éí Dził Álivz wolyéii bíjiiyá áádóó jichago ákóde joogáałgo hatsii' bik'é'ésti'go áádóó hakee' t'áágééd , áádóó t'áá ałtso diné hoł naakaígíí bitsii' bik'ída'asti'go daachago hoł híikai .
10:15:031:0	Áko ła' David bił hojoolne'go ájíní , Ahíthofel éí t'áá nahont'inee indaha'áii yitaagháago Ábsalam yił nindaha'á . Áádóó David ázhdííniid , Bóhólníihii nílíinii , nánooshkąąh , Ahíthofel kót'é níinii doo áháyą' nídoodleeł .
10:15:032:0	Ákódzaadóó David éí dziłghą́ą'jį' hajiyáago Diyin God bich'į' nináhádlaahídi nahojiłáá nít'éé' , shoo , Árkadóó dine'é Húshai bi'éé' neheesdǫ́ǫzgo áádóó bitsii'jį' łeezh bąąhgo haa níyá .
10:15:033:0	Áko David ábíłní , Shił dah dini'áazhgo nahontł'aaígi shits'ą́ą́' ánít'ée doo .
10:15:034:0	Nidi kin haal'áágóó t'ą́ą́' nídínídzáago Ábsalam ábididííniił , Aláahgo naat'áanii nílíinii , ná naal'a'í nishłį́į doo ; t'áá nizhé'é yá naal'a'í nishłį́ yę́ęgi át'éego k'ad ni ałdó' ná naal'a'í nishłį́į doo . Ákohgo Ahíthofel kót'é nínígíí doo idééłníi da shá ádíílííł .
10:15:035:0	Da' doósh Zéídak áádóó Abáíyathar náá'iiłniihii nilíinii áadi nił hólǫ́ǫ da doo ? Éí bąą t'áá ha'át'íhída aláahgo naat'áanii bighandóó nídiits'į́hígíí éí náá'iiłniihii Zéídak áádóó Abáiyathar bił ch'íhí'aah doo .
10:15:036:0	Shoo , áadi biye'ké bi ł naakai ; Zéídak biye' Ahímeiyaz áádóó Abáíyathar biye' Jánathan áadi naa'aash ; éí t'áá ha'át'íhída nídiits'į́hígíí shich'į' bił béé'íłnih doo .
10:15:037:0	Áko Húshai éí David bik'is nilíinii kin haal'áajį' yah ííyá , áádóó Ábsalam éí Jerúsalem kin haal'áajį' yah ííyá .
