10:5:001:1	David éí Ízrel dine'é aláahgo binanit'a'í ábi'diilyaa
10:5:012:0	Áádóó David díí baa ákozniizį́į́' : Bóhólníihii éí Ízrel dine'é aláahgo binanit'a'í jílį́įgo chánah áhoolaa índa hadine'é Ízrel bá bee hóhólníihgo bił haz'áanii ayóó át'éego áyiilaa .
10:5:013:0	David éí Hííbran kin haal'áádę́ę́' níjí'náádóó bik'ijį' Jérusalem kin haal'áajį' jiníyáago hwe'asdzą́ą́ jíł'íní índa hwe'asdzą́ą́ ła' nínáájiisdláá' ; ákwe'é haye'ké índa hatsi'ké há nidayiishchį́ .
10:5:014:0	Áádóó díí éí Jerúsalemgi há neheezhchínígíí kódaolyé : Shamúwa , Shóbab , Néíthan , Sálaman ,
10:5:015:0	Íbhar , Iilíshuwa , Níífeg , Jafáíya ,
10:5:005:1	David éí Filístiya dine'é yik'eh deesdlį́į́'
10:5:016:0	Iilíshama , Iiláíyada índa Iilífalet daolyé .
10:5:017:0	Áko Filístiya dine'é éí Ízrel dine'é yinanit'a'í nilį́į doo biniyé David ak'ah bik'i yaadziidgo bee bi'doolzį́į'go yaa dahodiizts'ą́ą'go Filístiya dine'é t'áá ałtso David hadeintáá góde aheeskai ; éí David yiyíínii'go bidziilgo haz'ání góyaa ííyá .
10:5:018:0	Filístiya dine'é neheeskaigo Réfeiyim honíts'aa' góyaa t'áá níłtéél nít'éé' nidahaazná .
10:5:019:0	Áádóó David éí Bóhólníihii áyidííniidgo ání , Da' Filístiya dine'éésh bich'į' deeshbah ? Da' shílák'ee didíí'ááłísh ? Áko Bóhólníihii éí David áyidííniid , Ákóde bich'į' díbááh , háálá doo naaki nilį́į́góó Filístiya dine'é nílák'ee dideesh'ááł .
10:5:020:0	Áko David éí Béíyal-piiréízim haz'áníjį' jiníyáago ákwii David ak'eh deesdlį́į́' . David ání , Bóhólníihii shinááł shi'ana'í ałtso íísdįįd ; tó hoł na'neeshxaazhígi áhoolaa ; éí bąą Béíyal-piiréízim hoolyée doo , jidííniid .
10:5:021:0	Ákwii bi'eda'alyaii yik'i daneezhchą́ą́' , áko David áádóó diné yił naakaígíí éí eda'alyaii adeideesk'ą́ą́' .
10:5:022:0	Áádóó Filístiya dine'é nináádahaasnáago Réfeiyim honíts'aa' góyaa t'áá níłtéél nít'éé' nináádahaazná .
10:5:023:0	David éí Bóhólníihii ánááyidoo'niidgo ábidííniid , Doo t'áá k'éhézdon bich'į' dííbah da , nidi bine'jígo adíníít'į́įłgo tsin múlberri wolyéii yíl'áhígíí binaashiijí yídííbah .
10:5:024:0	Áádóó siláo yinééł yists'ą́ą'go tsin múlberri yíl'áhígíí bílátahgóó bii' hodiists'ą́ą'go bikéé' hidoohkah , áko Bóhólníihii nihilą́ąjį' hooleełgo Filístiya bisiláo yinéełii neidoołtsił .
10:5:025:0	Áádóó David éí t'áá ákó'jiilaa Bóhólníihii hach'į' yee haadzí'ígi át'éego éí Gííba kin shijaa'dóó níléí Gíízer kin haal'áajį' Filístiya siláo dazníłtseed .
