10:3:001:1	David biye'ké Hííbran kin haal'áagi nidabi'diizhchį́
10:3:016:0	Áádóó hahastiin haichago hakéé' yigáałgo Bahúrim haz'áníjį' hakéé' niníyá . Áko Ábner ábidííniid , Nílááh , nídídááh . Áádóó t'ą́ą́' dah nídiidzá .
10:3:017:0	Ábner éí Ízrel dine'é yá aląąjį' naazíinii yił yaa nídaast'įįdgo ání , David éí aláahgo nihinanit'a'í nilį́į dooleeł danohsingo hodeeshzhiizh .
10:3:018:0	K'ad ákódaohłééh , háálá Bóhólníihii éí David yee haadzíi'go ádííniid , Shá naal'a'í David binahjį' shidine'é Ízrel éí Filístiya dine'é bits'ą́ąjį' áádóó ana'í t'áá ałtso bits'ą́ąjį' yisdádeeshnił .
10:3:019:0	Áádóó Ábner éí Bénjamin dine'é ałdó' yich'į' yee hahaasdzíí' , índa Ábner éí Hííbran kin haal'áagi David ałdó' yaa níyáago yich'į' yee hahaasdzíí' ; éí Ízrel dine'é bił yá'ádaat'éehii áádóó Bénjamin dine'é bił yá'ádaat'éehii t'áá át'é yee yił nahasne' .
10:3:020:0	Áko Ábner áádóó diné naadiingo bił Hííbran kin haal'áagi David baa jíkai , áádóó David éí Ábner índa diné hoł yíkaígíí yá áda'íísįįd .
10:3:003:1	Jó'ab éí Ábner yiyiisxį́
10:3:021:0	Áko Ábner éí David áyidííniid , Hasht'e'ádideeshníiłgo ákǫ́ǫ́ deeshááł , áádóó Ízrel dine'é t'áá ałtso éí bóhonishníihii aláahgo naat'áanii baa áłah ádeeshłííł , áko éí nił ahadadi'doot'ááł áádóó ni éí t'áá ałtsogóó nanít'áa dooígíí ádaa didíít'ááł . Áádóó David éí Ábner yéé'níłnii'go hózhǫ́ǫgo anáádzá .
10:3:022:0	Nít'éé' , shoo , David bá nidaal'a'í éí Jó'ab yił ana'í yikéé' ííjéé' yę́ędę́ę́' nákaigo ana'í bindaalye'é t'óó ahayóí nídeizhjaa' , nidi Ábner éí Hííbran kin haal'áagi David doo yił naa'aash da , háálá yéé'níłnii'go hózhǫ́ǫgo anáádzáa ni' .
10:3:023:0	Jó'ab índa siláo yił naakaígíí t'áá ałtso yił nákaigo Jó'ab bił hóóne'go áho'doo'niid , Ner biye' Ábner éí aláahgo naat'áanii yaa níyá , áádóó anábi'dool'a'go hózhǫ́ǫgo dah nídiidzá .
10:3:024:0	Áko Jó'ab éí aláahgo naat'áanii yaa níyáago ání , Ha'át'íí lá baa nisíníyá ? Jó , Ábner naa níyáá lá . Ha'át'íísh biniyé t'óó béé'ííníłnii'go hózhǫ́ǫgo dah nídiidzá ?
10:3:025:0	Ner biye' Ábner bééhonísin ; bí éí nini'dooloh yiniyé naa níyá , áko dah hidiinááhgóó áádóó yah anáhídáahgi índa baa nanináhígíí t'áá ałtso bił bééhodoozįįł yiniyé át'į́ .
10:3:026:0	Áádóó Jó'ab éí David yits'ą́ą́' dah nídiidzáago , t'áá áko bá nidaal'a'í Ábner yikéé' ayiis'a'go Sáírah tó hahadleehdóó t'ą́ą́' hoł nídaaskai , nidi ákódzaaígíí David t'áadoo baa ákozniizį́į' da .
10:3:027:0	Nidi Ábner éí Hííbran kin haal'áajį' nádzáago Jó'ab t'áá sahdii ats'áhonílóozgo yah a'atiinígi hazhó'ó hach'į' hadeesdzih nízin nít'éé' ; t'óó hátsą́ą́' biyaa góne' diltłish hagháiníłgeedgo dadziztsą́ , háálá Jó'ab bitsilí Éísahel jiisxį́įgo bidił bits'ánílį́ ájiilaa .
10:3:028:0	Ákóhóót'įįdóó bik'ijį' David haa hodiizts'ą́ą'go ádííniid , Shí índa aláahgo bee shóhólníihgo bił haz'ą́ągi éí Bóhólníihii binááł doo bee nihidahodiit'i'góó Ner biye' Ábner seesyį́įgo bidił deezna'ígíí doo nihik'ehdii áhóót'įįdgóó ahool'áa doo .
10:3:029:0	Bíni'dii éí Jó'ab áádóó bizhé'é ba'áłchíní t'áá ałtso bik'ijį' nídoodleeł , áádóó bíni'dii Jó'ab ba'áłchíní bitahdóó ła' t'áá áłahjį' bilóód bits'ą́ą́dóó his háálį́į doo , doodaii' łóód ats' íís yiyáanii naałdzidii bee bąąh dahaz'ą́ą doo , doodaii' bigish áyah yiniil'áa doo , doodaii' diltłish bee bidi'yoolyééł , éí doodaii' dichin yik'ee naagháa doo .
10:3:030:0	Kót'éego Jó'ab áádóó bitsilí Abísheiyai bił Ábner jiisxį́ , háálá Gíbiyan kin haal'áagi anaa' baa na'aldeehdi bitsilí Éísahel wolyéii bits'ą́ą́' jiisxį́ .
10:3:031:0	Nít'éé' David éí Jó'ab áádóó diné t'áá ałtso yił naakaígíí ábizhdííniid , Nihi'éé' ák'indahidoołdlałgo tł'oh azis bee áká dadoołzis , áádóó Ábner yę́ę baa daahcha doo . Áko aláahgo naat'áanii David t'áá bí ats'íís bee naaltéhí yikéé' yigááł .
10:3:032:0	Áádóó Hííbran kin haal'áagi Ábner yóó'ádayiilaa , áko aláahgo naat'áanii biinéé' ayóó íits'a'go Ábner yóó'ályaa yę́ęgi yícha áádóó diné t'áá ałtso dáácha .
10:3:033:0	Aláahgo naat'áanii éí Ábner yaa atínídindleehgo ání , Da' Ábner joolyéiísh diné doo áhályáanii daaztsánígi át'éego dadziztsą́ ?
10:3:034:0	Níla' doo ahéheestł'ǫ́ǫ́góó , doodaii' nikee' doo ahéheestł'ǫ́ǫ́góódiné doo yá'ádaashóonii dahwiisxį́ nahalingo ni'diisyį́ . Áádóó diné t'áá ałtso haa náádáácha .
10:3:035:0	Áádóó diné t'áá ałtso éí David adooyį́į́ł danízingo t'ah nízaad az'ą́ągo yaa yíkai ; nít'éé' David ádee hadoodzíi'go ádííniid , Diyin God yee' átíshidoolííł áádóó t'ah yówehígi át'éego ákóshidoolííł ; t'áadoo e'e'aahí bááh , doodaii' t'áadoo le'é ła' yíyą́ą'go ákóshidoolííł .
10:3:036:0	Áko diné t'áá ałtso yaa ákodaniizį́į'go bił yá'ádaat'ééh . Ákót'éego aláahgo naat'áanii áát'įįdígíí t'áá át'é diné t'áá ałtso bił yá'ádaat'ééh .
10:3:037:0	Áko diné t'áá ałtso áádóó Ízrel dine'é t'áá ałtso ak'idadi'yiitįįhgo éí Ner biye' Ábner bi'diisyį́ yę́ędą́ą́' aláahgo naat'áanii doo bíniik'ehgo áhoodzaa da lá .
10:3:038:0	Áádóó aláahgo naat'áanii bá nidaal'a'í áyidííniid , Da' díísh t'áadoo baa ákodanoozį́į' da ? Naat'áanii ayóó át'éii índa diné aláahgo át'éii Ízrel dine'é bitahgi daaztsą́ .
10:3:039:0	Áádóó díí jį́ yee' doo shidziil da . Azhą́ aláahgo naat'áanii nishłį́į doo biniyé ak'ah bee alzį́įhii shik'i yaadziid nidi ákónísht'é . Díí diné éí Zerowáíyah biyáázhké danilį́įgo nantł'aígi shits'ą́ą́' ádaat'į́ . Éí doo yá'áshǫ́ǫ́góó ájíít'įįdígíí hadoo yá'áshǫ' bik'ehgo Bóhólníihii k'ééhodidoodlííł .
