10:1:001:1	David éí Saul daaztsánígíí yaa hodiizts'ą́ą́'
10:1:017:0	Áko David atínídindleehgo díí atínáhodindleeh bee Saul yę́ę áádóó biye' Jánathan yę́ę yá hóótáál :
10:1:018:0	( áádóó ałdó' Júdah ba'áłchíní ałtį́į́' biyiin bee nidazhnitin doogo yee haadzíí' ; jó , Jásher binaaltsoos biyi' bee bik'e'ashchį́ : )
10:1:019:0	Ízrel nílíinii , ni'agháhóó'áadi nahaz'ą́ągi nihinanit'a'í nabi'diztseed ; dooládó' ayóó ádaat'éii yę́ę bikéé' ádahasdįįd da !
10:1:020:0	Gath kin haal'áagi t'áadoo baa dahołne'í ; Áshkelan kin haal'áagi kintaa da'aztiingóó t'áadoo bee nidahodołdlaadí , áko Filístiya dine'é bitsi'ké doo yaa bił nidahoozhǫǫh da doo , áádóó doo bąąh nídahineeshgizhii bitsi'ké ak'eh dadeesdlį́į'go doo yee dah danéet'aah da doo .
10:1:021:0	Dził Gilbówa nohłíinii , dahtoo' nąąh nááhódle' lágoínda nik'i ninááhółtą́ą́' lágo , doodaii' nidáda'ak'ehdóódaneest'áanii nááhániihii nínááhódle' lágo , háálá ákwe'é ayóó át'éii yę́ę binaage' t'óó baa'ih ályaago yóó'ahoolghan ; Saul binaage' ak'ah doo bąąh ályaa da .
10:1:022:0	Nidabi'diztseedii bidił índa ayóó ádaat'éii yę́ę bik'ah bits'ą́ą́dóóJánathan be'ełtį́į́' yee doo niseedáa da nít'éé'índa Saul bidiltłish yee ak'idiyaa nilį́į́ nít'éé' .
10:1:023:0	Saul áádóó Jánathan ayóó'ábidó'ní áádóó baa hózhǫ́ǫgo hináá nít'éé' , índa t'áá ahąąh nabi'diztseed ; atsá biláahgo doo nidilna' da nít'éé' ; náshdóítsoh bitsiijį' daditł'ooígíí yilááh ábóodziil nít'éé' .
10:1:024:0	Ízrel dine'é bich'é'é danohłíinii , Saul baa daohcha ; éí éé' łichxíi'go da'ílíinii yee hadanihidiilaa ; óola bee ił dah nátį́hí nidaashch'ąą'go ályaaii nihąąh dah deiznil .
10:1:025:0	Dooládó' ayóó ádaat'éii yę́ę da'ahijigą́ądi nidaaztseed da ! Jánathan , nihi'agháhóó'áadi nahaz'ą́ągi bi'diisyį́ .
10:1:026:0	Shik'is nílíinii , Jánathan , dooládó' nąąh shíni' da . Dooládó' nizhónígi ánít'éego shich'į' ná'áhwiinít'į́'í da nít'éé' ; ayóó'áshííní'níigo dooládó' ayóó ánoolnin da nít'éé' ; asdzání ayóó'áda'ó'níinii biláahgo įįh shííní'níí nít'éé' .
10:1:027:0	Dooládó' ayóó ádaat'éii yę́ę nidaaztseed da ; ana'al'į́ yee danilį́ yę́ę bi'doogą́ą' da !
