10:20:001:1	Shííba éí naalteeh
10:20:011:0	Nít'éé' Jó'ab éí dinééh yił naakaígíí ła' bíighah sizį́įgo ání , T'áá háiida Jó'ab áádóó David bich'odajinínígíí bíni'dii Jó'ab bikéé' dashdiikááh .
10:20:012:0	Nidi atiin ałníí'góó Améísa bidił bik'ee chxii'go sitį́ . Áádóó éí dinééh diné t'áá ałtso áajį' nehejeehgo yiyiiłtsą́ągo Améísa yę́ę atiindóó nahjį' hayííłtį́įgo yik'é'ésti' , háálá binááł diné t'ááłá'í nítínígo ats'íís sitíníjį' neheezhjéé' .
10:20:013:0	Atiindóó nahjį' hayííłtį́įgo diné t'áá ałtso Jó'ab yikéé' dah diikaigo Bíkrai biye' Shííba yikéé' ííná .
10:20:014:0	Nít'éé' Shííba éí Ízrel dine'é t'áá a łtso bitah hazhdiiyáago kéyah Beth-méíyakahgi Éíbel kin haal'áhíjį' jiníyá , áádóó Biiráíyah ba'áłchíní t'áá ałtso ahíikaigo áłah silį́į'go ałdó' hakéé' dah diiná .
10:20:015:0	Áko Jó'ab éí diné yił naakaígíí Beth-méíyakahgi Éíbel kin haal'áhígi yíkaigo yináshzhiizh áádóó binaa ahéé'ítł'inígíí tł'óó'dę́ę́' bitsį́į́góó ahéé'ígeedígíí góne' łeezh háádeidééłbįįdgo ítł'inígíí łeezh bíilk'idgo ádayiilaa índa diné t'áá ałtso yił naakaígíí éí ítł'inígíí nideidoołkał yiniyé nídeiniłgoh .
10:20:016:0	Nít'éé' asdzání hóyáanii léi' kin haal'áhídę́ę́' yéego haadzíi'go ání , Da'íísółts'ą́ą́' , da'íísółts'ą́ą́' , nánihooshkąąh , Jó'ab áháníjį' shich'į' nidoogáałgo bich'į' hadeesdzih .
10:20:017:0	Áádóó áháníjį' bich'į' nizhníyáago asdzání ání , Niísh Jó'ab ánít'į́ ? Áko ábijiní , Shí éí ásht'į́ . Áádóó asdzání áháłní , Asdzání ná naal'a'í bizaad diits'į́į́h . Áádóó ájíní , Níínísts'ą́ą́' .
10:20:018:0	Ákohgo asdzání haadzíi'go ání , Ałk'idą́ą́' ádajiníí nít'éé' , Éíbel kin haal'áagi kót'é ha'nínígíí bínda'ízhdídóołkił . Ákót'éego hoda'diił'áhígíí nidahat'ééh nít'éé' .
10:20:019:0	Ízrel dine'é bitahgi k'é dandzinii áádóó bada'ahódlíii ła' nishłį́ ; Ízrel dine'é bitahgi kin haal'áhígíí áádóó amá nilíinii atídadíílííł bíká ánít'į́ nisin . Ha'át'íísh biniyé Bóhólníihii bíi'ii áníłdįįh doo ?
10:20:020:0	Nít'éé' Jó'ab hanáánáádzíi'go ání , Doodahéi , doodahéi , dooyee' t'áá k'ad ánihisíłdįįd da , doodaii' tínihidiishłaa da .
10:20:021:0	Éí doo ákót'ée da , nidi diné léi' Dził Íífreiyim dani'áhídę́ę́' naagháhígíí Bíkrai biye' Shííba wolyéii éí aláahgo naat'áanii yich'į' nídiildzil . T'áá bí t'éí nihaa nołteeh , áko kin haal'áhígíí bits'ą́ąjį' dah nídadidii'nééł . Áádóó asdzání éí Jó'ab ííłní , Shoo , bitsiits'iin éí kin haal'á binaa ahéé'ítł'inígíí báhátis nich'į' ahidoolghą́ą́ł .
10:20:002:1	David yił bídahólníihii
10:20:022:0	Áko asdzání éí bidine'é t'áá ałtso áłah áyiilaii hóyą́ągo yich'į' yáłti' . Áádóó Bíkrai biye' Shííba bik'os k'ídeisne'go bitsiits'iin éí Jó'ab bich'į' ch'ídayiisxan . Nít'éé' Jó'ab éí deenásts'aa' bidee' bee í'dílzoołí yee ádííniidgo kin haal'áhígíí bik'izdeeskaigo diné t'ááłá'í jinítínígo t'áá hó dahaníbaal naaznilgóó anídziiskai , índa Jó'ab éí Jerúsalem kin haal'áágóó aláahgo naat'áanii yich'į' anáádzá .
10:20:023:0	Nít'éé' Jó'ab éí Ízrel dine'é bisiláo dah deínéehii yinanit'a'í nilį́į́ nít'éé' áádóó Jiihóíyada biye' Biinéíyah éí Kéreth dine'é índa Pííleth dine'é yinanit'a'í nilį́į́ nít'éé' .
10:20:024:0	Áádóó Adóram éí naalte' binaanishii yinant'áago ábi'diilyaa ; Aháílad biye' Jiiháshafat éí naat'áaniishchíín nilį́į́ nít'éé' .
10:20:025:0	Shííva éí naaltsoos ííł'íní nilį́į́ nít'éé' áádóó Zéídak índa Abáíyathar éí náá'iiłniihii nilį́į́ nít'éé' .
10:20:026:0	Áádóó ałdó' Jéíyer ba'áłchíní ahoolchíiłii ła' Áíra wolyéii éí David bá aláahgo náá'iiłniihii nilį́į́ nít'éé' .
