10:24:001:1	David éí Ízrel dine'é índa Júdah dine'é jííłta'
10:24:011:0	Áko nít'éé' David hoos'įįdgo nízhdii'na'go , Bóhólníihii t'áá bí bizaad yee haadzíi'go éí Géed halne'ii nilíinii , t'áá éí David yá náásgóó halne'ii nilį́įgo áyidííniid ,
10:24:012:0	Nílááh , David bich'į' dínáahgo ábidiní , Bóhólníihiiga' kóní , Táa'go haz'ą́ nich'į' nídíínil ; éí ándeeshłíłígíí biniyé t'ááłá'ígo nididíí'ááł .
10:24:013:0	Áko Géed éí David baazhníyáago bee bił hojoolne'go ábijiní , Tsosts'id nááhaijį'ísh nikéyah bikáá'góó dahodidoochįįł ? Éí doodago , táá' nídeezidjį' daats'í ni'ana'í nik'eh dadidlį́įgo nidaniniłchée doo ? Éí náádoodago , táá' yiską́ąjį' daats'í nikéyahgi naa hodoołnih ? K'ad ha'át'íí diniih , áko t'áá bee háínídzí'ígíí éí bee shiníł'a'ii bił náhodeeshnih .
10:24:014:0	Áádóó David éí Géed ííłní , Ts'ídá t'áadoo ádóshne'gi da ; háni'dii k'ad Bóhólníihii bílák'eejį' nida'ádidiit'ááł , háálá ayóó át'éego aa a'ááh nízin . Diné éí doo ła' bílák'eejį' ni'ádideesht'áał da .
10:24:015:0	Ákohgo Bóhólníihii éí naałniih Ízrel dine'é yik'ijį' yiníłnii'ígíí abínídóó níléí bee nihoot'áníjį' yiníłnii' , áko Dan kin haal'áádóó Bíyer-shííba kin shijaa'jį' diné daneeznánígíí tsosts'idiindi mííl nít'éé' lá .
10:24:016:0	Áádóó diyingo naal'a'í éí Jerúsalem kin haal'áagi diné íidoołdįįł biniyé yik'ijį' dah didiilnii'go Bóhólníihii díí doo yá'át'éhígi áhoodzaaígíí yąąh bíni' áádóó diyingo naal'a'í na'ałtseedígíí ííłní , K'adí t'ą́ą́' háádílnííh . Nít'éé' Bóhólníihii bidiyingo naal'a'í Jííbas dine'é Arónah bitł'oh naadą́ą́' habíníná'ál'isí bíighahgi yiizį' .
10:24:017:0	Áko David éí diyingo naal'a'í diné neiłtseedgo yiyiiłtsą́ągo Bóhólníihii yich'į' haadzíi'go ání , Dooládó' ádił asésiih da áádóó ts'ídá doo yá'áshónígi íít'įįd da lá ! Nidi díí dibéshą' haa daadzaa ? Baa nánooshkąąh , háni'dii níla' bee atíshílééh ; shizhé'é yę́ę ba'áłchíní ahoolchíiłii t'áá bił atíshílééh .
10:24:018:0	Áádóó t'áá éí bijį́ Géed éí David yaa níyáago ííłní , Nílááh , Jííbas dine'é Arónah bitł'oh naadą́ą́' habíníná'ál'isí góde dínáahgo áadi Bóhólníihii bich'į' bikáá' náá'iiniihí nidíí'ááł .
10:24:019:0	Áádóó Géed ádííniidígíí bik'ehgo David éí Bóhólníihii áhodííniidígíí bik'ehgo ádziidzaa .
10:24:020:0	Áádóó Arónah jidéé'į́į'go aláahgo naat'áanii índa bá nidaal'a'í yił hach'į' yikahgo jiiłtsą́ , áádóó Arónah ch'ízhníyáago aláahgo naat'áanii biyaajį' nitsizhdinígo'go ni'jį' tsé'yaa jineeshjool .
10:24:021:0	Áko Arónah ání , Ha'át'íí lá biniyé bóhonishníihii aláahgo naat'áanii bá naal'a'í nishłíinii shaa níyá ? David ádííniid , Tł'oh naadą́ą́' habíníná'ál'isígi naa nahodiyeeshnihgo ákwii bikáá' náá'iiniihí nideesh'áałgo Bóhólníihii bich'į' náá'iiniihgo , áko naałniih éí diné bits'ą́ąjį' kódoonííł biniyé náádi'yeeshnih .
10:24:022:0	Áádóó Arónah éí David ííłní , Bíni'dii bóhonishníihii aláahgo naat'áanii náhodii'aahgo t'áá ha'át'íhída bił yá'át'éhígíí ákwii néidiyoołnih . Jó , kǫ́ǫ́ didlidgo nááhániihii biniyé béégashii hólǫ́ áádóó ha'íníná'ál'isígi tsin chodao'ínígíí índa béégashii ałdó' éí tsin bizénínádéetį́įhgo yee tsin ak'i neishoodii didlidgo bee náádi'yoonihii hólǫ́ .
10:24:023:0	Arónah éí díí t'áá ałtso yee aláahgo naat'áanii yich'į' yílnáago aláahgo naat'áanii yeidiní'ą́ . Áko Arónah éí aláahgo naat'áanii áyidííniid , Bóhólníihii niDiyin God éí nááhíníłnii'ígíí ná yidínóozįįł .
10:24:024:0	Áko aláahgo naat'áanii Arónah ííłní , Dooda , nidi t'áá bą́ą́h ílínígíí bíighahgo t'áá aaníí naa nahideeshnih , áádóó t'áadoo bik'é ni'níláii doo bą́ą́h ílíinii éí doo Bóhólníihii shiDiyin God bich'į' nááhideeshnih da . Ákohgo David éí ha'íníná'ál'isígi índa béégashii t'áá bóóltą'go béésh łigaii shékel ashdladiin bíighahgo yee nayiisnii' .
10:24:025:0	Áádóó ákwe'é David éí Bóhólníihii bich'į' náájiiłniih doo biniyé bikáá' náá'iiniihí nizhní'ą́ągo didlidgo nááhániihii áádóó hózhǫ́ǫ́jí nááhániihii náájiisnii' . Ákohgo Bóhólníihii éí kéyah bá níjooskango hodiizts'ą́ą́' áádóó naałniihígíí Ízrel dine'é bits'ą́ąjį' kónáyiidlaa .
