10:22:001:1	David t'áá bí biyiin bibee yisdá'iildéehii yee hataał
10:22:011:0	Áko diyingo naal'a'í chérab wolyéiiyik'i dah sidáago éí bił yít'a' ; níłch'i bąąh diits'a'go bi'diiltsą́ .
10:22:012:0	Áádóó chahałheeł bik'i hííkaadgo í'diilyaa , índa tó diłhiłgo áádóó k'os diłhił bił nihihidiiyį́ .
10:22:013:0	Bits'ádi'nílídígíí bits'áhodiltłi'go bee tsííd dadiiltłah .
10:22:014:0	Yádiłhił biyi'dę́ę́' adi'ní nahalingo Bóhólníihii haadzíí' , Aláahgo Ayóó'át'éii biinéé' diists'ą́ą́' .
10:22:015:0	Áádóó k'aa' yee adziiłt'óohgo ana'í tainooskaad ; nída'iilgęshgo bee t'óó bił dahóóląąd .
10:22:016:0	Tó dahidinéhígóó áádóó nahasdzáán bee daniłdzilígíí yit'į́ daazlį́į́' , háálá Bóhólníihii adeeztehgo bíníí' yéego yee deeyolgo ákót'é silį́į́' .
10:22:017:0	Aghánáhóó'áádę́ę́' shíká adoolnii'go sisił ; tó t'óó ahayóí siyį́ biyi'dę́ę́' yisdáshííłtį́ .
10:22:018:0	Shi'ana'í bidziilii índa shik'ee dadiniihii yits'ą́ąjį' yisdáshííłtį́ , háálá éí shiláahgo ádabóodziil nít'éé' .
10:22:019:0	Shich'į' nahwii'náago yoołkááł yę́ędą́ą́' shaatįįh yínáa nidiBóhólníihii bee nisdzil nít'éé' .
10:22:020:0	Áádóó ałdó' honíteelgo haz'ą́ąjį' shił íí'áazhgo yisdáshííłtį́ , háálá shaa bił hózhǫ́ .
10:22:021:0	T'áá ákogi ánísht'éii bik'ehgo Bóhólníihii shich'į' na'nílá ; a'át'e' shąąh ádinígíí bik'ehgo shich'į' na'nílá .
10:22:022:0	Háálá Bóhólníihii áníinii bik'eh honish'į́įgo yishááł nít'éé'áádóó doo yá'ádaashóonii doo baa naasháágóó t'áadoo shiDiyin God bits'áníyáa da .
10:22:023:0	Háálá yee nihodiiz'áanii shidáahgi hólǫ́ǫ́ nít'éé'índa yee nihwiiz'áanii t'áadoo bits'áníyáa da .
10:22:024:0	Binááł t'áá ákóne' ánísht'éé nít'éé' ; doo ákwii ánísht'ée dooleełígíí bits'ąąádaa áháshyą́ą́ nít'éé' .
10:22:025:0	Éí bąą Bóhólníihii éí t'áá ákogi ánísht'éii bik'ehgo shich'į' na'nílá , índa binááł a'át'e' shąąh ádinígíí bik'ehgo Bóhólníihii shich'į' na'nílá .
10:22:026:0	Aa a'ááh danízinii bich'į' aa a'ááh nínízingo í'díínílzin ; t'áá ákóne' ádaat'į́įgo deíkáahii bich'į' t'áá ákóne' ánít'į́įgo í'díínílzin .
10:22:027:0	Ba'át'e' ádaadinii bich'į' na'át'e' ádingo í'díí'nílzin ; ák'eh dahal'íinii bik'ijį' nílį́įgo í'díí'nílzin .
10:22:028:0	Diné bich'į' nidahwii'náanii yisdáhínííł , nidi diné ádaa daha'niihii níníł'į́ ; éí a'ohgo ádaat'éego ádíílííł .
10:22:029:0	Shibee hool'iní nílį́ , Bóhólníihii ; shił tł'ée'go Bóhólníihii shił ch'ídi'doołdlał .
10:22:030:0	Jó , ni neego siláo yinéełii bik'eh dideeshdleeł ; shiDiyin God bee kin haal'á ahéénítł'inii báhátis dah dínéeshjį́į́ł .
10:22:031:0	Diyin God t'áá bí át'éii ts'ídá t'áá ákogi át'é ; Bóhólníihii bizaad bóhoneestą́ą'go bee baa hodzoosdlíí' ; baa deidzólíii t'áá ałtso yá naagé nilį́ .
10:22:032:0	Háí lá Diyin God nilį́ ? Bóhólníihii lą́ą ; háísh tsé niłdzilii nilį́ ? NihiDiyin God lą́ą .
10:22:033:0	Diyin God bee shidziilgo bine' naasdzi'ii nilį́ , t'áá ákogi ánísht'éego áshósin .
10:22:034:0	Bįįhtsa'ii dilwo'ígi át'éego shikee' bee doo shił nahontł'agóó áshósin , áádóó shi'aghádahaz'áagi dah náshiisįįh .
10:22:035:0	Shíla' bee anaa' yiishchįįh dooleełgo yínashiniłtin , áko béésh łitsoii ałtį́į́' éí shigaan bee néístas .
10:22:036:0	Nibee yisdá'iildééh naagé ałdó' shaa dííní'ą́ ; ná'áhwiinít'į́'íii bee ayóó ánísht'éego áshiinilaa .
10:22:037:0	Doo nantł'agóó nihidishtaałgo áshiinilaa ; éí bąą t'áadoo ałtádiighaz da .
10:22:038:0	Shida'ana'í bikéé' náhidiishyeedgo ádaséłdįįdínda t'áadoo ánáhoosht'įįhí ałtso nahódaséłdįįdjį' hakéé' hinisdzá .
10:22:039:0	Áko ałtso ádahoséłdįįd ; tídahodiishłaago t'áadoo náádahizhdii'na' da ; t'áá aaníí shiyaajį' naa'ahizhneezdee' .
10:22:040:0	Háálá ana'al'į́į doogi adziil bee ákásíszaazgo áshiinilaa , shik'i néijah yę́ę shiyaajį' bik'eh dadínídlį́į́' .
10:22:041:0	Shida'ana'í ałdó' shílák'ee dadííní'ą́ , áko dashijijoołá yę́ę ádahodeeshdįįł .
10:22:042:0	Bíká adoolwołii yíká dadéez'į́į́' nít'éé' , nidi t'áadoo yisdábóníłí da ; Bóhólníihii yich'į' dadéé'į́į́' , nidi t'áadoo bich'į' ééhoosįįd da .
10:22:043:0	Áko ni'góó łeezhgi át'ée doogo bik'ída'iiséłhaal ; kintah atiingóó hashtł'ishígi át'éego bik'i niséyáago nídíí'eez .
10:22:044:0	Shidine'é saad dahółóonii ałdó' bits'ąą yisdáshííníłtį́ ; ał'ąą dine'é aláahgo binanisht'áago áshíínísingo diné doo béédahasin yę́ę shá nidaal'a' .
10:22:045:0	Dé'éyóní danilíinii t'áá bí shiyaajį' ni'ídii'nííł ; t'áá dashidiits'į́hí shik'eh dahół'į́ .
10:22:046:0	Dé'éyóní bichoo'į́ ádaasdįįd , áádóó bidziilgo bił nahaz'ą́ą́dóó nídaaldzidgo ch'éhékááh .
10:22:047:0	Bóhólníihii hiná ; shitsé niłdzilii nilį́įgo baa ha'niih le' , áko Diyin God éí tsé bee yisdéíyáii ayóó át'éii nilį́į le' .
10:22:048:0	Diyin God éí shá k'éédidoo'nííł , áádóó t'áá bí dadine'é shá yik'eh doodleełgo shiyaa ayiinííł .
10:22:049:0	Áádóó shida'ana'í bits'ąą yisdáshíłtééh áádóó shik'ijį' nídahidiikáahii bilááh ánísht'éego áshíínísin ; diné doo daats'íidii bits'ąą yisdáshíłtééh .
10:22:050:0	Éí bąą shí nich'į' ahééh nisin doo , Bóhólníihii nílíinii , ał'ąą dine'é bitahgóó nízhi' baa hashniihgo hashtaał doo .
10:22:051:0	Bóhólníihii éí bi'aláahgo naat'áanii bá bee yisdáhóót'i'ii ayóó át'éii nilį́ ; ak'ah bik'i yaadziidgo yiyíísį́į'ii David áádóó ba'áłchíní ahoolchíiłii yaa a'ááh nízingo ahóyéel'áa doo .
