10:21:001:1	Gíbiyan dine'é k'éédadidoo'nííł bee bá hoo'a'
10:21:012:0	Nít'éé' David dah diiyáago Saul yę́ę bits'in áádóó biye' Jánathan yę́ę bits'in éí Jéíbesh-gíliyadóó diné yits'ą́ą́' nídeidiinil ; jó , éí Béthshan kin haal'áagi atiindóó deineez'į́į́' nít'éé' . Ákwii Filístiya dine'é éí Gilbówa kin haal'áagi Saul dayiisxį́ bijį́į́ góne' bits'íís dah deidiilo' .
10:21:013:0	Áádę́ę́' Saul yę́ę bits'in áádóó haye' Jánathan yę́ę bits'in názhníjaa' , áádóó náádaała' dah dabi'diidlo' yę́ę dabits'in áłah áńjiidlaa .
10:21:002:1	Abísheiyai éí yé'iitsoh bits'ą́ąjį' David yisdáyííłtį́
10:21:014:0	Nít'éé' Saul yę́ę áádóó haye' Jánathan yę́ę bits'in éí Bénjamin bikéyahdi Zíílah kin shijaa'gi Saul bizhé'é yę́ę Kish wolyéii bitséní'ootséél góne' yóó'ádajiilaa ; aláahgo naat'áanii yee haadzí'ígíí t'áá ałtso bik'eh ádadziidzaa . Áádóó bik'ijį' Diyin God bich'į' kéyah bá sonídazdilzįįhgo há yik'iníjídliih .
10:21:015:0	Áko nít'éé' Filístiya dine'é éí Ízrel dine'é yik'i náánéijéé' áádóó David bá nidaal'a'í yił ákóyaa níná ; Filístiya dine'é yik'iijée'go yił da'ahoogą́ą́' , áko David dínéesna'go nídínéesdzá .
10:21:016:0	Nít'éé' Íshbai-bíínab wolyéii yé'iitsoh biye'ké ła' nilį́įgo éí bitsiidétáán bílátahjį' deeníigo bighą́ą́h dí'áhígíí éí béésh łitsoii bee ályaii táadi neeznádiin shékel wolyéii dah hidídlo' áádóó ákászaazígíí diltłish ániidíii bąąh dah sitą́ągo David diyeeshxééł nízin .
10:21:003:1	David bá nidaal'a'í éí yé'iitsoh nideistseed
10:21:017:0	Nidi Zerowáíyah biyáázh Abísheiyai éí David yíká aalwodgo Filístiya dine'é yighá'níłgeedgo yiyiisxį́ . Áko David hadiné hach'į' ádee hadadeesdzíi'go ádahałní , Anaa' baa na'aldeehgóó t'áadoo nihił nanibaahí , áko Ízrel dine'é bibee adinídíinii doo dínííłtsis da .
10:21:018:0	Ákódaadzaadóó náábík'ijį' Gab haz'ánígi Filístiya dine'é bił ałk'i náájiijéé' , áko Húshath dine'é Síbiikai wolyéii Saf yiyiisxį́ ; éí yé'iitsoh biye'ké ła' nilį́į́ nít'éé' .
10:21:019:0	Náá'áłdó' Gabgi Filístiya dine'é bił ałk'i náájiijéé' ; t'áá ákwe'é Béthlehemdóó diné Jéíyarii-óriijim biye' Elhéínan éí Gath kin haal'áádóó diné ła' yiyiisxį́ ; éí Goláíyath yę́ę bik'is nilį́į́ nít'éé' ; éí bitsiidétáán á sitą́ągi áníldííl .
10:21:020:0	Náá'áłdó' Gath kin haal'áagi ałk'i náájiijéé' ; ákwii diné ayóó áníłnééz léi' naaghá . Éí bíla' t' áá ałch'ijí bílázhoozh hastą́ą́h , áádóó bikédiníbiní t'áá ałch'ijí ałdó' hastą́ą́h , áko t'áá át'égo naadiin dį́į́' ; éí ałdó' yé'iitsoh biye' nilį́ .
10:21:021:0	Áko éí Ízrel dine'é nayé'é'įįhgo David bik'is Shímiya biye' Jánathan éí hwiisxį́ .
10:21:022:0	Díí dį́lt'éego yé'iitsoh bá nidabi'diizhchį́įgo Gath kin haal'áagi nidaakai nít'éé' ; David áádóó bá nidaal'a'í dabííghą́ą́' .
