43:8:001:1	Asdzání adiléego hadeel'į́į́'
43:8:036:0	Éí bąą aYe' nihéédeideezhchidgo, t'áá aaníí nihéédadeeshchid doo. 
43:8:037:0	Éíbraham bits'ą́ą́dóó da'ahílchíihii danohłį́įgo shił bééhózin, ákondi dahodiyiilyééł dashíínóh'ní, háálá shizaad nihiyi'di doo bá nahosooł'ą́ą da. 
43:8:005:1	Níłch'i bida'iiníziinii binanit'a'í danihizhé'é át'é
43:8:038:0	ShiTaa' bił honishłǫ́ǫ́dą́ą́' yiiłtsánígíí t'áá éí bee yáshti', nihí ałdó' danihizhé'é bits'ą́ą́dóó dasidoots'ą́'ígíí t'éí baohkah. 
43:8:039:0	Áko hanáádaasdzíi'go ádahodííniid, Éíbraham éí danihizhé'é nít'éé'. Jesus ánááhodoo'niid, Éíbraham ba'áłchíní danohłį́įgo la', Éíbraham yaa naayáhígíí baa naahkai doo nít'éé'. 
43:8:040:0	Diyin God bits'ą́ą́dę́ę́' t'áá aaníinii diséts'ą́'ígíí t'éiyá bee nihił hweeshne', nidi k'ad dahodiyiilyééł dashíínóh'ní. Éíbraham éí doo ákódzaa da. 
43:8:041:0	Nihí nihizhé'é yaa naagháhígíí baa nidaahkai. Áko ádahodííniid, Nihí doo adilyé bee danihi'dizhchį́į da, áko nihiTaa' t'ááłá'í, éí Diyin God. 
43:8:042:0	Nít'éé' Jesus áhodííniid, Diyin God nihiTaa'go la', ayóó'ádashíínóh'níi doo nít'éé', háálá Diyin God bits'ą́ą́dę́ę́' níyá; doo t'áá shíniik'eh níyáa da, nidi bí shiníł'a'. 
43:8:043:0	Hait'éegoshą' yáshti'ígíí doo bik'ida'doohtįįh da? Jó, t'áá íiyisí doo t'áá k'ad shizaad dasidoots'ą́ą' daígíí bee át'é. 
43:8:044:0	Níłch'i bida'iiníziinii binanit'a'í danihizhé'é át'é, éí bits'ą́ą́dę́ę́' dahosoolį́į́', éí nihizhé'é nilíinii laanaa nízinígíí t'éí bida'oł'į́. Éíyee' hodeeyáádę́ę́' diné neiłtseedii nilį́, áko t'áá aaníinii doo ádíidéélt'i' da, háálá t'áá aaníinii bii' ádin. Biyooch'íidgo t'áá bí át'éii yee ádaa yálti', háálá biyooch'íidii nilį́, áádóó wooch'ííd yizhé'é nilį́. 
43:8:045:0	Nidi t'áá aaníinii bee nihił hashne'go bąą, doo dashoohdlą́ą da. 
43:8:046:0	Nihitahdóoshą' háí bąąhági át'éii yee shik'íhodoo'ah? T'áá aaníinii bee nihił nahashne'go, hait'éegoshą' doo dashiinohdlą́ą da? 
43:8:006:1	Éíbraham t'áá bítséedi honishłǫ́
43:8:047:0	T'áá háiida Diyin God bits'ą́ą́dę́ę́' ájít'ínígíí éí Diyin God bizaad jidiits'a', nidi nihí doo dayíísółts'ą́ą' da, háálá doo Diyin God bits'ą́ą́dę́ę́' ádaaht'į́į da. 
43:8:048:0	Áko Jew dine'é ánáádahodoo'niid, Samériya dine'é ła' nílį́įgo, níłch'i bi'iiníziinii niyi'di hólǫ́, dandii'nínígíí da' éísh doo t'áá aaníígóó ádandii'níi da? 
43:8:049:0	Jesus ánáádoo'niid, Shí doo níłch'i bi'iiníziinii shiyi'di hólǫ́ǫ da, nidi shí shiTaa' shił nilį́įgo íínísin, áko nihí doo nihił danishłį́į da. 
43:8:050:0	Ákondi t'áá shí bee ayóó ánísht'ée dooleełii doo hásht'į́į da; t'áá łashdilt'éhí t'éí bee ayóó ánísht'éii hoł nilį́įgo hájít'į́, áko éí á nihojii'aah doo. 
43:8:051:0	T'áá aaníí, t'áá aaníígóó ánihidishní, T'áá háiida shizaad bik'eh hojíł'į́įgo, éí doo dazdootsaał da. 
43:8:052:0	Áko Jew dine'é ánáádahodoo'niid, K'ad lą́ą, níłch'i bi'iiníziinii niyi'di hólǫ́ǫgo nihił béédahoozin. Éíbraham daaztsą́, Diyin God yá dahalne'ii nít'é'ígíí ałdó' daneezná, nidi ádíní, T'áá háiida shizaad bik'eh hojíł'į́įgo, éí doo dazdootsaał da. 
43:8:053:0	Da' niísh nihizhé'é Éíbraham yę́ę biláahgo ayóó ánít'é? Éí daaztsą́, Diyin God yá dahalne'ii nít'é'ígíí ałdó' daneezná! Ákoshą' háí í'díl'į́? 
43:8:054:0	Nít'éé' Jesus ánáádoo'niid, T'áá shí ts'ídá ayóó ánísht'é í'díshnéehgo ts'ídá ayóó ánísht'é í'díshnéhígíí éí t'áadoo shá nídoodleełí da, nidi shiTaa' ayóó ánísht'éego áshósinígíí, Éí nihí nihiDiyin God, dadohní. 
43:8:055:0	Nidi nihí doo hwéédahonohsin da; shí hwééhasin. Doo hwééhasin da, dishníigo, t'áá nihígi ánísht'éego shiyooch'íid doo nít'éé', nidi hwééhasingo hazaad bik'eh honish'į́. 
43:8:056:0	Éíbraham nihizhé'é yę́ę sheidoołkáłígíí yiidoołtséełgo yąą bił hózhǫ́ǫ́ nít'éé', áko yiyiiłtsą́ągo bił hóózhǫǫd. 
43:8:057:0	Jew dine'é ánáádahodoo'niid, T'ah doo ashdladiin nináháah da, da' ákoósh Éíbraham yiniłtsą́? 
43:8:058:0	Jesus ánááhodoo'niid, T'áá aaníí, t'áá aaníígóó ánihidishní, Éíbraham t'áá bítséedi honishłǫ́. 
43:8:059:0	Ákohgo dahwíídínóołniił biniyé tsé nídayiizláá', nidi Jesus éí [diné bitahgóó ch'ízhníyáago] bits'ąą nízhdeest'į́į́', áko kin bii' sohodizin bił haz'ánígíí biyi'dóó ch'ízhníyá.
