24:23:001:1	Daadziihígíí t'ą́ą́' nináhaaskai
24:23:015:0	Éí bąą t'áá ałtsoní bee Bóhólníihii éí áhodoonííł yaa dahalne'ii yaa haadzíi'go kóní , Jó , dích'íi'ii hodadiyeesį́į́ł áádóó tó ánít'į́įhii hodadiyeeshdlį́į́ł , háálá Jerúsalemdóó áhodoonííł yaa dahalne'ii bits'ą́ą́dóó Diyin God doo bá iináájí iinánígíí háát'i' silį́į'go kéyah t'áá náhwiist'ą́ą́ nít'éé' bikáá'góó nihinéést'e' .
24:23:016:0	T'áá ałtsoní bee Bóhólníihii kóní , Áhodoonííł yaa dahalne'ii nihił dahalne'ígíí bizaad t'áadoo deínółts'ą́'í . Wooch'ííd baa dadzíínóhłíigo ádanihile' . Bóhólníihii yee hahaasdzíi'ii doo yaa dahalne'góó t'áá bí dabijéí biyi'di yee yaa nitsídaazkéezii yaa dahalne' .
24:23:017:0	Dashi'íinii yich'į' t'áá áłahjį' kódeiłní , Bóhólníihii ádííniid , Yá'át'éehgo dahinohnáa dooleeł , nihiłní . Áádóó diné t'ááłá'í nítínígo dabijéí yee nidaalteehii yik'ehgo deíkáahii , Doo yá'át'éehii doo nik'i hwiidooleeł da , deiłní .
24:23:018:0	Háíyee' Bóhólníihii baa ahí'iildee'go Bóhólníihii bizaad baa ákodínéesįįł áádóó dideests'į́į́ł nízingo ákwii yiizį' ? Háí éí Bóhólníihii bizaad yidiizts'ą́ą'go át'é niizį́į́' ?
24:23:019:0	Jó , níyoltsoh éí Bóhólníihii t'óó báhádzidgo báhóóchįįdígíí niheeldoh . Éí nááts'ó'oołdísiitsoh t'áá íiyisí t'óó bik'e'íyé'ígi át'éego diné doo yá'ájíshóonii yik'i ch'ídoogááł .
24:23:020:0	Bóhólníihii bijéí bii'di yaa nitsíkeesii ałtso yi'iilaago áádóó ałtso yinaashnishjį' índa báhóóchįįdii baa náhodoodleeł . Akée'di yoołkáałdi nizhónígo bik'idadi'doohtį́į́ł .
24:23:021:0	Díí dahalne'ii doo déíł'aad da , nidi dahalne'go tádadookai . T'áadoo bich'į' haasdzíi' da nidi dahoolne' .
24:23:022:0	Nidi shaa ahí'iildee'go ákwe'é dadziizį'go t'éiyá shizaad bee shidine'é bił dahojoolne' doo nít'éé' , áádóó doo yá'áshǫ́ǫ́góó dahináanii índa doo yá'áshǫ́ǫ́góó ádaat'íinii bits'ą́ąjį' dah nídabizhdiiłkai doo nít'éé' .
24:23:023:0	Diyin God nízaadi hólóonii doo nishłį́į da , nidi kǫ́ǫ́ honishłǫ́ , ní Bóhólníihii .
24:23:024:0	Doo yideestséeł da biniyé doo dahoot'į́įdi diné ła' nídidoot'į́įłgoósh yíneel'ą́ ? ní Bóhólníihii . Yá'ąąsh áádóó nahasdzáán t'áá ałtsogóó bii' honishłǫ́ , ní Bóhólníihii .
24:23:025:0	Áhodoonííł yaa dahalne'ii shízhi' binahjį' wooch'ííd yaa dahalne'go , Neisííyeel , neisííyel , daaníigo diséts'ą́ą́' .
24:23:026:0	Haa nízáágóoshą' ? Áhodoonííł yaa dahalne'ii wooch'ííd yaa dahalne'go bijéí yee binda'adlo'go yaa nitsídaakeesígíí bijéí bii' dahólǫ́ǫgoósh ádaat'į́ ?
24:23:027:0	Éí nideizyeelígíí yee ahił dahalne'go shidine'é éí shízhi' yaa deidiyoonah danízingo yiniyé ádaat'į́ . T'áá ákót'éego dabizhé'é yę́ę ałdó' Béíyal yich'į' nidahałáá nít'éé' yę́ę biniinaa shízhi' yaa dayooznah .
24:23:028:0	Áhodoonííł yaa halne'ii neizyeelígíí háni'dii yaa halne' . T'áá háiida shizaad nei'áii éí háni'dii ba'ahódlíigo shizaad yaa halne' . Tł'oh naadą́ą́' yigizhgo bitsiin éí bineest'ą' doo bił aheełt'ée da ya' ? ní Bóhólníihii .
24:23:029:0	Shizaad éí ts'ídá kǫ' nahalin áádóó bee atsidí tsé k'íyiiłne'ii nahalin , ní Bóhólníihii .
24:23:030:0	Éí bąą áhodoonííł yaa dahalne'ii t'ááłá'í nítínígo náánáła' halne'é nilíinii shizaad yee deini'įįhii hak'ijį' nish łį́ , jó'akon , ní Bóhólníihii .
24:23:031:0	Áhodoonííł yaa dahalne'ii dabitsoo' chodayooł'į́įgo , Bóhólníihii kóníí lá , daaníinii éí bik'ijį' nishłį́ , jó'akon , ní Bóhólníihii .
24:23:032:0	Doo t'áá aaníí na'iisgeelii yaa dahalne'ii , éí dabiyooch'íidgo áádóó t'áadoo biniyéhígóó yee ádaa daha'niihgo yee shidine'é ádił nida'iilzíihgo ádeile'ii éí bik'ijį' nishłį́ , jó'akon , ní Bóhólníihii . Nidi éí t'áadoo dahóół'aad da , áádóó kódadohníi dooleeł t'áadoo hodííniid da , índa díí dine'é t'áadoo bee bá chodajoo'įįhí da , ní Bóhólníihii .
24:23:033:0	Ákohgo díí dine'é ła' , éí doodaii' áhodoonííł yaa dahalne'ii ła' , doodaii' nááda'iiłniihii ła' , Bóhólníihii haa yit'éego baa nááháne' ? níigo nanihídééłkidgo kót'éego bich'į' háádíídzih , Haa yit'éego hane'ígíí ááhdiní ? Nihí yóó'anihidideesh'ááł , nihiłní Bóhólníihii bididííniił .
24:23:034:0	Áádóó áhodoonííł yaa dahalne'ii ła' áádóó nááda'iiłniihii ła' índa dinéda ła' , Bóhólníihii bits'ą́ą́dę́ę́' íiyisí baa hane'ii , níigo yáłti'ii éí diné ba'áłchíní t'áá bił atídeeshłííł .
24:23:035:0	Nidi diné t'ááłá'í nítínígo yił kééhat'íinii , índa hak'is nilíinii , Bóhólníihii haa yit'éego nihich'į' énáhoosįįd ? doodaii' , Bóhólníihii haa yit'éego hanáánáádzíí' ? da'ahidoh'níi dooleeł .
24:23:036:0	Áko kodóó Bóhólníihii bits'ą́ą́dę́ę́' hane'ii doo ła' náádidoo'niił da , háálá diné t'ááłá'í jinítínígo t'áá hó hazaad chodajooł'į́į doo , áádóó Diyin God hináanii , éí t'áá ałtsoní bee Bóhólníihii nihiDiyin God bizaad łahgo át'éego ádaohłaa .
24:23:037:0	Kót'éego áhodoonííł yaa halne'ii bich'į' yádaołti' doo , Bóhólníihii haa yit'éego nich'į' énáhoosįįd ? áádóó , Bóhólníihii haa yit'éego hanáánáádzíí' ? dabidohníi doo .
24:23:038:0	Nidi , Díí Bóhólníihii bits'ą́ą́dę́ę́' hane' , dadohníigo ts'ídá nihich'į' Bóhólníihii kóní , Díí Bóhólníihii bits'ą́ą́dę́ę́' hane' bee hadasoohdzí'ígíí bąą , Díí Bóhólníihii bits'ą́ą́dę́ę́' hane' , t'áadoo dadohníní , nihidishníigo nihich'į' i'ííł'a' .
24:23:039:0	Éí bąą ts'ídá nánihidideeshjihgo nihí áádóó danihizhé'é yę́ę t'áá bił kin haal'áago nihaa diní'áanii ákwii honishłǫ́ǫ́dóó áts'á nihideesxas , jó'akon .
24:23:040:0	Áádóó doo baa hodiyoo'nahgóó hool'áágóó nihik'ijį' yáti'go índa nihaa yáhásingo ánihideeshłííł .
