24:11:001:1	Aha'deet'ą́ k'éti'
24:11:013:0	Háálá , Júdah nílíinii , t'áá nikin hadaas'á ánéelą́'ígi át'éego t'áá ákónéelą́ą'go nidiyin dabidi'níinii hazlį́į́' , áádóó bikáá' náá'iiniihí bikáá'dóó Béíyal bich'į' tsin bijeeh dilidgo łikání halchinii éí Jerúsalemgi kintaa da'aztiinígi ánéelą́ą'go t'óó baa yáhásingo bikáá' náá'iiniihí nidasínínil .
24:11:014:0	Éí bąą díí dine'é t'áadoo bá sodílziní , doo nidi bá ná'iinikąąhgo bá sodidíílzįįł da , háálá bide áhoodzaago nídashookąąh nidi , doo hodideests'į́įł da .
24:11:015:0	Ayóó'ósh'níinii doo yits'ídígi áát'įįdgóósh háí hadi'ní'ą́ągo shighan góne' nináájídáa doo ? Bee ádee hahínídzíi'ii índa atsį' nááhániihii éísh atíní'dilnéhígíí ná nahjį' kwíidoolííł ? Ákódzaago éí baa nił hózhǫ́ǫ doo .
24:11:016:0	Bóhólníihii kóniłníí nít'éé' , Tsin áliv dootł'izhgo sikaadii yá'át'éehii índa bineest'ą' yá'át'éehii nidi ayóó íits'a'go níyolgo yihodíínil , áádóó bits'áoz'a' ałtso adahideezk'ą́ą́' .
24:11:002:1	Jeremáíyah binahast'ą́
24:11:017:0	Ízrel dine'é índa Júdah dine'é éí tsin bijeeh dilidgo łikání halchinii Béíyal yich'į' deidiłidgo doo yá'áshónígi ádáát'įįdgo shá dahashchįįdígíí biniinaa t'áá ałtsoní bee Bóhólníihii k'indííláii doo yá'áshónígi áńdi'doolníłígíí yee haadzíí' .
24:11:018:0	Bóhólníihii shił ééhózin áyiilaago shił bééhoozin ; áadi índa yaa nidaakaígíí shich'į' yit'íní íinilaa .
24:11:019:0	Nidi dibé yázhí doo át'íínígíí naatseedjį' eedlóozii nahonishłin nít'éé' . Haa'íyee' tsin sikaadígíí bineest'ą' t'áá bił ádadiildįįł ; haa'íyee' dahináanii bitahdóó dadiyiilyééł , áko bízhi' doo bénínááhániih da doo , daaníigo shik'ijį' danilį́įgo shindahazgizígíí doo shił bééhózin da nít'éé' .
24:11:020:0	Nidi , t'áá ałtsoní bee Bóhólníihii nílíinii , t'áá ákogi át'éego ánihoyí'aahii , áádóó diné bijéí índa bíni' bééhózingo áyoolíiłii nílíinii , biniyé ásht'íinii naadiní'ánígíí biniinaa haa'íshą' bee k'éé'dínéehii yideestsééł ?
24:11:021:0	Éí bąą Ánathath kin haal'áadi diné kéédahat'íinii nizéédeidoot'įįłgo yíká da'ałkidii , Bóhólníihii bízhi' bee t'áadoo hólne'é , éí doodaii' dandiyiilyééł , daaníinii éí Bóhólníihii kót'éego yaa haadzíí' .
24:11:022:0	Éí bąą t'áá ałtsoní bee Bóhólníihii kóní , Shoo , atíhodeeshłííł . Tsíłkéí diltłish bee nidadootsił ; biye'ké índa bitsi'ké éí dichin nidabidoołtsił .
24:11:023:0	Ánathath kin haal'áagi diné kéédahat'íinii doo yá'áshónígi ádahodeeshłíłígíí yihah góne' atíháshłéehgo t'ááłá'í nidi doo ła' jidoodzih da .
