24:36:001:1	Naaltsoos yisdisii iidííłk'ą́ą́'
24:36:011:0	Shéífan biye' Gemaráíyah biye' Maikáíyah éí Bóhólníihii bizaad naaltsoos yisdisii bikáa'gi bee bik'e'ashchínígíí t'áá át'é yidiizts'ą́ą'go
24:36:012:0	aláahgo naat'áanii bighan góyaa ííyá . Áadi naaltsoos ííł'íní bighan góne' yah ííyáago naat'áanii danilíinii t'áá ałtso ákóne' naháaztą́ . Naaltsoos íí ł'íní Iilíshama áádóó Shiiméíyah biye' Diiléíyah áádóó Ákbor biye' Elnéíthan áádóó Shéífan biye' Gemaráíyah índa Hananáíyah biye' Zedekáíyah áádóó naat'áanii danilíinii t'áá ałtso ákóne' naháaztą́ .
24:36:013:0	Ákohgo Bérak éí naaltsoos yisdisii bikáa'gi bik'e'ashchínígíí t'áá át'é diné dabíists'ą́ą'go yich'į' yiyííłta'go Maikéíyah éí saad yidiizts'ą́ą'ii diné t'áá ałtso yee yił hoolne' .
24:36:014:0	Ákohgo naat'áanii danilíinii t'áá ałtso éí Kúshai biye' Shelemáíyah biye' Nethanáíyah biye' Jiihúdai éí Bérak yich'į' adeis'a'go ádeidííniid , Naaltsoos yisdisii bikáa'gi bee bik'e'ashchį́įgo diné daníists'ą́ą'go t'áá át'é bich'į' yíníłta'ígíí éí yítį́įłgo nihaa díínááł , bididííniił . Áko Niiráíyah biye' Bérak éí naaltsoos yisdisii yootį́įłgo haa níyá .
24:36:015:0	Áko Bérak ádeidííniid , Nídaahgo yíníłta' . Áádóó Bérak naaltsoos hach'į' yiyííłta' .
24:36:016:0	Ákódzaadóó bik'ijį' saadígíí t'áá ałtso deidiizts'ą́ą'go nídaasdzíidgo da'ahinéél'į́į́' , áádóó Bérak ádeidííniid , Díí saadígíí t'áá át'é aláahgo naat'áanii nilíinii bee bił dahodiilnih .
24:36:017:0	Áádóó Bérak nideídééłkidgo ádaaní , Díishą' haa yit'éego saad t'áá át'é bee ak'e'shíníłchį́ ? Yááłtihgoósh bik'e'shíníłchį́ ?
24:36:018:0	Áádóó Bérak hach'į' haadzíi'go áháłní , Díí saad éí t'áá ałtso ałkéé' yee yááłtihgo tó bee ak'e'elchíhí bee naaltsoos yisdisii bikáa'gi ak'e'shéłchį́ .
24:36:019:0	Ákohgo naat'áanii danilíinii éí Bérak ádeidííniid , Ni áádóó Jeremáíyah nihílááh nídóht'įįh , áádóó diné ła' t'ááká nídooht'į́į'gi bił bééhoozį́į́' yíila' .
24:36:020:0	Áádóó naaltsoos ííł'íní nilíinii Iilíshama bighan góne' naaltsoos yisdisii nizhnítą́ągo aláahgo naat' áanii kót'éego dabiłníinii yił ahínéikah góne' yah ajíí'áázh , áádóó aláahgo naat'áanii éí saad t'áá át'é bee bił hojoolne' .
24:36:021:0	Ákohgo Jiihúdai éí naaltsoos yisdisii néididootį́į́ł biniyé aláahgo naat'áanii bííł'aad , áádóó naaltsoos ííł'íní Iilíshama bighandę́ę́' naaltsoos yisdisii néidiitą́ . Áko Jiihúdai éí aláahgo naat'áanii áádóó naat'áanii danilíinii bíighahgóó naazį́įgo naaltsoos yisdisii bich'į' jííłta' .
24:36:022:0	Íídą́ą́' náhást'éí nídízííd binih aláahgo naat'áanii keehai hooghan góne' honibąąhdóó sidáago
24:36:023:0	Jiihúdai éí naaltsoos yisdisii biká'ígíí yaago hadadiit'i'ígíí táa'da , dį́į'da náyóltahgo aláahgo naat'áanii éí biih náwo'í yee k'íyiigéeshgo tsídzayiiłkaad , áko t'áá ákót'į́įgo naaltsoos yisdisii ałtso iidííłk'ą́ą́' .
24:36:024:0	Ákondi aláahgo naat'áanii índa bá nidaal'a'ii díí saad deidiizts'ą́ą'go t'áadoo ła' bik'ee bił dahóóyée' da , índa t'áadoo bi'éé' ádąąh nidayooldláad da .
24:36:025:0	Azhą́ Elnéíthan áádóó Diiléíyah índa Gemaráíyah éí aláahgo naat'áanii , Naaltsoos yisdisii ts'ídá doo adidííłk'ą́ął da , deiłníigo nídayooskan nidi , t' áadoo hodiizts'ą́ą' da .
24:36:026:0	Áádóó aláahgo naat'áanii éí t'áá bí biye' Jíírahmíyel áádóó Ázriyel biye' Seráíyah índa Ábdiyel biye' Shelemáíyah yich'į' haadzíi'go naaltsoos ííł'íní Bérak áádóó Diyin God yá halne'ii Jeremáíyah , Nídooh'éésh , yidííniid , nidi éí Bóhólníihii nábidees'į́į́' .
24:36:027:0	Ákohgo naaltsoos ííł'íní Bérak éí Jeremáíyah hach'į' yááłtihgo naaltsoos yisdisii saad bikáá' ádajiilaa yę́ę éí aláahgo naat'áanii iidííłk'ą́ą́'dóó bik'ijį' Bóhólníihii éí Jeremáíyah yich'į' hanáánáádzíi'go kóní ,
24:36:028:0	Naaltsoos yisdisii ła' nínáádiitįįhgo átsédą́ą́' naaltsoos yisdisii saad bee bik'e'ashchíinii éí Júdah dine'é aláahgo binanit'a'í Jiihóíyakim iidííłk'ą́'ígíí t'áá éí saad naaltsoos bikáa'gi bee bik'e'náá'dííłchííł .
24:36:029:0	Júdah dine'é aláahgo binanit'a'í Jiihóíyakim éí kóbididííniił , Bóhólníihii kóní , Díí naaltsoos yisdisii dííníłidgo kódíní , Ha'át'íí lá biniyé díí naaltsoos yisdisii kót'éego bikáá' bik'e'shíníłchį́įgo kódííníniid , Bábilan dine'é aláahgo binanit'a'í doonéełgo díí kéyah t'áá náhwiist'ą́ą́ nít'éé' yidoołchxǫǫł , áádóó bikáa'gi diné kéédahat'íinii índa naaldlooshii nahjį' kwíidoolííł ?
24:36:030:0	Éí bąą Bóhólníihii éí Júdah dine'é aláahgo binanit'a'í Jiihóíyakim kót'éego yaa haadzíi'go kóní , Bits'ą́ą́dóó oochíiłii ła' David bibikáá'dóó nahat'áii ts'ídá doo ła' yikáá'dóó dah dínóodaał da , áádóó Jiihóíyakim bits'íís daaztsáanii éí jį́įgo náhoniigahjį' áádóó tł'ée'go shonéigahjį' ch'íhidoolghą́ą́ł .
24:36:031:0	Áko hó áádóó hats'ą́ą́dóó oochíiłii índa há nidaal'a'í éí t'áá bił doo ákwii ádajíít'įįdígíí biniinaa atíhodeeshłííł , índa hó áádóó Jerúsalemgi kéédahat'íinii índa Júdah dine'é doo yá'áshóonii bee bá haasdzíi'ii t'áá ałtso bik'ijį' yeideeshxééł , nidi t'áadoo dahodiizts'ą́ą' da .
24:36:032:0	Ákohgo Jeremáíyah éí naaltsoos yisdisii ła' nínéidiitą́ągo Niiráíyah biye' , éí naaltsoos íí ł'íní nilíinii Bérak yaa néinítą́ , áádóó Jiihóíyakim éí naaltsoos yisdisii saad t'áá át'é bikáa'go iidííłk'ą́'ígíí éí saadígíí Jeremáíyah yee yá náánááłtihgo naaltsoos hálák'ee náánástánígíí bikáá' ánáájiidlaa , áádóó saad t'áá ákódaat'éii lą'í bíidzoh .
