24:38:001:1	Jeremáíyah éí tó bá az'ą́ą́dę́ę́' habi'dooltį́
24:38:011:0	Áko Ííbed-míílek éí diné yił dah diikaigo aláahgo naat'áanii bikin si'ą́ą́góó yíkai ; áadi yódí bá hooghan biyaadi haz'ą́ą́ góne' ąą ádayiilaago áádę́ę́' anilí áádóó éé' nidahaazhaazhígíí ła' hadeiznilgo tł'óół yee tó bá az'ą́ą́ góyaa Jeremáíyah yich'į' hadadeizlo' .
24:38:012:0	Ákohgo Iithiyópiya dine'é Ííbed-míílek éí Jeremáíyah áyidííniid , Anilí áádóó éé' nidahaazhaazhígíí nich'áyah góne' t'áá ałch'ishjí abíhíyííł áádóó ła' niyid gónaa tł'óół t'áá bił ádinánílt'ih . Áko Jeremáíyah ákódzaa .
24:38:002:1	Zedekáíyah éí Jeremáíyah kót'ée doo bididooniiłígíí yíyííkeed
24:38:013:0	Áádóó índa tł'óół bee tó bá az'ą́ą́dę́ę́' Jeremáíyah háádeizlo' áádóó Jeremáíyah éí awáalyaa bich'éédą́ą'gi dzizdáá nít'éé' .
24:38:014:0	Áko aláahgo naat'áanii Zedekáíyah éí Diyin God yá halne'ii Jeremáíyah yíká i'ííł'a'go Bóhólníihii bikin bii' sohodizin si'ánígíí táá' góne' dáń'dítį́įhgi hoł yah ííyá . Áádóó aláahgo naat'áanii éí Jeremáíyah áyidííniid , Nanídídéeshkił , ha'át'íida doo shits'ąą dínííł'į́įł da .
24:38:015:0	Ákohgo Jeremáíyah éí Zedekáíyah áyidííniid , Bee nił hweeshne'go ts'ídá shidiyííłhéełgo t'áá aaníí shił bééhózin . Kót'éego nidííniidgo doo shíídííłts'įįł da .
24:38:016:0	Nidi aláahgo naat'áanii Zedekáíyah t'áá nahont'inee Jeremáíyah yich'į' ádee hadoodzíí' , Bóhólníihii , hinii'náago ánihiilaii éí ts'ídá t'áá aaníí hiná ; ákót'éego ts'ídá t'áá aaníí doo nidiyeeshxéeł da , índa díí diné dandiyoołhééł yiniyé naa niheekaígíí éí doo baa nidideesh'áał da .
24:38:017:0	Ákohgo Jeremáíyah éí Zedekáíyah áyidííniid , Ízrel dine'é biDiyin God éí Diyin God t'áá ałtsoní bee Bóhólníihii kóní , Bábilan dine'é aláahgo binanit'a'í éí naat'áanii biyaa sinilígíí t'óó bich'į' dah diniyáago , áko lá índa hinínáa doo biniyé ááni'diszįįd doo áádóó díí kin haal'áhígíí doo adidoolk'ą́ął da índa ni áádóó na'áłchíní dahináa doo ,
24:38:018:0	nidi Bábilan dine'é aláahgo binanit'a'í éí naat'áanii biyaa sinilígíí doo baa ádíínít'ą́ą́góó éí díí kin haal'áhígíí Kaldíya dine'é baa didoot'áałgo adeididoołk'ą́ą́ł , áádóó ni éí ts'ídá doo biyaa hadíínáał da .
24:38:019:0	Ákohgo Zedekáíyah éí Jeremáíyah áyidííniid , Jew dine'é éí Kaldíya dine'é yich'į' yóó'aheeswodígíí binásdzid , háálá Kaldíya dine'é éí áadi Jew dine'é yaa dashididoo'áałgo shá nidahałt'i' doo .
24:38:020:0	Áádóó Jeremáíyah ádííniid , Doo yaa dandidoo'áał da . K'ad lą́ą Bóhólníihii áníinii índa áńdishníinii bik'ehgo ánínéehgo ná yá'át'éeh dooleeł áádóó t'áá hinínáa doo .
24:38:021:0	Nidi baa ádidíít'áłígíí doo ninizį́į́'góó éí kót'ée dooleełgo Bóhólníihii shich'į' ánááyiidlaa .
24:38:022:0	Shoo , Júdah dine'é aláahgo binanit'a'í bighangi asdzání daadziihígíí éí Bábilan dine'é aláahgo binanit'a'í naat'áanii biyaa sinilígíí baa dahidoot'ish , áko ádadidooniił , K'ad nahodits'ǫ' íínítłizhgo nik'isóó baa dzíínílíí nít'ée'ii ninda'azlo'go nik'eh dadeesdlį́į́' áádóó t'ą́ą́' dah nídahidiijéé' .
24:38:023:0	Na'ákéí danilíinii índa na'áłchíní danilíinii t'áá ałtso Kaldíya dine'é bich'į' ch'ídoot'ish índa t'áá ni ałdó' ts'ídá doo biyaa hadíínáał da , nidi Bábilan dine'é aláahgo binanit'a'í niidoołtsoł , áádóó niniinaa díí kin haal'áhígíí adidoolk'ą́ą́ł .
24:38:024:0	Ákohgo Zedekáíyah éí Jeremáíyah áyidííniid , Díí saad bee háínídzí'ígíí t'ááká ła' bił bééhoozį́į́' yíila' , áko doo dadíítsaał da .
24:38:025:0	Nił ahił hweeshne'ígíí naat'áanii danilíinii yaa dahodiizts'ą́ą'go áádóó naa yíkaigo , Aláahgo naat'áanii bee bił hwíínílne'ígíí áádóó yee nił hoolne'ígíí bee nihił hólne' ; t'áadoo nihits'ąą naníł'iní , áko doo dandiyiilyéeł da , dandííniidgo
24:38:026:0	ábididííniił , Jánathan bighandi doo dadeestsaał da , áko doo ákǫ́ǫ́ náshidííł'aał da , dishníigo aláahgo naat'áanii bich'į' ádaa ná'iisiskan .
24:38:027:0	Ákohgo naat'áanii danilíinii t'áá ałtso Jeremáíyah yaa yíkaigo nidayídééłkid , áádóó aláahgo naat'áanii nahoneeztą́ą́' yę́ęgi át'éego bich'į' hadzoodzíí' . Áko t'áadoo yił ahił náádahoolne' da , háálá ahił hoolne'ígíí t'áadoo yi'nii' da .
24:38:028:0	Áádóó Jerúsalem yisnáajį' Jeremáíyah éí awáalyaa bich'éédą́ą'gi dzizdáá nít'éé' .
