24:10:001:1	Diyin dabidi'níinii áádóó Diyin God t'áá aaníinii
24:10:013:0	Haadzihgo wót'áahdi t'óó ahayóí tó yileeh ; nahasdzáán nidahonees'ą́ą́dę́ę́' siil dego dah nída'diijołgo ánáyiil'įįh . Nahałtingo atsiniltł'ish t'áá bił anídahata'go ánáyiil'įįh . Binaalye'é bitahdę́ę́' níyolgo ánáyiil'įįh .
24:10:014:0	Diné t'ááłá'í nítínígo doo ádahalyą́ą́góó doo bił éédahózin da . Da'atsidii t'ááłá'í nítínígo habe'elyaii yee binda'adlo'go áádóó doo nídadidzihígíí biniinaa habe'elyaii bik'ee t'óó haa yádahóósįįd .
24:10:015:0	Na'adlo' t'éiyá ádaat'éego binda'azhnishgo t'áadoo nídanidlíní da . Éí baa hwiiníst'įįdgo ádoodįįł .
24:10:002:1	Júdah kéyahgi t'áadoo yiila'í da
24:10:016:0	Jéíkab dine'é biDiyin God éí díí ádaat'éhígi doo éigi át'ée da , áko bí éí t'áá ałtsoní áyiilaii nilį́ . Áádóó Ízrel dine'é éí bíí' nilį́ ; t'áá ałtsoní bee Bóhólníihii wolyé .
24:10:017:0	Nihik'i dahadishjée'go kéédahoht'ínígíí , éí ni'dóó nihiyéél náádahohchííd .
24:10:018:0	Háálá Bóhólníihii kóní , Hwii' kéyahgi diné kéédahat'íinii k'ad lą́ą bee ch'ízhdeeshtł'į́įł ni , áko yaa ákodadínóozįįł biniyé nitsinákahgo ádeeshłííł .
24:10:019:0	Níshgaígíí biniinaa doo hojooba' ájíníi da ! Dinishniihígíí bik'ee atínídinishdleeh , áádóó ádííniid , T'áá aaníí , díí bik'ee yínííł nishłį́ , nidi ts'ídá bich'į' ha'ííníshníi doo .
24:10:020:0	Shiníbaal atélyaago bitł'óól t'áá ałtso dahaazdláád . Sha'áłchíní shits'á haaskaigo doo kǫ́ǫ́ shinaagóó nidaakai da . Shiníbaal t'áadoo shá nináyó'áłí da , áádóó ch'é'étiingi dáádadiníbaalígíí t'áadoo shá néidółbaałí da .
24:10:021:0	Háálá diné aa ádahalyáanii doo nitsídaakees da daazlį́į́' , áádóó Bóhólníihii doo hádaat'į́į da . Éí bąą t'áadoo náás deeskai da , áádóó yaa ádahalyáanii t'áá ałtso taoskai .
24:10:022:0	Júdah kéyahgi kin hadaas'áii naa adeidiyoołkałgo áádóó ákwii mą'ii ba'áán ádahodoolíiłgo ge' náhookǫsdi kéyahdę́ę́' ayóó íits'a'go nihich'į' oonéełgo hodiits'a' .
24:10:023:0	Bóhólníihii nílíinii , shił bééhózingo diné yik'ehgo hináa dooleełígíí doo bii' hólǫ́ǫ da . Diné biyoołááł dooleełii bii' ádin .
24:10:024:0	Bóhólníihii nílíinii , doo haada yit'éégóó k'éhézdon nináshídlóós , doo áshidííłdįįł daígíí biniyé t'óó báhádzidgo nibee atí'él'íinii bee éí dooda .
24:10:025:0	Ał'ąą dine'é doo néédahósinii índa dahooghangóó nízhi' doo yee danózhíigo nídanookąąhii nił haazhchihgo bee atí'díílíiłii bee atínílééh , háálá Jéíkab dayííyą́ą́' áádóó dayoolghal áádóó ádahasdįįd índa kééhat'į́į́ nít'éé' yę́ęgi doo siláhígóó ádahoolaa .
