24:2:001:1	Bóhólníihii éí Ízrel dine'é t'ą́ą́' anáákaii náyookąąh
24:2:011:0	Łahgo dine'é kééhat'į́įgo bidiyin dabidi'níinii , azhą́ doo diyin da nidi , náánáła'ásh bidiyin ánéídoodlííł ? Nidi shidine'é bee baa ha'niihii nahjį' kódayiilaago náánáła' doo yá'át'ééh nánídlíinii éída ádá nídeidiilá .
24:2:012:0	Yót'ááh hinooláii , díí bik'ee t'óó nihił adahayói le' , índa t'áá íiyisí bik'e'íyée'ii bik'ee tsídadołyéesgo nihitah nidahwiiłnáa le' , ní Bóhólníihii .
24:2:013:0	Shidine'é naakijį' doo yá'áshǫ́ǫ́góó ádáát'įįd : tó bee iináanii háálíinii nishłíinii yóó'adashideez'ą́ , áádóó tó bá az'áanii éí tó bá az'áanii sits'ilii tó doo bii' hólǫ́ǫ le' át'éii ádá ádayiilaa .
24:2:014:0	Ízrel dine'éésh naalte' nilį́ ? Naalte' nilį́įgoósh yizhchį́ ? Ákoshą' ha'át'íí biniyé bąąh oogą́ą'ii silį́į́' ?
24:2:015:0	Náshdóíyáázh bitsiijį' daditł'ooígíí hach'į' yéego ádadííniid , áádóó hach'į' biyi' nahodi'ni' áádóó hakéyah doo bikáá' siláhígóó ádayiilaa . Hakin hadaas'á yę́ęgóó doo nidaagháhí da áádóó adeideesk'ą́ą́' .
24:2:016:0	Áádóó ałdó' Mémfis kin haal'áádóó dine'é índa Tahápaniiz kin haal'áádóó dine'é bee ayóó ánít'éii yę́ę dayííłchxǫ' .
24:2:017:0	Nílááh , honoojíídę́ę́' Bóhólníihii nihiDiyin God nihoo'ishgo yóó'adasidoo'ánígíí bąą t'áá nihí ádił yaa nináda'sołt'e' .
24:2:018:0	Ákoshą' k'ad Náil tooh nílínídóó tó daohdlą́ą dooleełísh biniyé Ííjip kéyahgóó disoohkai ? Áádóó Yofréítiiz tooh nílínídóó tóhígíí daohdlą́ą dooleełísh biniyé Asíriya kéyahgóó disoohkai ?
24:2:019:0	Doo yá'áníshónígíí t'áá éí hasht'énidoodlííł , áádóó t'ą́ą́' anéínílwodígíí nididooteh . Éí bąą Bóhólníihii niDiyin God yóó'adííní'ánígíí bik'ee t'áá íiyisí ináháshch'íi'ii índa doo yá'át'éehii át'éé lágo baa nitsídííkosgo nił bééhodoozįįł , áádóó shidíínísin dooleełígíí nidi nii' ádin , ní t'áá ałtsoní bee Bóhólníihii Diyin God .
24:2:020:0	Áko t'áá ałk'idą́ą́' ni'azéédéetání k'íníti' índa bee ne'astł'ónígíí k'ínínizh , nidi Diyin God doo bá naash'a' da doo , diníigo hoolzhiizh . Jó , dawók'ą́ą́góó t'áá ałtso índa tsin dootł'izh naazkaadii t'áá át'é dabiyaagóó ałjiłnii nahonílingo nahílghal nít'éé' .
24:2:021:0	Ákondi ch'il na'atł'o'ii yá'át'éehii bílástsii' hadaałt'éii nílį́įgo k'indííláa ni' . Ákoshą' haa yit'éego ch'il na'atł'o'ii doo yá'áshóonii t'áá áhoodzaagóó sikaadii sínílį́į́' ?
24:2:022:0	Azhą́ bee iilgáhí índa táláwosh t'óó ahayóí choiníł'į́įgo bee tá'ádígis lá nidi , doo ákwii íínít'įįdii bee dah yinikiizh yę́ę t'ahdii shidááhgóó hólǫ́ , ní Bóhólníihii Diyin God .
24:2:023:0	Ákoshą' haa yit'éego , Doo yíchǫ' da ; Béíyal eda'alyaii bina'nitin t'áadoo bik'eh níyáa da , diní ? Honíts'aa'góó díní'į́į'go baa nisíníyáhígíí nił bééhoozįįh . Ghą́ą́'ask'idii bi'áadii éí ghą́ą́'ask'idii biką'ii haintáii tsį́įłgo naanáálwołígi át'éego naanáálwoł ;
24:2:024:0	télii ałchinii honoojíidi íneesdinii éí télii biką' dooleełii haintáago níłch'i yił ahidziihígíí nahonílin ; ch'íná'náago háí doo ákót'į́į́góó íidoolííł ? Hadabintáii éí doo ch'ééh hadabidínóotaał da ; biką'ii bidiigháahgo índa hasht'edit'eeh .
24:2:025:0	T'áá nikee' hólǫ́ǫgo íínísin áádóó t'áadoo dibáá' nílíní . Nidi ádíní , Chohoo'į́ ádin ; dé'éyóní nilíinii ayóó'ádeínísh'ní ; bikéé' naanááshwoł doo .
24:2:026:0	Ani'įįhii bénálkahgo ádaa yániidzįįhígi át'éego Ízrel dine'é éí aláahgo binanit'a'í , binanit'a'í danilíinii , bináá'iiłniihii danilíinii índa Diyin God yá dahalne'ii danilíinii yił ákót'éego ádaa yádadínóodzįįł .
24:2:027:0	Éí tsin , Nihizhé'é nílį́ , índa tsé , Nihishíníłchį́ , deiłní . Jó , shits'ą́ąjį' nídaazyiz , shich'į'go éí dooda , nidi bich'į' dahodiisnáa'go índa díldzíiłgo yisdánihínííł , daaníi doo .
24:2:028:0	Nihidiyin dabidi'níinii ádá ádaohłaaígíísh éí háájí ? Nihich'į' hodiiznáa'go éí háni'dii dadildzííł ; yídaneel'ą́ą́ ládą́ą́' yisdádanihidoonił . Júdah dine'é nohłíinii , nihikin hadaas'áhígíí bik'ehgo t'áá ákónéelt'e'go nihidiyin dabidi'níinii dahólǫ́ .
24:2:029:0	Éí bąą ha'át'íí biniyé shił ałgha'dít'áah doo ? T'áá ánółtso shich'į' doo ákǫ́ǫ́ ádaot'įįd da , ní Bóhólníihii .
24:2:030:0	Niha'áłchíní t'áadoo biniyéhígóó bitaa síłtsxas ; t'áadoo hasht'éédabiidlaa da . Náshdóítsoh bitsiijį' ditł'ooígíí atí'oolííł nahalingo t'áá nihí nihidiltłish bee Diyin God yá dahalne'ii nidasoołtseed .
24:2:031:0	Áko nihí oochíiłii nohłíinii , Bóhólníihii áníinii ts'ídá hazhó'ó deísółts'ą́ą́' . Ízrel dine'éésh honoojí índa kéyah chahałheełii bá nishłį́į́ nít'éé' ? Ákoshą' ha'át'íí biniyé shidine'é , T'áá nihí nihídahólnííh ; doo nich'į' náádadiikah da , dashiłní ?
24:2:032:0	Ch'ikę́ę́hésh biyódí yee hadít'éii t'áá yeidiyoonah índa bá'iigehiísh bi'éé' t'áá yeidiyoonah ? Nidi shidine'é éí yoołkáłígíí doo wólta' ánéelą́ą́' bíighahgóó shaa dayooznah .
24:2:033:0	Dooládó' ajił biniyé hasht'e'adílnéeh da . Azhą́ asdzání doo yá'ádaashóonii nidi , ááníłígíí bíndabiníníłtą́ą́' .
24:2:034:0	Áádóó ałdó' diné badahojoobá'íii doo ádidahodiilt'i' ii dabidił ni'éé' daabąąh . T'áadoo da'neez'į́į' da nidi nidasoołtseed .
24:2:035:0	Áko kódaot'įįd lá nidi doo ádidahodiilt'i' da , dadohní , T'áá aaníí , doo shich'į' báháchį' da silį́į́' , diní . Shoo , doo ádił asésiih da , dinínígíí bąą naa nídéesht'įįł .
24:2:036:0	Dooládó' ła'ał yóígóó ałts'ą́ą́' ninánílwo'go ánít'éii łahgo ánáádlíił da ! Asíriya dine'é baa yáninizį́'ígi át'éego Ííjip dine'é ałdó' baa yádíníizįįł .
24:2:037:0	Baa dzíínílíhígíí éí Bóhólníihii doo biniizį́'ígíí biniinaa bits'ą́ąjį' nitsii' bik'i díínílnii'go dah didíínááł , áko éí t'áá áłah doo níká ahi'dí'nóolchéeł da .
