24:32:001:1	Ánathathdi Jeremáíyah éí kéyah nayiisnii'
24:32:032:0	Ízrel dine'é áádóó Júdah dine'é éí aláahgo bindanit'a'í áádóó binaat'áanii danilíinii áádóó binááda'iiłniihii áádóó áhodoonííł yaa dahalne'ii áádóó Júdah dine'é danilíinii índa Jerúsalemgi kéédahat'íinii doo yá'áshónígi ádajíít'įįdígíí t'áá át'é bee shádahojííłchįįdígíí biniinaa nahjį' kóhodeeshłííł .
24:32:033:0	Azhą́ abíínídą́ą́' náádiish'nahgo nináníshtįįh nidi , t'áadoo deidiizts'ą́ą́'góó bínabinishtinígíí t' áadoo nídeidiiláa da , áko shits'ą́ąjį' neezhjée'go doo náádashiníł'į́į da .
24:32:034:0	Nidi kin shízhi' bee wójíhígíí biyi' góne' doo daldinii daabíhígíí dayiisį'go yee dahóółchǫ' .
24:32:035:0	Áádóó biye'ké índa bitsi'ké éí Mólek be'elyaii yich'į' kǫ' biyi' góne' ch'ídayiinííł dooleeł biniyé Hínam biye' biyíldzisgi Béíyal bá ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaa . Júdah dine'é , Díí doo haldinii yee ádił da'asiihígíí ádadoohłííł , t'áadoo bidííniid da áádóó t'áadoo bik'ísídíkéez da .
24:32:036:0	Éí bąą díí kin haal'áhígíí baa yáníłti'go ádííníniid yę́ę k'ad Ízrel dine'é biDiyin God Bóhólníihii yaa yáłti'go kóní , Diltłish bee áádóó hodidoochįįłígíí bee índa naałniih bee éí Bábilan dine'é aláahgo binanit'a'í baa didoot'ááł .
24:32:037:0	Jó , sháhóóchįįdgo áádóó t'áá íiyisí doo shił náhodiizhǫǫdgóó índa t'óó báhádzidgo sháhóóchįįdgo kéyah biyi'góó tahonéłkaadígóó áádę́ę́' áłah ánáhodeeshdlííł , jó'akon . Kojį' áłah ánáhodeeshdlíiłgo hasih haz'ą́ągo kéénáhojit'į́į doo ,
24:32:038:0	áko shidine'é danilį́į doo , áádóó biDiyin God nishłį́į doo .
24:32:039:0	Há yá'át'éeh dooleeł áádóó hakéédę́ę́' ha'áłchíní bá yá'át'éeh dooleeł índa dashizdósin dooleeł biniyé t'ááłá'í nitsáhákees índa t'ááłá'í honít'i'ii hool'áágóó haa dideesh'ááł ,
24:32:040:0	áko éí há yá'át'ééh ádeeshłííł biniyé doo hats'ádeesháłígíí hool'áágóó bee hoł ahadideesht'ááł índa doo shits'ádahizhdookah da biniyé dashizdósin doogo hajéí biih dadeeshłééł .
24:32:041:0	T'áá aaníí yá'át'éehii há baa naasháago hąąh shił nihoozhǫǫh doo , áádóó shijéí t'áá át'é bee índa shii' sizíinii t'áá át'é bee ts'ídá t'áá aaníí díí kéyahgi k'ééhodideeshdlééł .
24:32:042:0	Jó , Bóhólníihii kóní , Díí dine'é kwe'é kééhat'ínígíí díí ayóó át'éego doo yá'áshóonii t'áá át'é bik'i yanáatsiígi át'éego t'áá ákót'éego yá'ádaat'éehii haa diní'ánígíí éí hak'i yéideestsih .
24:32:043:0	Kédaayahgi diné índa naaldlooshii doo ła' bikáá' hólǫ́ǫ da , áádóó Kaldíya dine'é baa deet'ą́ , dadohníinii ákwe'é kéyah nináádahaniih doo .
24:32:044:0	Kédaayah béeso bik'é ahee' níiłgo nináádahaniih doo . Da'oo'íinii binááł kéyah nidahaniihgo bee bééhózinii éí hanáádadilne'go dánááda'diljeeh doo . Bénjamin bikéyahgi , Jerúsalem kin haal'á bik'i dinaago nahós'a'gi ákwe'é ákót'ée doo . Júdah kéyahgi kin hadaas'áágóó áádóó dayílk'idgóó kin hadaas'áhígóó ákódaat'ée doo . Honíteelgi kin hadaas'áágóó áádóó shádi'áahjigo kin hadaas'áágóó ałdó' , háálá yisnááh dajílíinii nahjį' kódeeshłíiłgo daahwíí' yę́ę hwíí' nídadoodleełgo ádeeshłííł , ní Bóhólníihii .
