24:6:001:1	Jerúsalem áádóó Júdah t'óó báhádzidgo atídoolnííł
24:6:021:0	Éí bąą Bóhólníihii kóní , Díí dine'é yik'ee dadidoogohii bidááhgóó nidahideeshnił , áko azhé'é índa aye' danilíinii t'áá ła' yik'ee dadidoogoh ; hánígóó dabighanii índa dabik'is ádadoodįįł .
24:6:022:0	Bóhólníihii kóní , Náhookǫsdi kéyahdę́ę́' ła' dine'é yinééł , jó'akon . Nahasdzáán nidahonees'ą́ą́dę́ę́' dine'é ayóó át'éii bił hadahodínóolchał .
24:6:023:0	Bik'aayééł índa bitsiidétáán deíjááh . Doo daats'íid da . Doo aa a'ááh danízin da . Biinéé' éí tónteel diits'a'ígi íits'a' . Łį́į́' yee deínéeh doo . Diné éí łį́į́' bił deezt'i'ígi át'éego nik'ijį' ałt'ááh doojah , Záíyan bich'é'é nílíinii .
24:6:024:0	Baa hane'go dasidiits'ą́ą'go nihigaan nihąąh nidaneezdee' . Asdzání éí awéé' bídii'ná'ígi át'éego nitsiniikaigo nihił dahoniigai .
24:6:025:0	Ana'í bidiltłish t'áá ałtsodę́ę'go nihich'į' deidées'á áádóó yéé' t'áá ałtsodę́ę'go hólónígíí biniinaa t'áadoo háajį' dah nidaahkaí índa atiingóó t'áadoo nidaahkaí .
24:6:026:0	Shidine'é bich'é'é nílíinii , tł'oh azis bee áká nílzis , áádóó łeeshch'iih bii' nanimaasgo hayáázh t'áá łah dilt'éhígíí baa atínízhdindleehígi át'éego yínííł naniná , háálá t'áadoo hooyání atíndoolíiłii nik'i hwiidooleeł .
24:6:027:0	Shidine'é yaa nidaakaígíí hanisíidgo nił bééhodoozįįłígíí biniyé ya'niiltł'ǫ́ǫgo bighą́ą́'dóó ha'alzíidii índa bee ohoníłdzilii ániishłaa .
24:6:028:0	Aa nídaat'į́įgo t'áá íiyisí bąąh yínínígi át'éego t'áá ałtso yąąh nidayiiłhaałgo yádaałti' . T'áá ałtso béésh łitsoii índa béésh nitł'izii danilį́įgo nida'iiłchxǫǫh .
24:6:029:0	Atsidii bibee alzoołí yéego asoł . Dilyį́hí ałtso díílid , áko t'áadoo biniyéhígóó adilyį́į́h , háálá diné doo yá'ádaashóonii t'áadoo nahjį' kódaalyaa da .
24:6:030:0	Bóhólníihii doo biniizį́'ígíí biniinaa béésh łigaii doo niidzį́į'ii deiłní .
