24:25:001:1	Bábilan dine'é biniinaa Ízrel dine'é bikéyah tsosts'idiin nááhaijį' doo naagháhí da dooleeł
24:25:011:0	Áko díí kéyah t'áá náhwiist'ą́ą́ nít'éé' doo naagháhí da doo , áádóó t'óó bik'ee ayói doo , índa díí dine'é dajílíinii tsosts'idiin nááhaijį' Bábilan dine'é bá nidajil'a' doo .
24:25:012:0	Áko tsosts'idiin nááhai bíighah azlį́į'jį' Bábilan dine'é aláahgo binanit'a'í índa diné yinant'áhígíí t'áá kééhat'į́į́ nít'éé' t'áá bił doo ákǫ́ǫ́ ádajit'ínígíí biniinaa atíhodeeshłííł , áko Kaldíya dine'é bikéyah t'áá náhwiist'ą́ą́ nít'éé' atídeeshłíiłgo doo naagháhígóó ahool'áa doo .
24:25:013:0	Shizaad t'áá ałtso éí kéyah bik'ijį' haasdzíi'ii bohodoolnííł . Jeremáíyah éí ał'ąą dine'é t'áá ałtso yee yik'ijį' haadzíi'ii díí naaltsoos biyi' bik'inídaháasdzooígíí bohodoolnííł .
24:25:002:1	Ał'ąą dine'é bá t'óó báhádzidgo bee atí'él'íinii bee adlání bee dah yikáałii
24:25:014:0	Jó , ał'ąą dine'é t'óó ahayóí áádóó aláahgo naat'áanii danilíinii ayóó ádaat'éii naalte' dajílį́įgo ałdó' ádahodoolííł , áádóó ádajooníiłii , índa ádajíít'įįdii bik'ehgo k'ééhodideeshdlííł .
24:25:015:0	Kót'éego Ízrel dine'é biDiyin God Bóhólníihii shich'į' haadzíi'go kóní , Wáin t'óó báhádzidgo bee atí'él' íinii át'éego díí bee adlání bee dah yishkáłígíí nídiikaah áádóó ał'ąą dine'é t'áá ałtso bitahgóó díkaahgo dabidiyííłdlį́į́ł .
24:25:016:0	Áádóó diltłish hatah góne' bił adoonéełgo ádeeshłíłígíí biniinaa dazh'doodlį́įłgo nidazhnit'igo t'óó ádahozdiilgis doo .
24:25:017:0	Áko Bóhólníihii éí bee adlání yee dah ookáałii nídiiką́ągo ał'ąą dine'é t'áá ałtso bich'į' shidool'aadii dabiyííłdlą́ą́' .
24:25:018:0	Jerúsalemgi kéédahat'íinii áádóó Júdah kéyahgi kin hadaas'áágóó kéédahat'íinii índa kǫ́ǫ́ aláahgo naat'áanii danilíinii índa naat'áanii danilíinii kéédahojit'ínígóó t'áá díí jį́įdi át'éhígi át'éego hóyée'go há ha'oodzíi'ii ałtso áho'disdįįd doo , áádóó diné bik'ee t'óó bił adahayóigo , Tłehee yéi' , daaníigo yą́ą́h nidadikah doo , índa doo naagháhígóó hwiidoo'aał biniyé dahodiyeeshdlį́į́ł ,
24:25:019:0	áádóó Ííjip dine'é aláahgo binanit'a'í Féro , índa bá nidaal'a'ii t'áá ałtso , áádóó naat'áanii dah yoo'ishígíí t'áá ałtso , índa bidine'é t'áá ałtso ,
24:25:020:0	áádóó dé'éyóní danilíinii t'áá ałtso áádóó Uz kéyahdóó aláahgo naat'áanii danilíinii t'áá ałtso índa Filístiya dine'é aláahgo binanit'a'í danilíinii t'áá ałtso áádóó Áshkelan dine'é índa Géíza dine'é áádóó Ékran dine'é índa Áshdad dine'é daadzí'ígíí ,
24:25:021:0	áádóó Íídam dine'é índa Mó'ab dine'é áádóó Áman dine'é ,
24:25:022:0	Táir dine'é aláahgo bindanit'a'í t'áá ałtso , índa Sáídan dine'é aláahgo bindanit'a'í t'áá ałtso , áádóó tónteel bibąąhgóó kédaayahdóó aláahgo naat'áanii danilíinii t'áá ałtso ,
24:25:023:0	Díídan áádóó Tííma índa Baz kédaayahgóó kéédahat'íinii t'áá ałtso áádóó dabitsii' bibąąhgóó nídeishihii t'áá ałtso ,
24:25:024:0	índa Aréíbiya dine'é aláahgo bindanit'a'í t'áá ałtso , áádóó dé'éyóní dine'é honoojíidi kéédahat'íinii aláahgo bindanit'a'í t'áá ałtso ,
24:25:025:0	Zímrai dine'é aláahgo bindanit'a'í t'áá ałtso , Íílam dine'é aláahgo bindanit'a'í t'áá ałtso , áádóó Míídiya dine'é aláahgo bindanit'a'í t'áá ałtso ,
24:25:026:0	áádóó náhookǫsjí nízaadi aláahgo naat'áanii danilíinii índa t'áá áyídígóó aláahgo naat'áanii danilíinii éí t'áá ałkéé' dah nídahidinoobįįłii éí t'áá ałtso , áádóó nahasdzáán t'áá nahaz'ą́ą́ nít'éé' bikáá'góó kéyah naaznilii éí bikáa'gi diné kéédahat'į́į́góó aláahgo binanit'a'í dahólóonii t'áá ałtso bee adlání yii'dóó da'doodlį́į́ł , áádóó bik'ijį' Shííshak dine'é aláahgo binanit'a'í bee adlání yii'dóó adoodlį́į́ł .
24:25:027:0	Éí kóbididííniił , Ízrel dine'é biDiyin God , t'áá ałtsoní bee Bóhólníihii kóní , Diltłish bee nidanihi'ditseedgo ánihideeshłííł biniinaa daohdlą́ áádóó nihił nidahondooh le' áádóó nídaohkwih índa danohnéego doo náádidoohjah da .
24:25:028:0	Ákohgo deidoodlį́įłii doo deinízingóó nílák'eedóó t'áadoo nídeidiiką́ą́góogo áadi ábididííniił , T'áá ałtsoní bee Bóhólníihii kóní , Ts'ídá t'áá dadoohdlį́łí .
24:25:029:0	Háálá kin haal'áii shízhi' bee wójíii bik'ijį' atí'deeshłíiłgo baa nídiisdzá , jó'akon . Ákoósh nihí doo atínihidi'doolníił da ? Nihí ałdó' atínihidi'doolnííł , háálá t'áá ałtsoní bee Bóhólníihii kóní , Nihokáá' dine'é t'áá ałtso atídoolnííł biniyé diltłish yee atída'ał'íinii hágo bidideeshniił .
24:25:030:0	Éí bąą díí saad t'áá át'é bee bik'ijį' handziihgo ábidiní , Aghánáhóó'áádę́ę́' Bóhólníihii ayóó íits'a'go ádidooniił , áádóó hodiyingo kééhat'į́į́dę́ę́' biinéé' didoots'į́į́ł . Kééhat'į́ bighą́ą́'dóó ayóó íits'a'go ádidooniił . Ch'il na'atł'o'ii bitoo' hayída'iił'ésígíí hayída'iił'éesgo dadilwoshígi át'éego nihokáá' dine'é t'áá ałtso yik'ijį' nilį́įgo hadidoolwosh .
24:25:031:0	Bóhólníihii éí ał'ąą dine'é yił ałgha'dadit'áhígíí biniinaa nahasdzáán nidahonees'ą́ąjį' ahodzoolts'ą́ą́' . Ał'ąą dine'é t'áá ałtso yá nihwii'aah doo . Diné doo yá'ádajíshóonii éí diltłish bee nidahodidootsiłjį' nináhodidoo'áá ł , ní Bóhólníihii .
24:25:032:0	T'áá ałtsoní bee Bóhólníihii kóní , Shoo , ał'ąą dine'é bitah hoolzhishgo doo yá'áshǫ' áhooníił doo , áádóó nahasdzáán nidahonees'ą́ą́dę́ę́' níyoltsoh néididoołááł .
24:25:033:0	Áádóó éí bijį́įdi ałts'ą́ąhjigo nahasdzáán nineel'ą́ąjį' Bóhólníihii éí nihokáá' dine'é neistseed doo . Doo baa yínííł hasingo atínídahodindleeh da doo , áádóó doo ahąh ádoolníił da , índa doo yóó'ádadoolníił da . Chąą' nahalingo ni'góó nizdeeztaan doo .
24:25:034:0	Dibé baa ádahołyáanii , dadołwoshgo daohcha índa nida'nołkaadii , łeeshch'iih béédaohmas , háálá nidanihidi'dootsiłígíí áádóó tanihidínóolkałígíí bíighah azlį́į́' índa łeets'aa' ílíinii naalts'idii nidahonohłin .
24:25:035:0	Áádóó dibé baa ádahojilyáanii t'áadoo yisdádazhnóchéełjį' da índa nida'niłkaadii t'áá ha'át'éhígoda yisdáhizhdoolwoł yę́ę doo há ashja' doolíił da .
24:25:036:0	Bóhólníihii éí hootsogi dibé nida'alchoshígi hats'ą́ą́' yiyííłchǫ'ígíí biniinaa dibé yaa ádahalyáanii biinéé' diits'a' índa nida'niłkaadii atínídadindleehgo dadilwosh .
24:25:037:0	Bóhólníihii t'óó báhádzidígi át'éego báhóóchįįdígíí biniinaa hasyéelgo dibé nídanjahígóó dahodiiyeel .
24:25:038:0	Bóhólníihii t'óó báhádzidígi át'éego báhóóchįįdígíí biniinaa , áádóó t'óó báhádzidgo hade áhósinii biniinaa náshdóítsoh bitsiijį' ditł'ooígíí nínádít'į́hídóó dah diiyáhígi át'éego Bóhólníihii nínádít'į́į́hdóó dahodiile' , áádóó hakéyah hóóchxǫ'go doo yiila'í da .
