24:30:001:1	Yisnááhdę́ę́' nináhizhdoo'néełgo bee nihoot'ą́
24:30:012:0	Bóhólníihii kóní , Shíníltłishígi doo náodziihígi át'ée da ; t'áadoo asohodoobézhígóó tídéínínáá lá .
24:30:013:0	Bee nąąh dahaz'ánígíí biniyé t'áadoo ná ná'ookąąhí da . Tídinidzaaígíí azee' bá ádin , áko bee nídíídzihii ádin .
24:30:014:0	Diné bił ałch'į' ádant'íinii t'áá ałtso naa dayooznah ; doo há dandéez'į́į' da . Ádił ni'iyílzíhígíí t' óó ahayóí silį́į́' biniinaa áádóó t'áá íiyisí doo ákwii ánít'ínígíí biniinaa ana'í doo yits'íidii nánineestsasgo tídinidzaago ániilaaígi át'éego tídéínínáago ániishłaa .
24:30:015:0	Ha'át'íísh biniyé nínígaígíí biniinaa nicha ? Nił honeezgaígíí doo náodziihígi át'ée da . Doo ákwii ánít'ínígíí índa ádił ni'iyínílzí'ígíí t'óó ahayóí silį́į́' biniinaa kóniishłaa .
24:30:016:0	Éí bąą danihoolghalii éí t'áá ałtso dabidi'doolghał . Ni'ana'í t'áá ałtso t'ááłá'í nítínígo yisnááh dadooleeł ; nihighada'iisdláii éí bigháádahidoo'nił . Dandoolghał biniyé nidaniniłchéii éí dadíílghał biniyé naa dideesh'ááł .
24:30:017:0	Bóhólníihii kóní , Záíyan ła'da doo biniizį́į'ii át'į́ , daaníigo t'óó ch'éheelghanii yee daníizhi'ígíí biniinaa doo nąąh tééhgóó ánándeeshdlííł áádóó tídadinilyaa yę́ęgóó nánídadeesdzih .
24:30:018:0	Bóhólníihii kóní , Jó , Jéíkab yisnááh nilíinii nahjį' kódeeshłíiłgo biníbaal yii' kééhat'į́į́ nít'éé' yę́ęgóó bił nídeesht'ashgo baa a'ááh dínéesįįł áádóó t'áá bikints'iil yanáa'áá nít'éé' yę́ęgi kin haal'áago áńdoolnííł índa aláahgo naat'áanii bikin t'áá si'ą́ą́ nít'éé' yę́ęgi si'ą́ą doo .
24:30:019:0	Éí bii'dę́ę́' ahééh hasinjí sin áádóó bił dahózhǫ́ǫgo dahataałii biinéé' dadiits'a' doo . Ízrel dine'é k'ee'ąą noot'į́įłgo ádeeshłííł áádóó doo t'áá díkwíí da doo índa diné bił dajílį́įgo áhodeeshłíiłgo doo a'ohgo ádajít'ée da doo .
24:30:020:0	Ba'áłchíní éí ałk'idą́ą́' bada'áłchíní yę́ęgi ádaat'ée doo . Ahínéikahígíí éí shinááł bidziilgo ádoolnííł . Bide ádahósinii t'áá ałtso atídaash'į́į doo .
24:30:021:0	Bitahdóó éí ła' naat'áanii nilį́į doo . Bitahdóó éí bá nant'áago binanit'a'í nilį́į dooleełii nídidoodááł . Shą́ą́h níhánígóó ninájídáahgo áhásh'į́į doo áádóó shaa jiigháah doo . Háishą' éí niná'ídidoot'áałgo shaa doogááł ? ní Bóhólníihii .
24:30:022:0	Áádóó nihiDiyin God nishłį́įgo shidine'é nohłį́į doo .
24:30:023:0	Shoo , níyoltsoh t'áá íiyisí t'óó bik'e'íyé'ígi át'éego éí Bóhólníihii t'óó báhádzidgo báhóóchįįdígíí niheeldoh . Éí nááts'ó'oołdísiitsoh t'áá íiyisí t'óó bik'e'íyé'ígi át'éego diné doo yá'ájíshóonii hak'i ch'ídoogááł .
24:30:024:0	Bóhólníihii bijéí bii'di yaa nitsíkeesii ałtso yi'iilaago áádóó yinaashnishjį' , índa t'áá íiyisí bik'e'íyée'go Bóhólníihii báhóóchįįdę́ę baa náhodoodleeł . Akée'di yoołkáałdi índa díí bik'idadi'doohtį́į́ł .
