24:50:001:1	Bábilan dine'é bich'į' náasdi áhodoonííł baa hane'
24:50:017:0	Dibé nahalingo Ízrel dine'é tabidi'nooskaad ; náshdóítsoh bitsiijį' daditł'ooígíí yóó'abinííłkaad ; t'óó ch'óóshdą́ądi Asíriya dine'é aláahgo binanit'a'í ałtso booldéél , áádóó akée'di Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar bitahwiizti' .
24:50:018:0	Éí bąą Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní , T'áá Asíriya dine'é aláahgo binanit'a'í atéshłaaígi át'éego Bábilan dine'é aláahgo binanit'a'í áádóó bikéyah atídeeshłííł , jó'akon .
24:50:019:0	Áádóó índa Ízrel dine'é kééhat'į́į́ nít'éé' yę́ęgi ninádeesh'nił áádóó Dził Kármel áádóó Béíshan kéyahdi nááda'ayą́ą doo , áádóó Íífreiyim kéyahdi índa Gíliyad kéyahdi daadziłígóó bii' sizíinii hwiih nilį́į doo .
24:50:020:0	Éí yoołkáałdi índa éí hoolzhishdi Ízrel dine'é yee ádił asiihii há'déest'į́į' doo , nidi ádin doo , áádóó Júdah dine'é yee ádił asiihii ch'ééh hádazhdídóo'įįł , háálá áádasísįįdii ádił nida'iisí'ígíí bá k'ééda'deeshchxǫǫł , ní Bóhólníihii .
24:50:021:0	Merathéíyim kéyahgóó áádóó Pííkad dine'é bich'į' doohnéełgo nidadoołtsiłgo ts'ídá ałtso ádadoołdįįł , áádóó bee nihich'į' haasdzíi'ii bida'ohłééh , ní Bóhólníihii .
24:50:022:0	Ayóó át'éego atí'oolníiłgo kéyahdi anaa' hólǫ́ǫgo hodiits'a' .
24:50:023:0	Dooládó' nahasdzáán bikáá'góó bee na' alne'ígíí ahááltǫ' áádóó nibi'diisti' da ! Dooládó' ał'ąą dine'é bitahgóó Bábilan dine'é yę́ę t'óó bik'ee ił ahayóí silį́į' da !
24:50:024:0	Bábilan nílíinii , Bóhólníihii hoo'áłígíí doo nínízingóó biniinaa łoh ná niiní'ą́ągo biih yíníyá ; doo baa ákonínízingóó nééhoozingo ni'diiltsood .
24:50:025:0	Bóhólníihii éí bibee anahat'íinii ąą áyiilaago doo bił hózhǫ́ǫ́jí bee anahat'íinii ch'íinínil , háálá díí Kaldíya dine'é bikéyahdi t'áá ałtsoní bee Bóhólníihii binaanish át'é .
24:50:026:0	Agháá' ádanízáádę́ę́' bik'ijį' dadohnééh ; binoo' bá hooghan ąą ádaohłééh ; t'áadoo ła' ch'íneełnéhí tł'oh naadą́ą́' nahalingo yáádaohtséehgo ałtso ádaołdįįh .
24:50:027:0	Na'atseedjį' bidóola dahidikáahgo t'áá ałtso nidaołtseed . Doo hojooba' ájíníi da , háálá beiníłką́ atídabidi'doolníiłjį' ahoolzhiizh .
24:50:028:0	Bóhólníihii nihiDiyin God éí bikin bii' sohodizin yá k'éédiidzaaígíí éí Dził Záíyangi yaa dahodoolnih biniyé Bábilan kéyahdóó yisdádahaaskaii dah díníidzoodgo biinéé' diists'ą́ą́' .
24:50:029:0	Bábilan kin haal'áii yik'ijį' ałtį́į́' yee nidaabaahii áłah ánílééh , ałtį́į́' nídaołtasii bik'i dinaago bináłzhíísh ; t'ááká ła' nihił ch'óoya' lágo ; yaa nidaaskaígíí bik'ehgo k'éédadohłééh ; yaa naayáhígíí t'áá át'é bik'ehgo ákónídadoohdlííł , háálá Bóhólníihii éí Ízrel dine'é biDiyin nilíinii bich'į' hwee áshohódli' nít'éé' .
24:50:030:0	Éí bąą hatsíłkéí kintah da'nítiingóó nidadootsił áádóó éí bijį́įdi diné nidaabaahii ałtso nidootsił , ní Bóhólníihii .
24:50:031:0	T'áá ałtsoní bee Bóhólníihii Diyin God ání , Ayóo ádaa hó'niihii nílíinii , nik'ijį' nishłį́ ; beidoołkáałgo atínídeeshłíłígíí baa hodoolzhish , jó'akon .
24:50:032:0	Agháago ádaa ha'niihii didoogoh áádóó naa'adoogoh áádóó doo ła' nábididoodzį́įs da ; bikin hadaas'áhígíí bohodideesh'niłgo binaagóó ałtso hodidoolił .
24:50:033:0	T'áá ałtsoní bee Bóhólníihii kóní , Ízrel dine'é áádóó Júdah dine'é t'áá áłah bide áhólzin nít'éé' ; dabisnánígíí t'áá ałtso yéego dabótą'go doo béédeidóchííd át'ée da nít'éé' .
24:50:034:0	Bik'é niná'doodléełgo háábidoo'niłii ayóó ábóodziil ; éí t'áá ałtsoní bee Bóhólníihii wolyé . Nahasdzáán bikáá'góó k'é náhodoołeeł áádóó Bábilan kéyahgi naho'digháahgo íidoolííł biniyé t'áá niná'deet'įįdjį' bidine'é yá na'ak'íyádoołtih .
24:50:035:0	Kaldíya dine'é áádóó Bábilan kéyahgi kéédahat'íinii áádóó binanit'a'í danilíinii índa bahastóí dahóyáanii bich'į' diltłish deez'á , ní Bóhólníihii .
24:50:036:0	Ádaa dadzódlíii bich'į' diltłish deez'á , áko doo ádahodoolyąął da ; bidine'é dahayóii bich'į' diltłish deez'á , áádóó nitsidadookah .
24:50:037:0	Dabilį́į́' bee nida'abaahii índa bitsindaabąąs bijáád naakiígíí bich'į' diltłish deez'á áádóó bitahgi dé' éyóní danilíinii t'áá ałtso bich'į' diltłish deez'áhígíí biniinaa asdzání nidahalin doo ; biyódí bich'į' diltłish deez'á silį́į'go ałtso bighadoogééł .
24:50:038:0	Tó ádadoodįįłgo nídahodooltsih , háálá éí kéyahgi e'elyaii t'éiyá dahólǫ́ áádóó bi'eda'alyaii yiniinaa tsi'deeskai .
24:50:039:0	Éí bąą halbátahdę́ę́' naaldlooshii da'ałchinii índa mą'ii dootł'izhí ákwii dabighan doo áádóó né'éshjaa' ákwii hólǫ́ǫ doo , áádóó hool'áágóó doo ła' diné kénááhát'į́į da doo , índa náás oochííłgóó doo ła' diné ákwii kééhát'į́į da doo .
24:50:040:0	Diyin God t'áá Sádam áádóó Gomárah kin haal'áii índa binaagóó kin dah naazhjaa'ígíí atíyiilaa yę́ęgi át'éego t'áá ákót'éego diné doo ła' ákwe'é kééhat'į́į da doo , ní Bóhólníihii .
24:50:041:0	Náhookǫsdę́ę́' ła' dine'é ayóó át'éii danilį́įgo doonééł áádóó nahasdzáán nidahonees'ą́ą́dę́ę́' aláahgo naat'áanii t'óó ahayóí bił hadahodínóolchał .
24:50:042:0	Bik'aayééł índa bitsiidétáán deíjáah doo ; doo daats'íídgóó doo aa a'ááh danízin da doo . Biinéé' éí tónteel diits'a'ígi íits'a' doo , Bábilan bich'é'é nílíinii , diné éí łį́į́' bił deezt'i'ígi át'éego nik'ijį' ałt'ááh doojah .
24:50:043:0	Bábilan dine'é aláahgo binanit'a'í yaa hodiizts'ą́ą'go bąąh nahókaadgo bigaan bąąh naníídee' ; nitseedzá áádóó asdzání awéé' bídii'na'ígi át'éego bił honiigaii .
24:50:044:0	Jó , bidziilgo kééhat'íinii bich'į' Jórdan tooh nílínígi hodíłch'iltahdę́ę́' náshdóítsoh bitsiijį' daditł'ooígíí nahalingo hach'į' nídidoodááł , háálá t'áadoo hooyání hats'ą́ąjį' yóó'adoojahgo ádeeshłííł áádóó nídiiltínígíí honiyé nideeshtééł . Háishą' shígi át'é ? Háishą' aa hwiinít'į́įjį' ách'ą́ą́h hadeesdzih biniyé shiidoosįįł , áádóó háí éí dibé yaa áhályą́ągo shíníłdzil doo ?
24:50:045:0	Éí bąą Bóhólníihii éí Bábilan dine'é yinahaz'ánígíí índa Kaldíya dine'é bikéyahdi yinahaz'ánígíí deísółts'ą́ą́' : t'áá aaníí , hó áádóó ha'áłchíní t'áá hoł adahodínóołkał ; t'áá aaníí , kéédahojit'ínígi doo naagháhígóó áhodoolííł .
24:50:046:0	Bábilan dine'é bi'disnááh ha'níigo hodiists'ą́ą'go nahasdzáán hideesnáá' áádóó hacha éí ał'ąą dine'é bitahgóó diists'ą́ą́' .
