26:20:001:1	The Rebellion of Israel
26:20:020:0	and keep my Sabbath days holy , for they are a sign to remind you that I am the Lord your God . '
26:20:021:0	“ But their children , too , rebelled against me . They refused to keep my decrees and follow my regulations , even though obedience would have given them life . And they also violated my Sabbath days . So again I threatened to pour out my fury on them in the wilderness .
26:20:022:0	Nevertheless , I withdrew my judgment against them to protect the honor of my name before the nations that had seen my power in bringing them out of Egypt .
26:20:023:0	But I took a solemn oath against them in the wilderness . I swore I would scatter them among all the nations
26:20:024:0	because they did not obey my regulations . They scorned my decrees by violating my Sabbath days and longing for the idols of their ancestors .
26:20:025:0	I gave them over to worthless decrees and regulations that would not lead to life .
26:20:002:1	Judgment and Restoration
26:20:026:0	I let them pollute themselves with the very gifts I had given them , and I allowed them to give their firstborn children as offerings to their gods — so I might devastate them and remind them that I alone am the Lord .
26:20:027:0	“ Therefore , son of man , give the people of Israel this message from the Sovereign Lord : Your ancestors continued to blaspheme and betray me ,
26:20:028:0	for when I brought them into the land I had promised them , they offered sacrifices on every high hill and under every green tree they saw ! They roused my fury as they offered up sacrifices to their gods . They brought their perfumes and incense and poured out their liquid offerings to them .
26:20:029:0	I said to them , ‘ What is this high place where you are going ? ' ( This kind of pagan shrine has been called Bamah — ‘ high place ' — ever since . )
26:20:030:0	“ Therefore , give the people of Israel this message from the Sovereign Lord : Do you plan to pollute yourselves just as your ancestors did ? Do you intend to keep prostituting yourselves by worshiping vile images ?
26:20:031:0	For when you offer gifts to them and give your little children to be burned as sacrifices , you continue to pollute yourselves with idols to this day . Should I allow you to ask for a message from me , O people of Israel ? As surely as I live , says the Sovereign Lord , I will tell you nothing .
26:20:032:0	“ You say , ‘ We want to be like the nations all around us , who serve idols of wood and stone . ' But what you have in mind will never happen .
26:20:033:0	As surely as I live , says the Sovereign Lord , I will rule over you with an iron fist in great anger and with awesome power .
26:20:034:0	And in anger I will reach out with my strong hand and powerful arm , and I will bring you back from the lands where you are scattered .
26:20:035:0	I will bring you into the wilderness of the nations , and there I will judge you face to face .
26:20:036:0	I will judge you there just as I did your ancestors in the wilderness after bringing them out of Egypt , says the Sovereign Lord .
26:20:037:0	I will examine you carefully and hold you to the terms of the covenant .
26:20:038:0	I will purge you of all those who rebel and revolt against me . I will bring them out of the countries where they are in exile , but they will never enter the land of Israel . Then you will know that I am the Lord .
26:20:039:0	“ As for you , O people of Israel , this is what the Sovereign Lord says : Go right ahead and worship your idols , but sooner or later you will obey me and will stop bringing shame on my holy name by worshiping idols .
26:20:040:0	For on my holy mountain , the great mountain of Israel , says the Sovereign Lord , the people of Israel will someday worship me , and I will accept them . There I will require that you bring me all your offerings and choice gifts and sacrifices .
26:20:041:0	When I bring you home from exile , you will be like a pleasing sacrifice to me . And I will display my holiness through you as all the nations watch .
26:20:042:0	Then when I have brought you home to the land I promised with a solemn oath to give to your ancestors , you will know that I am the Lord .
26:20:043:0	You will look back on all the ways you defiled yourselves and will hate yourselves because of the evil you have done .
26:20:003:1	Judgment against the Negev
26:20:044:0	You will know that I am the Lord , O people of Israel , when I have honored my name by treating you mercifully in spite of your wickedness . I , the Sovereign Lord , have spoken ! ”
26:20:045:0	Then this message came to me from the Lord :
26:20:046:0	“ Son of man , turn and face the south and speak out against it ; prophesy against the brushlands of the Negev .
26:20:047:0	Tell the southern wilderness , ‘ This is what the Sovereign Lord says : Hear the word of the Lord ! I will set you on fire , and every tree , both green and dry , will be burned . The terrible flames will not be quenched and will scorch everything from south to north .
26:20:048:0	And everyone in the world will see that I , the Lord , have set this fire . It will not be put out . ' ”
26:20:049:0	Then I said , “ O Sovereign Lord , they are saying of me , ‘ He only talks in riddles ! ' ”
