9:12:001:1	Sámuel éí diné yich'į' yááłti'
9:12:015:0	Nidi Bóhólníihii bizaad doo bik'eh dahonoł'į́į́góogo índa bibik'eh ó'oo'níiłii bich'į' nidaałteehgo Bóhólníihii danihizhé'é yę́ę atíyííł'įįd yę́ęgi át'éego yee atí'éł'íinii yee nihik'ijį' nilį́į doo .
9:12:016:0	Éí bąą k'ad hazhó'ó nisoozį́įgo t'áadoo le'é ayóó át'éii dadínóoł'įįł ; éí Bóhólníihii nihinááł íidoolííł .
9:12:017:0	Díí jį́į́sh doo tł'oh naadą́ą́' dadiigaii da ? Bóhólníihii baa néideeshkąąłgo adi'níigo nahałtingo íidoolííł , áko baa ákodadínóohsįįłígíí índa dadínóoł'įįłígíí éí ts'ídá ayóó át'éego doo yá'áshónígi ádaot'įįdígíí yee' Bóhólníihii binááł ádaot'įįd ; jó , aláahgo naat'áanii ádá dayínóokeed .
9:12:018:0	Ákohgo Sámuel éí Bóhólníihii náyooskango t' áá éí bijį́ Bóhólníihii éí adi'níigo nahałtingo áyiilaa ; nít'éé' diné t'áá ałtso ayóó át'éego Bóhólníihii índa Sámuel yik'ee bił yéé' dahazlį́į́' .
9:12:019:0	Áko diné t'áá ałtso Sámuel ádeidííniid , Ná naal'a'í niidlíinii , Bóhólníihii niDiyin God bich'į' nihá ná'iinikąąh , áko doo dadíníi'néeł da , háálá t'óó yówehda ádił ninááda'ayiilzíihgo doo yá'áshónígi áńdeiit'įįhgo aláahgo naat'áanii ádá nídeíníiki' .
9:12:020:0	Áko Sámuel éí diné áyidííniid , T'áadoo ádił dahonołyé'í ; ts'ídá doo yá'áshónígi ánáádaaht'į́įgo t'áadoo yee' t'ą́ąjį' dahohjahí ; Bóhólníihii bikéé' dayínóhkááh , ákót'éego nihijéí t'áá át'é bee Bóhólníihii bá nidaał'a' .
9:12:021:0	Áádóó t'áadoo t'ą́ą́' anáhóhjeehí ; éí t'áadoo nídandlíní da ; doo bee íná'iideeł da , índa doo bee yisdáhóót'i' da , háálá éí t'áadoo nídandlíní da .
9:12:022:0	Jó , Bóhólníihii bidine'é ts'ídá doo yóó'iidó'ááł át'éégóó bízhi' ayóó át'éego bee baa ha'niih doo , háálá Bóhólníihii bił hózhǫ́ǫgo t'áá bí ádá bidine'é danohłį́įgo ánihidoolííł .
9:12:023:0	Áádóó ałdó' díí ts'ídá doo nisin da : nihá sodiszingo nideesht'ihígíí bee Bóhólníihii bich'į' ádił adeesih , nidi nizhónígo índa yá'át'éehgo dahinohnáa dooleełii t'éiyá bínanihinishtin doo .
9:12:024:0	T'áá hazhó'ó Bóhólníihii t'éí dadíínóhsin , áádóó nihijéí t'áá át'é bee ts'ídá t'áá aaníinii bik'ehgo bá chodaoh'į́ , háálá nabik'ítsáhákeesgo ts' ídá ayóó ádaat'éii nihá áyiilaa .
9:12:025:0	Nidi doo yá'áshónígi ánáádaaht'į́į́ ládą́ą́' éí aláahgo nihinanit'a'í t'áá bił ádanihidi'dooldįįł .
