9:25:001:1	David áádóó Ábigeil
9:25:022:0	Diyin God éí lą́ą David bi'ana'í yich'į' ákódooniił , áádóó t'ah yówehígi át'éego ákwíidoolííł ; éí abínígo Néíbal bighandóó diné danilínígíí t'áadoo ałtso nisíłtseedgóogo ákwíidoolííł .
9:25:023:0	Áko Ábigeil éí David dziiłtsą́ągo tsxį́įłgo télii bikáá'dę́ę́' hadajííyáago David bidáahjį' ni'jį' yaa ádziidzaago nitsizhdinígo' .
9:25:024:0	Áádóó bikétsį́įjį' nitsizhdinígo'go ájíní , Shí lą́ą bóhonishníihii , shí t'éiyá doo ákwii át'éii shik'ijį' si'ą́ą doo . Asdzání ná naal'a'í nishłíinii nich'į' hadeesdzihígíí baa nánooshkąąh , áko asdzání ná naal'a'í nishłíinii shizaad diits'į́į́h .
9:25:025:0	Shinanit'a'í nílíinii , díí Néíbal joolyéii éí diné doo yá'ájíshóonii jílíinii t'áadoo ha'át'éegoda haa nitsíníkeesí , baa nánooshkąąh , háálá t'áá ákójoolyéego nijighá . Néíbal joolyéego házhi' , áko doo áhályáanii jílį́ . Nidi shí asdzání ná naal'a'í nishłį́įgo shinanit'a'í bidinééh baa dasíníł'a' yę́ę t'áadoo yiiłtsą́ą da .
9:25:026:0	Éí bąą k'ad , bóhonishníihii , Bóhólníihii ts'ídá t'áá aaníí hiná áádóó nii' sizíinii ts'ídá t'áá aaníí hiná ; t'áá ákót'éego Bóhólníihii éí hodiyííłhéełgo hadił hats'ádoonahígíí áádóó t'áá ni níla' bee k'ééhodidíídlíłígíí yits'ąą naajé'ólnáago , háni'dii k'ad ni'ana'í áádóó doo yá'áshóonii bee nich'į' ádazhdooníiłii t'áá Néíbal át'ínígi át'éego ádajít'ée le' .
9:25:027:0	Áko ná naal'a'í nishłíinii shinanit'a'í k'ad díí aa doolyéełii naa deeshniłgo dinééh nił naakaígíí baa díínił .
9:25:028:0	Asdzání naal'a'í nishłíinii doo ákǫ́ǫ́ áát'įįdígíí shá yóó'adí'aah , baa nánooshkąąh . Jó , Bóhólníihii éí shinanit'a'í ba'áłchíní ahii' háá'ahiyoołchíiłii t'áádóo nídí nidant'áa doogo íidoolííł , háálá bóhonishníihii éí Bóhólníihii bá ana'ał'į́ . Áko díí bee bééhózin : doo yá'áshóonii doo ła' nii' hólǫ́ǫ́góó níiníłką́ .
9:25:029:0	Diné ła' ne'iina' íidoołdįįł biniyé há nidéez'į́į'go nich'į' nídiilwodgo , nidi shinanit'a'í nílíinii , nii' sizíinii éí as'ahgóó iináanii bee hólǫ́ǫgo Bóhólníihii niDiyin God t'áá bí yaa áhályą́ą dooleeł . Áko ni'ana'í danilíinii éí bee aditł'į́į́h yee iijíítł'inígi át'éego yee azdootł'į́į́ł .
9:25:030:0	Áádóó ákódzaadóó bik'ijį' t'áá ałtsoní yá'át'éehii bik'ehgo shinanit'a'í bich'į' Bóhólníihii éí t'áá aaníígóó yee naa yáłti' yę́ę ádzaago , índa Ízrel dine'é binanít'áa doo biniyé nininíłtį́įgo ,
9:25:031:0	shinanit'a'í nílíinii , díí t'áadoo bąąh níni'í da doo , doodaii' doo bik'ee haadanít'ée da doo ; jó , diné doo ádąąh dahast'áanii t'áadoo síníłhį́įgo bidił doo bits'ánína' da , áádóó shinanit'a'í t'áadoo ádá k'éédahodiidlaa da . Áko Bóhólníihii t'áá aaníígóó ááníiłii yee shinanit'a'í yił hólǫ́ǫgo asdzání ná naal'a'í nishłíinii béénílniih doo .
9:25:032:0	Áko David éí Ábigeil áyidííniid , Ízrel dine'é biBóhólníihii Diyin God baa ha'niih le' ; jó , éí díí jį́ shaa niníł'a'go shidááh yíníyá .
9:25:033:0	Kót'éego dííníniidígíí baa ha'niih le' áádóó nik'ihojidlíi le' , háálá díí jį́ diné séłhį́įgo bidił bits'ánílį́įgo índa ádá k'éhodee'nééh bits'ąą jé'ííníshnáago áshiinilaa .
9:25:034:0	Háálá ts'ídá t'áá aaníí Ízrel dine'é biBóhólníihii Diyin God hiná ; éí haada nihideeshłíłígíí bits'ąą t'ą́ą́' áshósingo doo tsxį́įłgo shidááh yíníyáágóogo , t'áá ákót'éego ts'ídá t'áá aaníí abínígo Néíbal bik'éí bidiné ałtso nisíłtseed doo nít'éé' .
9:25:035:0	Ákohgo David éí asdzání t'áadoo le'é yiníjaa'ígíí néidiinil , áádóó asdzání ábizhdííniid , Nílááh , nich'į' hózhǫ́ǫgo nighangóó nídídááh ; t'áá aaníí nizaad diséts'ą́ą'go yíníkeedígíí ná bi'iishłaa .
9:25:036:0	Áko Ábigeil éí Néíbal bich'į' nídzídzáago bikin góne' aláahgo naat'áanii áda'asįįdígi át'éego ída'íísįįd lá . Áko bijéí t'áá íiyisí bił nihooshǫǫh , háálá oodlą́ą'go t'áá íiyisí bił nahondooh . Ákohgo nijiyáhígíí t'áadoo bee bił hojoolne' da , biiskání abínígo índa .
9:25:037:0	Ákódaadzaadóó biiskání hoos'įįdgo Néíbal hasht'e'ninádzáago , hwe'asdzą́ą́ díí t'áá ałtso yee hoł hoolne'go bik'ee hajéí niiltłah áádóó tségi ájít'é dzizlį́į́' .
9:25:038:0	Ákódaadzaadóó neeznáá yiską́ągo daats'í Néíbal éí Bóhólníihii atíhoolaago dadziztsą́ .
9:25:039:0	Áko David éí Néíbal daaztsą́ ha'níigo yidiizts'ą́ą'go ádííniid , Bóhólníihii baa ha'niih le' , éí Néíbal shá nahałt'i' yę́ę k'éidiidlaa . Áko bá naal'a'í éí doo yá'áshóonii yits'ąą yaa áhályą́ ; jó , Bóhólníihii éí Néíbal doo yá'át'ééh ájooníłígíí yee k'ééhodiidlaa . Ákohgo David éí Ábigeil be'asdzą́ą́ íidoolííł biniyé yich'į' i'ííł'a' .
9:25:040:0	Áko David bá nidaal'a'í Kármel kin shijaa'gi Ábigeil yaa yíkaigo ádeidííniid , David naa náánihiníł'a'go bich'į' nił nídadiikahgo be'asdzą́ą́ dííleeł .
9:25:041:0	Áko nízhdii'na'go ni'jį' tsé'yaa jineeshjoolgo ájíní , Jó , asdzání ná naal'a'í nishłíinii shinanit'a'í bá nidaal'a'í bikee' bá táádadeesgis .
9:25:042:0	Áko Ábigeil tsxį́įłgo nízhdii'na'go télii nihihoníyį́ , índa ch'ikéí ałdó' ashdla' yilt'éego hoł niheekai , David bá nidaal'a'í bikéé' níjíkaigo David be'asdzą́ą́ dzizlį́į́' .
9:25:043:0	Jézriyel kin shijaa'dóó Ahínowam joolyéii ałdó' David náhodiiłtį́įgo t'áá ájíłah ba'ákéí dzizlį́į́' .
9:25:044:0	Saul bitsi' Máíkal éí David be'asdzą́ą́ nít'é'ígíí Fáltai beíltį́ ; éí Léíyish biye' jílį́įgo Gálim kin shijaa'dę́ę́' nijighá .
