66:21:001:1	Yádiłhił índa nahasdzáán ániidíii
66:21:016:0	Kin haal'áhígíí t'áá dį́į́'góó dik'ą́ , náásee áádóó naaniigo t'áá aheeníłtso . Habee'ída'neel'ąąhí bee kin haal'áhígíí bízh'nééł'ąądgo ashdla'áadahdi neeznádiin tsin sitą́ą́ lá ; náásee , naaniigo áádóó dego éí t'áá aheedaníłtso .
66:21:017:0	Ahéé'ítł'inígíí ałdó' bízh'nééł'ąąd , nít'éé' ach'oozhlaa'dóó ála' bílátahjį' áníłtsoígíí éí t'ááłáhídi neeznádiindóó ba'aan dízdiindóó ba'aan dį́įdi ahą́ą́h dí'á áníłtso lá , éí diné k'ehgo í'neel'ąąhígíí k'ehgo , t'áá éí diyingo naal'a'í k'ehgo í'neel'ąąh át'é .
66:21:018:0	Ahéé'ítł'inii jásper bee ályaa , kin haal'áhígíí éí tsésǫ' bigházdiníłtólígíí nahalingo óola t'áá bízhání bee ályaa .
66:21:019:0	Kin haal'á ditą́ągo binaa ahéé'ítł'inígíí bee hadaastł'inii nitł'iz ałtaas'éí t'áá ał'ąą ádaat'éii bee nidaashch'ąą' , áłtséhígíí jásper , naakiígíí sáfair , tá'ígíí kalsédonii , dį́'ígíí émerald ,
66:21:020:0	ashdla'ígíí sardániks , hastánígíí sárdiyas , tsosts'idígíí krísolait , tseebíígíí béril , náhást'éígíí tópaz , neeznánígíí krísopreiz , ła'ts'áadahígíí jéísinth , naakits'áadahígíí ámethist .
66:21:021:0	Naakits'áadahgo ch'é'étiinígíí éí diichiłí bee ádaalyaa , ch'ída'iiztiinígíí t'áá át'é diichiłí bee ádaalyaa . Kintahgóó hahodiit'i'ígíí éí tsésǫ' bigházdiníłtólígíí nahalingo óola t'áá bízhání bee ályaa .
66:21:022:0	Kin haal'áhígi kin bii' sohodizin doo ła' yiiłtsą́ą da , háálá Bóhólníihii Diyin God Aláahgo Ayóó'ábóodziilii índa Dibé Yázhí nilíinii éí ákwii t'áá bí kin bii' sohodizin nilį́ .
66:21:023:0	Éí kin haal'áadi jį́honaa'éí , doodaii' tł'éhonaa'éí ádin , háálá Diyin God bee bits'ádi'nílíidii bee adinídíín , áádóó Dibé Yázhí nilíinii bee adinídíinii nilį́ .
66:21:024:0	Ał'ąą dine'é bił dah nidahaz'áanii adinídíinii yii' dayíkáah doo , áádóó nahasdzáán bikáá'dóó aláahgo naat'áanii danilíinii yee ayóó ádaat'éii yił , yah adahakáah dooleeł .
66:21:025:0	Áadi aańdaditį́į́hgóó ts'ídá doo dádadi'doolkał da , háálá áadi tł'éé' ádin doo .
66:21:026:0	Ał'ąą dine'é bił dah nidahaz'áanii yee ayóó ádaat'éii índa yee ił danilíinii yił yah adahakáah dooleeł .
66:21:027:0	Nidi ha'át'íida t'óó baa'ihii ts'ídá doo biih hodooleeł da , índa doo yildingóó naagháii áádóó biyooch'íidii ts'ídá doo yiih doogáał da , nidi iiná naaltsoos Dibé Yázhí nilíinii bíhígíí biyi' dabízhi' bik'idaasdzohii t'éiyá yiih dookah .
