66:18:001:1	Bábilan ahiih náhwiiłdaas
66:18:011:0	Nahasdzáán bikáá'góó baa nida'iiniihii doo ła'da baa na'iiłniih da silį́į'go biniinaa t'óó haa daachxa áádóó haa atíńdadinidleeh ;
66:18:012:0	doo ła'da óola nayiiłniihí da , béésh łigaii , tsé da'ílíinii áádóó diichiłída , áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii , naak'ą' tsídídééh nahalinígíida , na'at'ą́hí da'dijihígíí áádóó naak'ą' ałchxíi'da , tsin łikání halchinii áádóó áívori bee ádaalyaii , tsin da'ílíinii , béésh łitsoiida , béésh índa tsé nitł'iz nizhóníii bee ádaalyaii t'áá ałtso ,
66:18:013:0	sínaman , spáis , tsin bijeeh dilidgo łikání dahalchinii , tłah ílíinii , tsin bijeeh łikání halchinii fránkinsens wolyéii , wáin , ak'ah ílíinii , ak'áán dibahí áádóó tł'oh naadą́ą'da , béégashii áádóó dibéda , łį́į́' áádóó tsinaabąąs bijáád naakiígíí , índa naalte' danilíinii , azhą́ diné bii' sizíinii nidi doo ła'da nayiiłniihí da .
66:18:014:0	Nídant'į́įhii éí nii' sizíinii t'áá íiyisí bił bidááhání yę́ę nits'ą́ąjį' silį́į́' , áádóó ch'iyáán ałtaanáskąądí índa bee nił yá'áhoot'éehgo dah yílééł yę́ę doo shónéidííłt'eełgóó nits'ą́ąjį' silį́į́' !
66:18:015:0	Díí naalyéhé baa nidahaniihii hats'ą́ą́dóó da'ast'įįdii , bee atího'diilyaaígíí yéédaaldzidgo , ayóó ánízáádę́ę́' naazį́įgo ayóó íits'a'go daachxa áádóó atíńdadinidleeh doo ,
66:18:016:0	kódaaníigo , Héi' ! Héi' ! Ayóó át'éego kin haal'áii jílį́į́ nít'éé' yę́ę áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii , naak'ą' tsídídééh nahalingo índa naak'ą' ałchxíí' bee hazhdít'éii yę́ę , óola , tsé da'ílíinii , índa diichiłí bee nijishch'ąą' yę́ę !
66:18:017:0	Éí jit'ínígíí t'áá ałtso t'ááłáhídi ahéé'ílkidjį' t'áá ádzaaí silį́į́' ! Áádóó bik'ehgo nida'a'eełii áádóó nida'ał'eełii binaanish danilíinii , naalnishí danilį́įgo bił nida'a'eełii índa táłkáá'góó na'iini' yaa nidaakaii , díí t'áá ałtso nízaadę́ę́' naazį́įgo
66:18:018:0	jidook'ą́ąłgo halid dayiiłtsą́ągo , kódaaníigo hadadeeshghaazh , Ha'át'íí kin haal'áá shį́įshą' hógi át'éego ayóó át'éego kin haal'áhígíí yił aheełt'éé nít'éé' ?
66:18:019:0	Bitsii' łeezh yik'ídayiighaasgo daachxa índa atíńdadinidleeh ; kódaaníigo hadadeeshghaazh , Héi' ! Héi' ! Ayóó át'éego kin haal'áii jílį́į́ nít'éé' yę́ę ákwii táłkáa'di tsinaa'eeł neisnilii t'áá ałtso jit'ínígíí yee da'ast'įįdii ! Éí t'ááłáhídi ahéé'ílkidjį' t'áá ádzaaí dzizlį́į́' !
66:18:020:0	Yá'ąąshii nílíinii , Diyin God bidiyį́į́' danohłíinii , daal'aadii danohłíinii índa Diyin God bá dahołne'ii baa nihił dahózhǫ́ǫ le' ! Háálá Diyin God nihá hainíst'įįdgo há nihoní'ą́ !
66:18:021:0	Nít'éé' diyingo naal'a'í ayóó ábóodziilii tsé bee ak'áhí ayóó áníłtsoígíí nahalingo tsé léi' néidii'ą́ągo kóníigo tónteel biyi' góne' yee adzííłne' , Kót'éego Bábilan ayóó át'éego kin haal'áii jílíinii t'áá na'níle'dii nikíhodidooltsxis , áádóó ts'ídá doo hwénáhodoodzįįł da .
66:18:022:0	Tsin bee nida'a'néii , sin yee nidaanéii , bee í'dílzoołí yee nidaanéii , índa béésh dilní bee í'dílzoołí yee nidaanéii nidaanéego nitahgi ts'ídá doo náádidoots'į́įł da ; t'áadoo le'é dayiichįįhgo ádeił'íinii nitahgi ts'ídá doo néidooltséeł da ; tsé bee ak'áhí ak'áago nitahgi ts'ídá doo náádidoots'į́įł da !
66:18:023:0	Bee hool'iní diltłi'ii nitahgi ts'ídá doo náádi'níłdíin da doo ; iiyehii índa bá'iigehii biinéé' nitahgi ts'ídá doo náádidoots'į́įł da . Jó , ná nida'iiłniihii nahasdzáán bikáá'dóó diné ayóó ádaat'éii danilį́į́ nít'éé' , áádóó nina'adlo'go álílee bee nahółáá nít'éé' yę́ę bee ał'ąą dine'é bił dah nidahaz'áanii t'áá ałtso bida'deesdlo' .
66:18:024:0	Diyin God yá dahalne'ii áádóó Diyin God bidiyį́į́' índa nahasdzáán bikáa'gi t'áá ałtso nidaaztseedígíí bidił éí kin haal'áagi bééhoozin .
