66:3:001:1	Sárdisgi da'oodlání áłah nádleehii bich'į' hane' ályaa
66:3:010:0	Nízaadgóó hada'íínółní , nihidishnínígíí bik'eh dahonoł'į́įgo bąą shí ałdó' nahasdzáán t'áá si'ą́ą́ nít'éé' ach'į' nahwii'ná bee bich'į' hoolzhishígíí , éí nihokáá' dine'é bee bóhontááh át'éii , bits'ą́ąjį' nihííníshtą' doo .
66:3:011:0	Jó'akon , tsį́įłgo deeshááł . Diyin God k'ehgo nihee dahólónígíí yéego dayínóhtą' , áko nihinaat'á ch'ah ła'da doo nihighaidoot'áał da .
66:3:012:0	T'áá ak'eh deesdlį́'ígíí shiDiyin God bikin bii' sohodizin biyi' áyah nii'áii nahojílingo áhodeeshłííł , áko áádóó doo ch'ínáázhdoodáał da , áádóó shiDiyin God bízhi' , índa shiDiyin God bikin haal'áii bízhi' , éí Jerúsalem ániidíii yá'ąąshdę́ę́' shiDiyin God bits'ą́ą́dóó hadahodooleełii , índa t'áá shí shízhi' ániidíígíí hakáa'gi bee bik'e'deeshchííł .
66:3:003:1	Leiyodisíyagi da'oodlání áłah nádleehii bich'į' hane' ályaa
66:3:013:0	T'áá háiida daz'diits'a'ii Níłch'i Diyinii éí da'oodlání áłah nídaadleehii kwííłníigo yee yił halne'ígíí háni'dii dajíists'ą́ą́' .
66:3:014:0	Leiyodisíyagi da'oodlání áłah nádleehii bidiyingo naal'a'í kót'éego bich'į' ak'e'íłchí : T'áá Ákót'ée Dooleeł nilíinii , éí ba'ahódlíigo t'áá aaníí halne'ii , t'áá éí Diyin God ádayiilaii bee deezt'i'ii kóní :
66:3:015:0	Baa nidaahkaii shił bééhózin ; doo dasinoohk'az da índa doo dasinoohdoh da . Dasinoohk'az , doodaii' dasinoohdoh dooleeł yę́ę nisin !
66:3:016:0	Áko doo dasinoohk'azgóó , doodaii' doo dasinoohdohgóó , nidi t'óó dasoozílígo t'óó nihídideeshkoh .
66:3:017:0	Háálá , Asht'į́ , asist'įįd , t'áadoo bídin nishłíní da , dadohní , nidi hojooba' ádanoht'éego , áádóó nihaa dayíníigo , áádóó té'é'į́ danohłį́įgo , áádóó doo da'oh'į́į́góó índa t'áá łichí'ígo nidaahkaígíí doo nihił béédahózin da .
66:3:018:0	Éí bąą kónihidishní , da'dooht'įįł biniyé kǫ' bee óola ániidí ánályaii shaa nidahołniih , t'óó baa yáhásingo t'áá łichí'ígo nidaahkaígíí doo yit'į́į da ádoolníłígíí biniyé ééłgaii bee hadadidoohníiłii ałdó' shaa nidahołniih , áádóó da'oh'į́į dooleeł biniyé tłah anáá' bąąh ál'íinii ałdó' shaa nidahołniih .
66:3:019:0	Ayóó'ádaósh'níinii nídadishteh índa atídaashłe'go nidanishtin ; éí bąą yéego ádaaht'į́ índa łahgo át'éego tsíńdahidohkeesgo yéego bídanoohdlį́ .
66:3:020:0	Jó'akon , ch'é'étiindę́ę́' sézį́įgo dáádílkał nánísts'in ; t'áá háiida shidiizts'ą́'ígíí índa ąą yidinítánígíí bił yah adeesháałgo bił adeeshį́į́ł índa shił adooyį́į́ł .
66:3:021:0	T'áá ak'eh deesdlį́'ígíí shí ak'eh déshdlį́į'go shiTaa' bibikáá'dóó nahat'áii bikáa'gi bił dah níkéhígi át'éego , shibikáá'dóó nahat'áii bikáá'dóó shił dah dínóokeełgo baa dideesh'ááł .
66:3:022:0	T'áá háiida daz'diits'a'ii Níłch'i Diyinii éí da'oodlání áłah nídaadleehii kwííłníigo yee yił halne'ígíí háni'dii dajíists'ą́ą́' .
