7:1:001:1	Júdah dine'é áádóó Símiyan dine'é éí
7:1:015:0	Áko ábizhdííniid, Shik'ijiinídliih; jó, shádi'ááhjí kéyah hóółtseii shaa dííní'ą́; kéyah tó hadaazlį́įgi ałdó' łahgo shaa nááhodidíí'ááł. Áko Kéíleb éí wódahdi áádóó wóyahdi tó hadaazlį́į́góóígíí haidiní'ą́. 
7:1:016:0	Mózes yaadaaní nilíní ba'áłchíní, Kííni dine'é jílíinii, éí Mózes haadaaní nilį́į́ nít'ée'go ha'áłchíní ahoolchíiłii, éí tsin páam kin haal'á hoolyéhídóó dashdiináago Éírad kin haal'áii shádi'ááhjígo Júdah honoojíidi Júdah dine'é bił jíkaigo áadi bił kéédahojit'į́į́ nít'éé'. 
7:1:017:0	Júdah dine'é éí bik'is Símiyan dine'é yił dah diináago Kéínan dine'é Zíífath kin haal'áadi kéédahat'ínígíí nideistseedgo ałtso ádeisdįįd. Áko éí kin haal'áii Hórmah hoolyée doo, dadííniid. 
7:1:018:0	Júdah dine'é éí Géíza kin haal'áii bikéyah t'áá bił áádóó Áshkelan kin haal'áii bikéyah t'áá bił índa Ékran kin haal'áii bikéyah t'áá bił ałdó' deisná. 
7:1:019:0	Júdah dine'é éí Bóhólníihii bił hólǫ́ǫgo dziłgo nahaz'ánígóó kéédahat'íinii ch'ídeineeskaad, nidi halgaigóó kéédahat'íinii t'áadoo ch'ídeineeskaad da, háálá tsindaabąąs bijáád naakiígíí béésh nitł'izii bee ádaalyaii bee bits'ádahazyéé'. 
7:1:020:0	Áko Hííbran kin haal'áii éí Kéíleb yaa deideez'ą́; Mózes ádííniidígi ída'iilaa. Éínak biye'ké tált'éego baa ch'íníjéé'. 
7:1:006:1	Jóseph dine'é éí Béthel kin haal'áii deisná
7:1:021:0	Nidi Bénjamin dine'é éí Jííbas dine'é Jerúsalemgi kéédahat'ínígíí t'áadoo baa ch'ídahaazhjée' da. Jííbas dine'é éí Bénjamin dine'é Jerúsalem kin haal'áagi t'ahdii díí jį́į́góó ahił kéédahat'į́.  
7:1:022:0	Áko Jóseph dine'é ałdó' Béthel kin haal'áii baatįįh jookai; jó, Bóhólníihii hoł hólǫ́ǫgo ákóda'jiilaa. 
7:1:023:0	Jóseph dine'é bits'ą́ą́dóó naalchi'í Béthel kin haal'áágóó adayiis'a'; éí ákwii átséédą́ą́' Luz hoolyéé nít'éé'. 
7:1:024:0	Áko naalchi'í éí kin haal'áhídóó diné ła' ch'íníyáago dayiiłtsą́ągo ádeidííniid, Nihił hólne', baa nídaniikąąh, kintah góne' yah e'etiinígi nihił ííshją́ą́ áhólééh, áko naa a'ááh daniidzin doo. 
7:1:025:0	Áko kintah góne' yah e'etiinígíí hach'į' ííshjání áyiilaago kin haal'áagi kéédahat'íinii diltłish bee nidadzistseed, nidi diné hoł hoolne'ígíí índa ba'áłchíní éí t'áá ałtso t'óó bida'jiis'nii'. 
7:1:007:1	Manáseh dine'é áádóó Íífreiyim dine'é haa honíłtéelgo kéyah deisná
7:1:026:0	Áádóó éí diné dah diináago Het dine'é bikéyahgóó ííná; áadi kin haal'áago áhoolaago Luz hoolyée doo, dííniid; díí jį́į́góó ákóhoolyé. 
7:1:027:0	Manáseh dine'é ałdó' díí kin hadaas'áágóó índa binaagóó kin dah naazhjaa'ígi kéédahat'ínígíí t'áadoo ch'ídahizneeskaad da; éí kódahoolyéego kin hadaas'á: Beth-shíyan, Téíyanak, Dóor, Íbliyam índa Megído dahoolyé, nidi Kéínan dine'é éí t'áá ákǫ́ǫ́ kéédahat'į́. 
7:1:028:0	Ákódzaago Ízrel dine'é bidziil daazlį́į'go Kéínan dine'é bá nidaalnishgo ádayiilaa, áko t'áadoo ałtso ch'ídeineeskaad da.  
7:1:008:1	Dadine'é ła'ígíí éí haa honíłtéelgo kéyah deisná
7:1:029:0	Íífreiyim dine'é ałdó' Kéínan dine'é Gíízer kin haal'áagi kéédahat'ínígíí t'áadoo ch'ídeineeskaad da, nidi Kéínan dine'é éí t'áá Gíízergi hatahgóó kéédahat'į́.  
7:1:030:0	Zébyulan dine'é ałdó' Kítran kin shijaa'gi índa Néíhalal kin shijaa'gi kéédahat'ínígíí t'áadoo ch'ídeineeskaad da, nidi Kéínan dine'é t'áá ákǫ́ǫ́ hatahgóó kéédahat'į́įgo hanaalte' ádajiilaa. 
7:1:031:0	Ásher dine'é ałdó' éí díí kin hadaas'áhígi kéédahat'ínígíí t'áadoo ch'ídeineeskaad da; éí kódahoolyéego kin hadaas'á: Éko, Sáídan, Álab, Ákzib, Hélba índa Rííhob dahoolyé. 
7:1:032:0	Nidi Ásher dine'é éí Kéínan dine'é yitahgóó kéédahat'į́, háálá éí kéyahdóó t'áadoo ch'ídeineeskaad da. 
7:1:033:0	Náftalai dine'é ałdó' Beth-shíímesh kin haal'áagi áádóó Beth-éínath kin haal'áagi kéédahat'íinii t'áadoo ch'ídahizneeskaad da, nidi Kéínan dine'é bitahgóó éí kéyahgi bił kéédahojit'į́. Azhą́ ákót'ée nidi Beth-shíímesh kin haal'áagi áádóó Beth-éínath kin haal'áagi kéédahat'íinii handaalte' danilį́įgo ádajiilaa. 
7:1:034:0	Ámor dine'é t'áá bizááká Dan dine'é dziłghą́ą́'góó anídeiniłka'go halgaijį' dadookahgo doo yada'di'aah da. 
7:1:035:0	Nidi Ámor dine'é éí Dził Hérezdi Éíjalan kin haal'áagi índa Sheiyálbim kin shijaa'gi kéédahat'į́; ákót'ée nidi Jóseph dine'é hak'eh deesdlį́į'go binaalte' dajílį́įgo ádahoolaa. 
7:1:036:0	Áko Ámor dine'é bikéyah bá hoodzooígíí éí Akrábim báhátis áádóó tsékooh hoolyéédóó náhookǫsjigo hoodzo.
