61:2:001:1	Łi'didlii Kwaa Haa Geech'ǫąąhtan Nąįį
61:2:012:0	Niinjich'agadhat kwaa ts'ą' googwitr'it gwanlii , nin iizųų tr'ooheendal ts'ą' tr'ahaahkhwaa k'it gooveegoo'aii . Gaagiindaii kwaa k'ii'an tr'eedeech'agaajyaa . Nin iizųų k'it an giheelyaa .
61:2:013:0	Dinjii khaiinjich'iheedhaa googwahtsii gwit'įį geedan chan khaiinjich'igiheeghit . Drin gwiteegwaanchy'aa gwiizųų gwizhrįh googwitr'it gwanlii ąįį łyaa shragogwąąhchy'aa , oozhii ts'į' ginlii ts'ą' googwitr'it iizųų gwiizhit nakhwaach'igihee'aa gwiizhit gwintł'oo deenakhwagah'in gwashoogahahłyaa .
61:2:014:0	Goo'at t'inchy'aa kwaa haa giheechyaa gwizhrįh gwinkeegogwaah'in ; tr'agwaanduu googwitr'it gwanlii łyaa geech'igiinjii kwaa . Dinjii vik'injigwiighit nint'aii kwaa nąįį goodhaii nigilii t'igii'in , digidrii zhit khit gwandaa k'eiich'i' giindhan . Vit'eegwijyąhchy'aa goots'į' t'iinchy'aa .
61:2:015:0	K'eegwaadhat k'igwąą'ee vatąįį gwinjik gehk'aa tr'igiinjil ts'ą' gavaatr'igweendaii , yeenaa dąį' dinjii Beor vidinji' Balaam oaazhii ąįį tąįį gahaajil , ąįį gwiizųų gwitr'it t'agwah'in haa laraa daatsii t'agah'in .
61:2:016:0	Vit'eegwijyąhchy'aa gwiizųų gwitr'it t'agwah'in eenjit yeiinyą' . Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii ąįį dinjii vagwandaii iizųų k'it t'ahah'ya' akhai' vałąįį choh tsal ( donkey ) ąįį yats'ą' dinjii k'it khagiinkhee ts'ą' zhit t'igwehee'yaa kwaa t'ini'in datthak akhagoonyąą goovahnyąą .
61:2:017:0	Niinlaii gwatsal chųų kwaa goodlit k'it gaveegoo'aii , zheek'ǫh ahtr'aii choh haa vakwaa gwilik k'it chan gaveegoo'aii , ąįį nąįį t'ee dinjii giilį' k'it t'iginchy'aa geh'an , Vit'eegwijyąhchy'aa oozhak tǫǫ gwaazhrąįį gwit'eh goo'aii kwaa izhit hee gooveenjit nigwiin'ąįį .
61:2:018:0	Khaiinjigihil'ee ts'ą' yee'at k'ii'an giginkhii , ąįį nąįį tee goo'at akwat gookai' nilii kwaa nąįį haa tr'ohchųų zhrįh giindhan , gwik'injiighit k'eejit nąįį ąįį iizųų nąįį tee gwigwich'įį googiłdroo gwats'an tr'ineegiheedaa geetr'agogwah'in .
61:2:019:0	Gwiizųų gwizhit tr'agwagwah'in gwats'an tr'ineekhwanarahahchyaa googahnyąą , gwiizhit geedan chan googwitr'it iizųų t'iginyąą . Jidii diinandaa t'ąąht'aii eenjit slaves tr'iinlii t'ee diits'ą' k'eegwahaadhat gwizhįh t'oonchy'aa .
61:2:020:0	Dinjii nąįį , Diik'eegwaadhat Jesus Christ neediihahshii haagiindaii k'iighai' datr'agogwaanduu akhagoonjik . Ąįįtł'ęę chan googaa zhat gwits'eegihii'oo dąį' gwandaa dinjii iizųų gilik t'agwarahnyąą . Tr'ookit dąį' vidivee deegoonchy'aa ąįį gwandaa ts'ą' vidivee gweheezųų t'agwarahnyąą .
61:2:021:0	Gwandak Nizįį Shroodiinyąą goovantł'eeriin'ąįį ts'ą' gwik'injiighit gaadlit , gwik'injiighit gaadlit googaa gwinehts'į' t'iginchy'aa neegaadlit . Tr'ookit dąį' Vit'eegwijyąhchy'aa vandee ts'ą' dinjii nizįį gaadlit kwaa ji' ts'ąįį gwandaa goodivee gweheezyaa .
61:2:022:0	Yeenaa dąį' Dęhtły'aa Choh tee Proverbs kat deegiizhik googahnyąą ąįį łyaa łi'didlii t'igwinyąą łee , “ Łąįį dakwaii ts'eeheedyaa ts'ą' neeyehee'aa . ” akwat , “ Pig vik'eech'ahtryaa tł'ęę googaa łųhch'ant'at zhit neeheedyaa . ” ąįį gwik'it t'igii'in t'agwarahnyąą .
