46:15:001:1	Pen . xv .
46:15:019:0	A’s yn y vuchedd hon yn vnic ydd ym yn gobeithio yn‐Christ , yr ei truanaf o’r oll ðynion ydym .
46:15:020:0	Ac yr awrhon e gyvodwyt Christ o veirw , ac a wnaethpwyt yn vlaenffrwyth yr ei a hunesont .
46:15:021:0	Can ys gwedy trwy ddyn ddyvot angeu , trwy ðyn hefyt y daeth cyvodiadigeth y meirw .
46:15:022:0	Canys megis , yn Adda y mae pawp yn meirw , velly hefyt yn‐Christ y bywheir pawp ,
46:15:023:0	eithr pop vn yn y drefn y hunan : y blaenffrwyth yw Christ , gwedy hyny , yr ei ’syð i Christ , yn y ðyvodiat ef y cyvodant .
46:15:024:0	Yno y bydd y dywedd , gwedy rroddo ef y deyrnas y Dduw , ’sef y Tat , gwedy yddo ef ddilëu pop pendevigaeth , a’ phob awturtot a’ meddiant .
46:15:025:0	Can ys rait iddo deyrnasu y n y ddoto ei oll ’elynion y dan y draet .
46:15:026:0	Y gelyn dywethaf a ddinistrir vydd angeu .
46:15:027:0	Can ys ef a ddarestyngawdd pop dim y dan ei draet . ( A’ phan ddywait ef ddarvot darestwng pop peth yddavv , y mae yn amlwc y vot ef wedy ei ddyeithro , a ddarestyngawð bop peth y danaw . )
46:15:028:0	A’ phan ddarestynger pop dim yddaw , yno’r Map hefyt yntef a ddarestyngir y hwn , a ðarestyngoð bop dim y danaw , val y bo Duw bop peth oll yn oll .
46:15:029:0	A’s amgen beth a wnant wy a va‐tyddiwyt dros veirw ? a’s y meirw ny chyfodir yn ollawl , paam y batyddijr hwy dros veirw ?
46:15:030:0	Paam y periclir ni bop awr ?
46:15:031:0	Gan ein gorfoleð ys y genyf yn‐Christ Iesu ein Arglwydd ydd wyf yn marw beunydd .
46:15:032:0	A’s ymleddais ac aniueiliaid yn Ephesus yn ol dull dynion , pa leshad ymy , any chyfodir y meirw ? bwytawn ac yfwn : can ys y voru y byddwn veirw .
46:15:033:0	Na thwyller chwi : ymadroddion drwc a lygran voyseu da .
46:15:034:0	Dithunwch y vyvv yn gyfiawn , ac na phechwch : can nad oes gan ’rei wybodaeth o Dduw . Er cywilydd ywch y dywedaf hyn .
46:15:035:0	Eithr e ddywait ryw vn , Pa voð y cyvodir y meirw ? ac a pha ryvv gorph y dauant allan ?
46:15:036:0	A ynfyd , y peth ydd yw‐ti yn ei heheu , ny vyweiddir , addieithr yðo varw .
46:15:037:0	A’r peth yr wyt yn ei heu , nyt wyt yn heu y corph a vydd , anyd y gronyn noeth , megis y dygwydd , o wenith , neu o ryw ’ravvn eraill .
46:15:038:0	Eithyr Duw a ryð yddo gorph val y bo da ganto ef , ’sef y bob hedyn y gorph y hun .
46:15:039:0	Nyd yvv oll cnawd yr vn ryvv gwnad , eithr arall yw cnawd dynion , ac arall yw cnawd aniueilieit , ac arall i byscod , ac arall i adar .
46:15:040:0	Y mae hefyt gyrph nefol , a’ chyrph daiarawl : anyd arall yvv gogoniāt yr ei nefol , ac arall yvv gogoniant , yr ei daiarol .
46:15:041:0	Arall yvv gogoniāt yr haul , ac aral’ gogoniāt y lloer , ac arall gogoniant y ser : canys amrafaelia serē rac serē yn‐gogoniāt ,
46:15:042:0	Vel’y hefyt y mae cyuodiadigeth y meirw . Y corph a heuir yn l’wgredigeth , ac a gyvodir yn anllwgredigeth .
46:15:043:0	Ef a heuir yn amparch , ac a gyvodir yn‐gogoniant : e heuir yn‐gwendit , ac e gyuodir yn‐nerthoc .
46:15:044:0	E heuir yn gorph anianol , ac a gyfodir yn corph ysprytol : y mae corph anianol , ac y mae corph ysprytol :
46:15:045:0	Ac velly y mae yn escrivenedic . Y dyn cyntaf Adda a wnaethpwyt yn eneid byw : a’r Aða dywethaf a wnaetpvvyt yn yspryt bywodr .
46:15:046:0	Er hyny ny wnethpvvyt yn gyntaf yr hwn ’syð yn ysprytol : anyd yr vn anianol , ac yno yr vn ysprytawl .
46:15:047:0	Y dyn cyntaf ys ydd o’r ðaiar , yn ddaiarol : yr ail dyn yw yr Arglwydd o’r nef .
46:15:048:0	Vn ryw vn a’r daiarol , cyfryw yvv ’r ei sy yn ddaiarolion : a’ megis yr vn sy yn nefol , cyfryw hefyt yw ’r ei nefol .
46:15:049:0	A’ megys y arweðesam ðelw yr vn daiarol , velly yr arweðwn ðelw yr vn nefol .
46:15:050:0	Hyn a ðywedaf , vroder , na ðychon cnawd a ’gwaed etiveddu teyrnas Duw , ac nyd yw llwgredigeth yn etiveðu anllwgredigeth .
46:15:051:0	Nacha vi yn dāgos yw’ch ðirgelwch , Ny hunwn ni oll , eithr newidir ni ol’ ,
46:15:052:0	ym‐moment ac yn‐trawiat y llygat wrth lef yr vtcorn dywethaf : canys yr vtcorn a gan , a’r meirw a gyuodir yn anllygredic , a ninhea ysmutir .
46:15:053:0	Cāys dir yw ir peth llygradwy hwn wisco anllygredigeth , ac ir peth marwol hwn wisco āmarwoleth .
46:15:054:0	Velly gwedy ir peth llygradwy hwn wisco anl’wgredigeth , ac ir peth marwol hwn wisco āmarwoleth , yno y dervyð yr ymadroð a scrivenwyt , Angeu a lyncwyt er buddugoliaeth .
46:15:055:0	Angeu , p’le may dy gonyn ? y beddrod , p’le may dy vuddygoliaeth ?
46:15:056:0	Conyn angeu ydyvv pechat : a’ nerth pechat yvv ’r Ddeddyf .
46:15:057:0	An’d y Dduw y ddiolvvch , yr hwn a roddes i ni y vuddygoliaeth trwy ein Arglwydd Iesu Christ .
46:15:058:0	Can hyny vy‐caredic vrodyr , byddwch ffyrfion a’ diymmot helaethion yn wastat yn‐gwaith yr Arglwydd , can y chwi wybot , nad yw eich llavur yn over yn yr Arglwydd .
