46:7:001:1	Pen . vij .
46:7:015:0	Eithyr a’s yr angred‐ddyn a ymedy , ymadawet : nyd yw brawd neu chwaer yn gaeth yn‐cyfryw betheu . Eithyr Duw a’n galwodd yn‐tangneddyf .
46:7:016:0	Can ys beth a wyddas ti , wreic , a gedwych di dy wr ? Neu beth a wyddos ti , wr , a gedwych di dy wreic ai amgen ?
46:7:017:0	And megis y rhannodd Duw ddavvn i bop vn , megis y galwodd Duw bop dvn , velly y rrodiet : ac velly ddwyf yn ordeino yn yr oll Ecclesi .
46:7:018:0	A’s galwyt nebun wedy’r enwaedy arnaw ? na chascled ei ddienvvaediat : a ’alwyt nebun eb ei enwaedu ? nac enwaeder arnaw .
46:7:019:0	Enwaediat nyd yw ddim , a’ dienwaediat nyd yw ðim , anyd cadwad gorchymyneu Duw .
46:7:020:0	Arosed pop vn yn yr vn galwedigaeth y galwodd Duw ef .
46:7:021:0	Ai ath ti yn was ith’alwyt ? na vid waeth genyt : anyd a’s gelly gael bot yn rhydd , arver yn gynt .
46:7:022:0	Can ys hwn a ’elwir yn yr Arglwydd ac ef yn was , ’sy ’wr‐rhydd yr Arglwydd : yn gyffelyp hefyt yr hwn a ’elwir ac ef yn vvr‐rhydd , gwas Christ yw .
46:7:023:0	Ef ach prynwyt er pridgwerth : na vyddwch weision dynion .
46:7:024:0	Brodur , pop vn yn yr hynn y galwyt , yn hynny arosed gyd a Duw
46:7:025:0	A’ thuac at am weryddon , nyd oes genyf vn gorchymyn gan yr Arglwyd , anyd rhoi ’r wyf gygor , val vn a gafas drugaredd gan yr Arglwydd y vot yn ffyddlawn .
46:7:026:0	Tybiet yð wyf gan hyny vot hyn yn ða er mwyn yr angērait cydrychiol : ’sef mae da i ddyn vot velly .
46:7:027:0	A wyt yn rhwym i wreic : na chais dy ellwng : a ellyngwyt di ywrth wreic ? na chais wreic .
46:7:028:0	Eithyr a’s gwreicy , ny phechist : ac a’s vn wyry a wra , ny pechavvdd hi : er hyny cyfryw ’r ei a gant vlinder yn y cnawt : anyd mi ach arbedaf .
46:7:029:0	A’ hyn a ddywedaf , vroder , can vot yr amser yn vyr , rhac llaw val y bydd ir ei ’sy a gwragedd yddyn , vot vegis pei baent eb‐ddynt :
46:7:030:0	a’r ei a wylant , megis pe baent eb wylo : a’r ei a lawenhant , val petent eb lawenhau : a’r ei a brynant val petent eb veddyannu :
46:7:031:0	a’r ei a arverant or byt hwn val petaent eb ei arver : can ys ffurf y byt hwn a dynn ymaith .
46:7:032:0	A’ mynnwn eich bot yn ddiofal . Yr hwn ’sy eb wreica , a ’ofala am betheu yr Arglwydd , pa wedd y rango vodd yr Arglwyð .
46:7:033:0	A’r hwn a wreicaodd , a ’ofala am betheu ’r byd , pa wedd y rango bodd ey wreic .
46:7:034:0	Y mae gohanieth hefyt rhwng moddion gwreic a’ gwyryf : yr hon eb wra , a ofala am betheu ’r Arglwydd , y vot o hanei yn sanctaið o gorph ac yspryt : a’ hon a wrahodd , a ’ofala am betheu ’r byt , pa wedd y rengo hi vodd ey gwr .
46:7:035:0	A’ hyn a ddywedaf er eich lles , nyd er eich ceisio mewn magl , anyd er y chvvi ddilyn yr hyn , ysy weddus , a’ glynu yn ’lud wrth yr Arglwydd , yn ddi ’ohanedic .
46:7:036:0	Eithr a’s tybia neb vot yn anweddus yw wyryf , ad a‐hi dros vlodae ei‐hoedran , a’ bot yn angenrait hyny , gwnaed ef a vynno , ny pecha : prioder hwy .
46:7:037:0	And hwn a saiff yn ffyrf yn ei galon , eb angenrait arnaw , ac a meðiant ganto ar ywyllys yhun , a’bwriadu hyn yn ei galon , gadw ei wyryf , da y gwna ef .
46:7:038:0	Ac velly yr hwn ai rhydd yw phriodi , a wna yn ða , anyd yr hwn ny’s ryð yw phriodi , a wna yn well .
46:7:039:0	Y mae’r wreic yn rhwym wrth y Ddeddyf , tra vo byw hei gwr : and a bydd marw ei gwr , y mae hi yn rhydd i briodi ’r neb a vynno , yn vnic yn yr Arglwydd ,
46:7:040:0	Er hyny mwy gwynvydedic yw hi , a’s erys hi velly , yn vy‐barn i : ac ydd wyf yn tybieid vot imi hefyt Yspryt Duw .
