46:12:001:1	Ch'anky'aa Shroodiinyąą Ts'an Jidii Geenjit Vit'eegwahahchy'aa Diinantł'eiinlii .
46:12:002:1	Diitthąį' Ch'ihłak Zhrįh Gwanlii gaa Nihłehjuk Vit'eegwaahchy'aa
46:12:011:0	Gaa ąįį datthak t'ee Ch'anky'aa Shroodiinyąą ch'ihłak zhrįh t'ii'in . Gwik'it t'iindhan ts'ą' dinjii tee gwagwaanchy'aa ts'ą' nihłehjuk gwitr'it goovantł'eegwiin'ąįį .
46:12:012:0	Gwik'injiighit nąįį datthak Christ vatthąį' ch'ihłak nilii k'it t'iginchy'aa . Christ zhit kheihłak ginlii , gaa datthak nihłehjuk t'igiinchy'aa . Ąįį googaa nihk'it vatthąį' ch'ihłak zhrįh gwanlii .
46:12:013:0	Ąįį gwik'it gwik'injiriighit tr'iinlii ts'ą' Jews tr'inlii akwat Jews tr'inlii kwaa ts'ą' slaves tr'inlii akwat slaves tr'iinlii kwaa , gaa datthak ts'ą' Ch'anky'aa Shroodiinyąą k'iighai' Christ vatthąį' zhit kheihłak tr'iheelyaa geenjit chųų diits'an iłtsąįį . Ąįįts'ą' Vit'eegwijyąhchy'aa datthak ts'ą' Ch'anky'aa Shroodiinyąą diidrii zhit nin'ąįį t'oonchy'aa .
46:12:014:0	Dinjii vatthąį' ch'ihłak zhrįh haa iltsąįį kwaa gaa vatthąį' nihłehjuk gwanlii haa iltsąįį t'oonchy'aa .
46:12:015:0	Ąįį gwik'it jyaa digwinyąą t'igwinyąą , shakwai' “ Ąįį shanli' t'ihchy'aa kwaa ts'ą' jii shatthąį' ts'an t'ihchy'aa kwaa , ” nyąą ji' , nihk'it ąįį shatthąį' zhit gwats'an nilii t'inchy'aa .
46:12:016:0	Ąįį gwik'it shidzee , “ Ąįį shandee t'ihchy'aa kwaa ts'ą' jii shatthąį' ts'an t'ihchy'aa kwaa , ” nyąą ji' nihk'it ąįį shatthąį' zhit gwats'an nilii .
46:12:017:0	Shatthąį' ąįį shandee zhrįh nilii ji' nats'ąą shiheetth'ak ? Shidzee zhrįh nilii ji' nats'ąą shahahtsan ?
46:12:018:0	Ąįįts'ą' t'ee , Vit'eegwijyąhchy'aa diitthąį' kat nats'ąą gwit'eegwahahchy'aa gwik'it nigwiinlii t'oonchy'aa .
46:12:019:0	Shatthąį' nihłehjuk t'iichy'aa gwanlii kwaa ji' , duuyeh shatthąį' ch'ihłak zhrįh gwanlii t'oonchy'aa .
46:12:020:0	Ąįį gwik'it shatthąį' vakat ch'atthąį' nihłehjuk t'inchy'aa gwanlii gaa nihk'it shatthąį' ch'ihłak zhrįh nilii t'inchy'aa .
46:12:021:0	Ąįįts'ą' shandee duuyeh “ Shanli' nat'aałchy'aa kwaa ! ” ahnyąą , ąįį gwik'it shiki' duuyeh “ Shakwai' nat'aałchy'aa kwaa ! ” ahnyąą t'oonchy'aa .
46:12:022:0	Diitthąį' vat'aii kwaa k'it t'inchy'aa ąįį duuyeh vit'eegwaahchy'aa kwaa tr'oonyaa t'oonchy'aa .
46:12:023-024:0	Diitthąį' vit'eegwaahchy'aa kwaa tr'oonyaa ts'ą' agwarahch'in kwaa t'ee gwach'aa naazhii , ąįįt'ee ch'andaa gwinzii k'eerahtii , gwizhit diitthąį' agwarahch'in ąįį gwach'aa naazhii gwat'aahchy'aa kwaa t'oonchy'aa . Vit'eegwijyąhchy'aa diitthąį' iłtsąįį t'ee diitthąį' valat kwaii hil'ee ts'ą' valak kwaii hil'ee kwaa .
46:12:025:0	Diitthąį' zhit shrihteegweheelyaa kwaa gwits'į' datthak nihłehjuk iltsąįį gaa nihłee t'injigaahchy'aa .
46:12:026:0	Diitthąį' nak'ah khaiinjich'iighit ji' diitthąį' datthak vaa-khaiinjich'iheeghit t'oonchy'aa , diitthąį' nak'ah hil'ee ji' diitthąį' datthak yah shoo heelyaa .
46:12:027:0	Nakhwan datthak ts'ą' Christ vatthąį' ǫhłįį , ts'ą' nakhwatee gwagwaanchy'aa ts'ą' vatthąį' nak'ah ǫhłįį .
46:12:028:0	Tr'igiinkhii zheh gwizhit , Vit'eegwijyąhchy'aa datthak jyąhts'ą' gwitee gwaadlii t'inchy'aa . Tr'ihił'e' nąįį tr'ookit niinlii , gwats'ąįį chan Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį ninlii gwats'ąįį chan geech'ǫąąhtan nąįį ninlii , ąįįtł'ęę juu geegwaroolii kwaa t'ii'in nąįį ninlii , gwats'ąįį juu dinjii shrinilii nąįį t'aih ts'an iłtsąįį , ąįįtł'ęę gwats'ąįį chan dinjii ts'iginyąą nąįį ninlii , gwats'ąįį chan jyaa khwa'in dinjii ahnyąą chan ninlii ąįįtł'ęę chan Ch'anky'aa Shroodiinyąą gwikyaa haa giginkhii nąįį ninlii , jii jyąhts'ą' nagoovinlii .
46:12:029:0	Datthak ts'ą' Tr'ihił'e' nąįį ginlii kwaa , ąįįts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii , akwat geech'ǫąąhtan nąįį chan zhrįh ginlii kwaa . Goolat nąįį zhrįh geegwaroolii kwaa t'igihee'yaa ,
46:12:030:0	akwat iłts'ik shrigiheelyaa akwat Ch'anky'aa Shroodiinyąą gwikyaa haa gigiheehkhyaa ts'ą' deenyąą t'igwinyąą geegwagwahaandak geenjit t'aih gii'įį .
46:12:031:0	Ch'anky'aa Shroodiinyąą jidii nakhwantł'eeheelyaa ąįį gwihil'ee t'akhwa'yaa geenjit nakhwadrii zhit gohłii . Jii t'ee ąįį datthak andaa goo'aii .
