46:14:001:1	Jii Kwaii Chan Ch'anky'aa Shroodiinyąą Ts'an Jidii Vit'eegwahahchy'aa Geenjit Diinantł'eiinlii
46:14:011:0	Gaa nijin ąįį ginjik deegwinyąą t'igwinyąą gaashandaii kwaa ji' , zhit juu yat'ąąhchy'aa nąįį ch'adanh nahkat giinlii ts'ą' goovaashahandaii kwaa ts'ą' geedan chan shaagiheendaii kwaa t'iginchy'aa .
46:14:012:0	Łyaa Ch'anky'aa Shroodiinyąą jidii nakhwantł'eegwinlii gęhdaa kwaa nohthan ji' vaa tr'igiinkhii zheh gwizhit t'aih goots'an hohtsyaa geenjit gwik'eegǫhdaii .
46:14:013:0	Juu tr'igiinkhii zheh gwizhit gwikyaa zhit ginkhii ji' , deiinyąą t'inyąą gaagweheendaii geenjit khadigiheejyaa gwizhrįh goo'aii .
46:14:014:0	Nijin gwikyaa zhit Vit'eegwijyąhchy'aa vats'a' khadigihjii dąį' , Ch'anky'aa Shroodiinyąą shizhit t'inchy'aa k'iighai' khagidihjii , gaa deihnyąą t'ihnyąą gaashandaii kwaa .
46:14:015:0	Geenjit deeshi'yaa ? Geetee hee Ch'anky'aa Shroodiinyąą , akwat shagwandaii haa khadigeheejyaa . Geetee hee shagwandaii akwat Ch'anky'aa Shroodiinyąą haa ch'ilik eehihłyaa .
46:14:016:0	Nijin Ch'anky'aa Shroodiinyąą zhit gwizhrįh Vit'eegwijyąhchy'aa vats'a' mahsį' diinyąą ji' , juu vaa khagidiinjii nąįį deiinyąą t'iinyąą naagiindaii kwaa gwiizhit nats'ąą gwik'it gooli' giheenjyaa ?
46:14:017:0	Ch'anky'aa Shroodiinyąą zhit Vit'eegwijyąhchy'aa mahsį' vaiinyąą ąįį gwinzii t'iinyąą ji' , gaa duuyeh ch'izhii nąįį ts'iinyąą t'oonchy'aa .
46:14:018:0	Nakhwandah gwikyaa zhit giihkhii geenjit Vit'eegwijyąhchy'aa mahsį' choh vaihnyąą .
46:14:019:0	Gaa tr'igiinkhii zheh gwizhit shireheetth'ak geenjit ginjik ch'ihłoanli' aanchy'aa haa giihkhii ts'ąįį gweheezyaa vaa geech'oohaałchyaa geenjit . Gwikyaa zhit ginjik ( thousands ) haa nakhwats'ą' giihkhii ji' gaa duuyeh deihnyąą t'ihnyąą gaakhwandaii ts'ą' nakhwats'inyąą .
46:14:020:0	Shachaa nąįį , tr'iinin nats'ahts'ą' ninjich'adhat k'it t'ohchy'aa kwaa , gaa tr'iinin tsal tr'agwaanduu gaandaii kwaa k'it t'ohchy'aa , ąįįts'ą' chan nakhwagwik'injigwiighit zhit ch'anjaa k'it ninjich'ǫhthat .
46:14:021:0	Dęhtły'aa Choh zhit gwadanakhwatł'oo , “ K'eegwaadhat jyaa nyąą , ch'adanh nahkat dinjii nąįį digiginjik zhit giginkhii k'it shigii nąįį ts'ą' gigiheehkhyaa . Ąįį dinjii nąįį sheenjit giginkhii , ąįį googaa shigii nąįį shigiheetth'ak kwaa . ”
46:14:022:0	Ąįį geh'an jii gaagwiindaii , Gwikyaa zhit girinkhii t'ee juu , gwik'injiighit kwaa nąįį Vit'eegwijyąhchy'aa vat'aii gahah'yaa geenjit t'oonchy'aa ts'ą' gwik'injiighit nąįį ąįį nakwaa . Ąįįts'ą' Vit'eegwijyąhchy'aa viginjik eeginkhii t'ee juu gwik'injiighit nąįį ts'ą' Vit'eegwijyąhchy'aa vat'aii gwizhrįh gwigweech'in goodlit ts'ą' juu gwik'injiighit kwaa nąįį eenjit t'inchy'aa kwaa .
46:14:023:0	Ąįįts'ą' nijin gwik'injiighit nąįį khaihłan łagaajil ts'ą' datthak gwikyaa zhit gohkhii gwiizhit , gwik'injiighit kwaa nąįį akwat gwik'injigwiighit gwinzii haandaii kwaa nąįį nihdeiinjil ji' datthak gwinzii nakhwaagoo'aii kwaa giheenjyaa .
46:14:024:0	Gaa datthak ts'ą' Vit'eegwijyąhchy'aa viginjik eegoohkhii gwizhit gwik'injiighit kwaa nąįį akwat gwik'injigwiighit gwinzii haandaii kwaa nąįį ch'ihłee nihdeiinzhii ji' gwinzii nakhwagiitth'ak geh'an gootr'agwaanduu gwanlii łee gwik'eegahaandal .
46:14:002:1	Tr'igiinkhii Zheh Łineeriidal Dąį' Deegwehee'yaa Goo'aii
46:14:025:0	Jidii gweentak gininjich'agahthat kwaii gwizhrįh nigweheedaa , Vit'eegwijyąhchy'aa ts'ą' nikiigwagahah'aa ts'ą' shatr'agwaanduu gwanlii giheenjyaa . “ Łi'haa Vit'eegwijyąhchy'aa nakhwatee t'inchy'aa łee ! ” giheenjyaa .
46:14:026:0	Shachaa nąįį jii jyaa dihnyąą t'ihnyąą ; nijin tr'igiinkhii gohtsii geenjit khaihłan nineekhwadal dąį' nakhwatee ch'ihłee Vit'eegwijyąhchy'aa vich'ilik iilii , ts'ą' ch'izhii chan gwinzii geech'ǫąąhtan gwiizhit ch'izhii chan Vit'eegwijyąhchy'aa ts'an deeheenjyaa yats'ą' gwagwahkįį , ch'izhii chan gwikyaa zhit ginkhii , ts'ą' ch'ihłee chan ąįį deenyąą t'inyąą geegwaandak . Jii datthak t'ee tr'igiinkhii zheh nineedal nąįį ts'igiheenjyaa jyaa digihee'yaa goo'aii t'oonchy'aa .
46:14:027:0	Nakhwatee ch'ihłee gwikyaa zhit giheehkhyaa ji' , neekwaii akwat tik ǫhłįį ts'ą' nihłehtąįį t'akhwa'in , gaa ch'ihłee deegwihnyąą t'igwinyąą geegwahaandak gwizhrįh goo'aii .
46:14:028:0	Gaa nakhwatee ch'ihłee deegwinyąą t'igwinyąą geegwahaandak zhat dhidii kwaa ji' , deegohtsai' kwaa ts'ą' idizhit gwats'an gwikyaa zhit Vit'eegwijyąhchy'aa vats'a' khagadǫhjii .
46:14:029:0	Vit'eegwijyąhchy'aa viginjik neekwaii akwat tik ǫhłįį haa nakhwateegwagwaanchy'aa ts'ą' veegohkhii ąįįtł'ęę nakhwatee ch'izhii nąįį dohnyąą gwik'iighai' łyaa t'igwinyąą ji' geegigiheekhyaa geenjit .
46:14:030:0	Geech'oohtan gwiizhit nakhwatee dinjii ch'ihłak Vit'eegwijyąhchy'aa viginjik oonjik ji' , ąįį dinjii giheehkhyaa geenjit zhit juu geech'ǫąąhtan ąįį akhagoonyąą .
46:14:031:0	Nakhwatee gwagwaanchy'aa ts'ą' gwik'it t'ohthan ji' Vit'eegwijyąhchy'aa viginjik eegoohkhii . Gwik'iighai' juu nąįį datthak gwagwahaa'ee ts'ą' gook'injigwiighit gwandaa nint'aii heelyaa geenjit .
46:14:032:0	Dinjii , Vit'eegwijyąhchy'aa viginjik eegiheekhyaa vantł'eegwirin'ąįį gaa nihk'it deeheenjyaa gwik'eehaahtyaa ,
46:14:033:0	Vit'eegwijyąhchy'aa vigii tr'iinlii ts'ą' tr'igiinkhii zheh gwizhit nihzheedarahaa'ee kwaa goo'aii , ts'ą' vizheh gwizhit tsinehdan tr'iheelyaa ts'ą' gwinzii nihłaa gwarahah'aa goo'aii .
46:14:034:0	Tr'igiinkhii zheh khaihłan nineedal nąįį tee tr'injaa nąįį gigiheehkhyaa kwaa goo'aii . Jewish goo-Law tee ąįį khaihłan nineegiidal dąį' , tr'injaa nąįį zhat gwa'an gwats'ą' k'eedeegwagwahaadhat kwaa goo'aii gwinyąą .
46:14:035:0	K'eegwiichy'aa gaagoondaii giindhan ji' digizheh gwizhit gwa'an hee dagakai' goohaahkat goo'aii . Tr'injaa , tr'igiinkhii zheh gwizhit gigiheehkhyaa geenjit oozhii gwaahchy'aa t'oonchy'aa .
46:14:036:0	Akwat nakhwats'an Vit'eegwijyąhchy'aa viginjik tr'aatth'ak lee t'oonchy'aa ? Nakhwan zhrįh nakhwats'ą' tr'aatth'ak lee t'inchy'aa ?
46:14:037:0	Nakhwatee ch'ihłee Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii akwat Ch'anky'aa Shroodiinyąą vigwitr'it gwinzii vantł'eegwatth'ak nindhan ji' t'ee gaaheendaii geenjit , jii nakhwats'ą' ch'adįhtł'oo t'ee K'eegwaadhat gwats'ą' shah'ee t'ishi'in .
46:14:038:0	Gaa jii deihnyąą datthak gweechyaa kwaa ji' nakhwan t'ee dohchyaa shrǫ' .
46:14:039:0	Shachaa nąįį Vit'eegwijyąhchy'aa viginjik nakhwadrii zhit gwats'an veegwarookhyaa ohnyąą , gaa gwikyaa zhit gigiheehkhyaa gwits'į' t'agavoiinyą' shrǫ' !
46:14:040:0	Tr'igiinkhii zheh gwizhit deekhwa'in datthak gwinzii t'akhwa'in nihghootee hee gohkhyaa shrǫ' gaa ch'ihłak zhrįh ǫhłįį ts'ą' goohkhii .
