46:3:001:1	Vit'eegwijyąhchy'aa Vitsyaa Nąįį
46:3:012:0	Dinjii nąįį gold , silver akwat kii daatł'oo vaagwarahtsii duuyeh an ilii , ts'ą' chan heek'an kwaa kwaii t'agąhchy'aa , goolat nąįį dachan haa googwahtsii , ch'izhii nąįį chan vaagwarahtsii giilį' t'eegąhchy'aa . Zhit gwa'an tł'oo haa googwahtsii .
46:3:013:0	Yeendaa ji' dinjii nats'ąą gwahtsii gwizhrįh nagwahaatth'aa t'oonchy'aa . Jesus Christ nineezhii ji' datthak gwizhrįh nagwahaatth'aa geh'an t'ihnyąą . Nijin Jesus nineezhii ji' dinjii nats'ąą vigwitr'it gwanlii k'iighai' yahah'yaa t'oonchy'aa . Izhit geh'an dinjii nąįį nats'ąą gwitr'it t'agwarah'in gwahah'yaa , ts'ą' nijin Christ nineezhii ji' dinjii nąįį googwitr'it k'iighai' nihteetr'agooheelyaa t'oonchy'aa .
46:3:014:0	Juu gwinzii vaagwarahtsii k'it gwitr'it t'agwah'ya' nąįį gwinzii hee gwigweheechy'aa łee ji' , Christ gwinzii gooneegooheekwat t'oonchy'aa .
46:3:015:0	Juu gwinzii vaagwarahtsii kwaa haa gwahtsii t'ee duuyeh geenjit vagwarookwat t'oonchy'aa . Gaa ąįį dinjii tth'aii hee nihk'it neeheezhii . Ąįį gwik'it dinjii vizheh gwak'an ąįį ts'an nehshrit tr'ineezhii gaa vigwitr'it datthak gook'in k'it t'agwarahnyąą .
46:3:016:0	Vit'eegwijyąhchy'aa vakharigidiinjii zheh k'it nakhweegoo'aii t'oonchy'aa , ts'ą' Ch'anky'aa Shroodiinyąą nakhwazhit t'inchy'aa lee gaakhwandaii .
46:3:017:0	Vit'eegwijyąhchy'aa juu vakharigidiinjii zheh an gwahtsii nąįį t'ee gwintł'oo khaiinjich'igiheeghit goots'an gwahahtsyaa t'igiinchy'aa , Vit'eegwijyąhchy'aa vakharigidiinjii zheh łyaa shroodiinyąą gwanlii , ts'ą' nakhwant'ee Vit'eegwijyąhchy'aa vakharigidiinjii zheh k'it t'ohchy'aa t'oonchy'aa .
46:3:018:0	Nigwizhi' gwanlii niindhan haa adats'ą' oonts'it shrǫ' , jii nankat gwidinjii goiinzhii niindhan nąįį k'it nakhwalat nąįį t'inchy'aa . Juu Vit'eegwijyąhchy'aa haandaii kwaa nąįį tr'agǫhjik nakhwahnyąą , ąįį ji' Vit'eegwijyąhchy'aa nakhwagwizhi' gwanlii gwahahtsyaa .
46:3:019:0	Nakhwaagwahaldak , jii nankat dinjii nąįį googwizhi' gwanlii giindhan haa Vit'eegwijyąhchy'aa zhyaa k'it t'agoonyąą . Jii t'ee Dęhtły'aa Choh zhit gwadanakhwatł'oo , “ Dinjii goiinzhii niindhan nąįį , Vit'eegwijyąhchy'aa googwizhi' haa gaiigoovahtsii ts'ą' goodhaii nagoovahnaii t'inchy'aa . ”
46:3:020:0	Ąįįts'ą' jii chan Dęhtły'aa Choh zhit danakhwatł'oo , “ Dinjii nąįį goiinzhii giindhan gaa Vit'eegwijyąhchy'aanats'ahts'ą' ninjich'agadhat goovaandaii ts'ą' ąįį zhyaa k'ii'an ninjich'agadhat ąįį zhyaak'it t'iiyuunyąą . ”
46:3:021:0	Jii geh'an , dinjii inlii ts'ą' ideech'iin'in haa łyaa shigwizhi' gwanlii doiinyą' shrǫ' , geech'ǫąąhtan ch'ihłee zhrįh tąįį inkhaa geh'an . Vit'eegwijyąhchy'aa jidii datthak gwinzii nats'an gweheelyaa , geenjit nantł'eegwiin'ąįį t'oonchy'aa .
46:3:022:0	Vit'eegwijyąhchy'aa t'ee shįį , Apollos , ts'ą' Peter haa geenakhwarahahchyaa haa nakhwats'ireheenjyaa geenjit nakhwats'ą' diinihił'e' . Vit'eegwijyąhchy'aa jii nankat jidii datthak nakhwats'an heelyaa geenjit gwiłtsąįį . Gahohdaii akwat nahohthaa gahoonjat kwaa , ąįįts'ą' juk akwat yeendaa ji' nihk'it datthak nakhwats'an gweheelyaa .
46:3:023:0	Ąįįts'ą' Christ nakhwaa nilii ts'ą' chan Christ , Vit'eegwijyąhchy'aa haa nilii .
