46:15:001:1	Christ Neegwiindaii
46:15:024:0	Ąįįtł'ęę nan ndaahąą'aa ts'ą' , jii datthak Christ gaiiyiigwahahtsyaa , zhit ch'anky'aa iizųų nąįį datthak ts'ą' juu gwats'ą' k'eedeegwaadhat t'aih di'įį nąįį andaa t'ahaht'aii ts'ą' K'eegwaadhat veegwinii'ee datthak t'ee Vit'eegwijyąhchy'aa Gwiti' antł'eegwehee'aa t'inchy'aa .
46:15:025:0	Dahthee Christ juu yitr'ii'ee nąįį gaiiyiihahtsyaa ts'ą' dakwai' t'eh nagooveheelyaa gwats'ą' datthak Christ k'eedeegwahaadhat t'igwinyąą .
46:15:026:0	Ch'ichį' t'ee Ch'anky'aa Tr'aanduu vats'an t'igwii'in , ąįįts'ą' Khaiinkǫǫ Drin zhit ji' an heelyaa t'inchy'aa .
46:15:027:0	Dęhtły'aa Choh zhit jyaa digwinyąą , “ Vit'eegwijyąhchy'aa jidii datthak dakwaiitł'ee niheelyaa . ” Jidii datthak gwinyąą ąįį Vit'eegwijyąhchy'aa t'arahnyąą kwaa , Vit'eegwijyąhchy'aa jii datthak Christ vakwaiitł'ee nigweheelyaa t'igwinyąą .
46:15:028:0	Nijin zheekat ts'ą' nankat haa datthak Christ gwats'ą' k'eedeegwahaadhat geenjit vintł'eegwiriin'ąįį ji' , Christ , Gwidinji' nilii ąįį Vit'eegwijyąhchy'aa antł'eedahaachyaa , ts'ą' Vit'eegwijyąhchy'aa jidii datthak Christ vakwaiitł'ee nigweheelyaa ąįįtł'ęę jii datthak Vit'eegwijyąhchy'aa gwats'ą' k'eedeegwahaadhat t'oonchy'aa .
46:15:029:0	Akwat zhit juu niinjik nąįį eenjit dinjii ts'an chųų dhidlit nąįį yu' ? Jidii gaiiyiigahahtsyaa giindhan t'igii'in ? Niinjik nąįį duuyeh neegwiindaii gwinyąą ąįį łyaa t'igwinyąą ji' jaghaii dinjii nąįį , niinjik nąįį eenjit goots'an chųų dhidlit ?
46:15:030:0	Ąįį Tr'ihił'e' tr'iinlii ts'ą' jaghaii drin gwiteegwagwaanchy'aa diirahaakhwaa akwat khaiinjich'idiirahahthat gwizhit gwireheendaii ?
46:15:031:0	Shachaa nąįį , drin gwiteegwagwaanchy'aa hee ch'ichį' shagahahtsyaa gwik'eegoogwandaii . Diik'eegwaadhat , Christ Jesus vaa kheihłak ǫhłįį geh'an , ąįį nakhwashoo'ahłįį .
46:15:032:0	Ephesus gwizhit gwitr'it t'agwał'in gwiizhit nin iizųų k'it nich'itsałthat ji' , jidii ideenjit gaiiyiihałtsyaa ? Niinjik nąįį neegweheendaii kwaa ji' , jyaa t'igwinyąą gwik'it , “ Nihkaa nireheedhaa gwehkįį ch'aroo'aa ts'ą' ch'aroonį' . ”
46:15:033:0	Tsinteenakhwarohkaii shrǫ' , “ Dinjii iizųų nąįį haa neehiindik ji' , nan chan dinjii iizųų hiinlyaa . ”
46:15:003:1	Neegwiriindaii Ji' , Diitthąį' Deeheechy'aa Geegarinkhii
46:15:034:0	Nakhwatr'agwaanduu akhagohnyąą ts'ą' nats'ąą ninjich'ǫhthat gwak'ǫǫhtii ! Nakhwalat nąįį Vit'eegwijyąhchy'aa haandaii kwaa gaashandaii , ąįį geh'an gwa'oozhii ǫhłįį .
46:15:035:0	“ Nats'ąą niinjik nąįį neegweheendaii ? Akwat gootthąį' deeheechy'aa li' ? ” Nakhwatee ch'ihłee zhyaa jyaa diheenjyaa ts'ą' ch'oohahkat .
46:15:036:0	Jaghaii zhyaa nakhwagwizhi' kwaa ! Nijin gwanzhįh nan t'eh ǫhłįį dąį' , hahchyaa k'it t'iheenjyaa ąįįtł'ęę gwizhrįh hąąhshii goo'aii t'oonchy'aa .
46:15:037:0	Ąįįts'ą' jidii gwanzhįh nǫhshįį t'ee gwanzhįh gwinzii hąąhshii t'inchy'aa kwaa gaa zhyaa tł'ooli' dhagaii ( wheat ) akwat jidii hąąhshii gwiteiinlii t'inchy'aa .
46:15:038:0	Vit'eegwijyąhchy'aa gwanzhįh li' nats'ąą nǫhshįį yuunyąą gwik'it nant'eh yeenlii ąįįts'ą' jii gwanzhįh nats'ąą nǫhshįį yuunyąą gwik'it niłshįį . Gwanzhįh li' nihłehjuk t'inchy'aa gwanlii , ts'ą' gwanzhįh nihłehjuk t'inchy'aa niłshįį .
46:15:039:0	Jii nankat gwandaii datthak gootthąį' nihk'it t'iichy'aa kwaa , dinjii , nin , dziitsal , ts'ą' łuk datthak gootthąį' nihłehjuk t'iichy'aa t'oonchy'aa .
46:15:040:0	Zheekat gwatthąį' ts'ą' nankat gwatthąį' haa nihłehjuk goodlii , ts'ą' zheekat goodlii ąįį ch'eegwąhndit ts'ą' nankat goodlii ąįį chan aadrii nilii t'oonchy'aa .
46:15:041:0	Shree , tǫǫ oozhrii , ts'ą' są' haa chan gwintł'oo nihłehjuk ch'ąhndit ts'ą' są' datthak nihłehjuk ch'agąhndit t'iginchy'aa .
46:15:042:0	Nijin niindhat nąįį neegwiindaii dąį' jii jyaa digweheechy'aa t'oonchy'aa . Nijin vanarąąhjik dąį' vatthąį' ( mortal ) gwandaii ndaanąą'ąį' dhidlit , gaa neegwiindaii dąį' vatthąį' khit gweheendaii geenjit neegwiindaii ( immortal ) t'inchy'aa .
46:15:043:0	Vanarąąhjik dąį' vat'aii kwaa gwizhit gwinzii vigweech'in kwaa , neegwiindaii dąį' gwinzii viyiichy'a' gwizhit vat'aii jiintsii gweheelyaa .
46:15:044:0	Vanarąąhjik dąį' dzaa nankat gwatthąį' nilii , gaa neegwiindaii dąį' vatthąį' Ch'anky'aa Shroodiinyąą k'iighai' neegwiindaii heelyaa . Jii t'ee datthak gaagwiindaii , dzaa nankat gwatthąį' gwanlii ąįįts'ą' zheekat gwatthąį' gweheelyaa gwizhrįh goo'aii .
46:15:045:0	Dęhtły'aa Choh zhit gwadanakhwatł'oo , “ Adam t'ee tr'ookit dinjii gwandaii iinli' . ” Christ t'ee khaiinkǫǫ Adam haa nihłihk'it t'igiichy'aa , gaa Christ niindhat tł'ęę vanky'aa ts'an gwandaii ndaanąą'ąį' kwaa goodlit .
46:15:046:0	Dzaa nankat diitthąį' tr'ookit gwanlii ąįįtł'ęę t'ee zheekat gwats'an diitthąį' gweheelyaa .
46:15:047:0	Tr'ookit dinjii Adam oozhii nankat łųh haa Vit'eegwijyąhchy'aa yiłtsąįį dąį' t'ee dzaa nankat gwats'an tr'iinzhii , ąįįtł'ęę chan khaiinkǫǫ Adam ąįį zheekat gwats'an tr'iinzhii .
46:15:048:0	Zhit juu dzaa nankat gwats'an nilii nąįį t'ee dzaa nankat Adam k'it łųh ts'an gooriłtsąįį t'igiinchy'aa , zhit juu zheekat gwats'an nilii nąįį chan Christ zheekat gwats'an tr'iinzhii k'it t'igiinchy'aa t'oonchy'aa .
46:15:049:0	Diitee gwagwaanchy'aa ts'ą' dzaa nankat Adam nats'ahts'ą' iltsąįį vik'it diiriłtsąįį , gaa nijin zheekat gwats'ą' tr'ahaajil ji' datthak Christ vik'it t'igweheechy'aa t'oonchy'aa .
46:15:050:0	Shachaa nąįį , jii nakhwaagwahaldak , dzaa nankat gwatthąį' ts'ą' gwadaa haa duuyeh Vit'eegwijyąhchy'aa Veegwinii'ee nihdeerijyaa t'oonchy'aa , ąįįts'ą' dzaa nankat gwatthąį' duuyeh khit gwandaii nilii t'oonchy'aa .
46:15:051-052:0	Gaa jidii nindal gwaahchy'aa nagwarah'įį ąįį Vit'eegwijyąhchy'aa diits'ą' gwigweełkįį ąįį nakhwaagwahaldak . Nijin khaiinkǫǫ vaa ch'ilik tr'ahtsii ( trumpet ) haa ch'ilik dootth'ak ji' duuyeh nǫhkhit gaa khan hee ch'ijuk t'ahohjyaa t'oonchy'aa . Needoorahaadhak k'it googwahkhan gwik'it t'igweheenjyaa . Nijin vaach'ilik tr'ahtsii haa ch'ilik tr'iitth'ak googwahkhan niindhat nąįį neegweheendaii ts'ą' duuyeh chan nineegiighit t'igiinchy'aa datthak ts'ą' ch'ijuk t'igiheechy'aa .
46:15:053:0	Dzaa nankat diitthąį' ąįį ch'ijuk t'inchy'aa neeyahahtsyaa gwizhrįh goo'aii , ąįįts'ą' diitthąį' k'eejit neegweheelyaa ts'ą' khit gweheendaii .
46:15:054:0	Nijin dinjii niindhat nąįį neegwiindaii , ąįį gwik'it teegwaadhat ji' , Dęhtły'aa Choh zhit gwadanakhwatł'oo gwik'it łi'deegwidlii gweheelyaa : “ Ch'ichį' an dhidlit ts'ą' gaiiyiigwiłtsąįį ts'ą' ndaanigwiindhat .
46:15:055:0	Ch'ichį' gaayiich'ahałtsyaa niindhan chy'ah adaajii ? Ch'ichį' t'aih haa ts'agwahaałthaa niindhan chy'ah adaajii ? ”
46:15:056:0	Ch'ichį' t'ee t'aih vaats'igweheedhaa ąįį tr'agwaanduu gwats'an tr'igwijyaa . Ąįįts'ą' zhit tr'agwaanduu t'igwii'in gwat'aii t'ee Moses-va-law ts'an tr'igwijyaa t'inchy'aa .
46:15:057:0	Gaa Vit'eegwijyąhchy'aa vats'ą' mahsį' gweheenjyaa , Diik'eegwaadhat Jesus Christ vik'iighai' gaiiyiigwiriłtsąįį geh'an .
46:15:058:0	Ąįįts'ą' shachaa veet'iihthan nąįį , nakhwagwik'injigwiighit haa gwiint'aii nohthat . K'eegwaadhat khit veenjit gwitr'it t'agoh'in tth'aii gwik'it t'akhwa'in , zhyaa gwitr'it t'agoh'in t'akhwa'in kwaa ąįį gaakhwandaii geh'an .
