46:9:001:1	Tr'ihił'ee Nilii Deehee'yaa Goo'aii
46:9:011:0	Nakhwatee Gwandak Nizįį eenakhwaagwaraandak ąįįt'ee gwanzhįh tr'ąąhshii nakhwats'an tr'iłtsąįį k'it t'igwiizhik . Jii jyaa digwii'in geh'an jidii t'eegwaahchy'aa diinantł'oolii gaa gwinzii t'oonchy'aa .
46:9:012:0	Ch'izhii Tr'ihił'e' nąįį jidii t'eegąhchy'aa goots'an hohtsyaa giindhan ji' , ąįį gwik'it diikhwan ąįį jidii vit'eegwahahchy'aa gavandaa diits'an hohtsyaa goo'aii gwiindhan łee ? Gaa diikhwan ąįį tth'aii hee jyaa digwii'in kwaa , gwiizhit Christ Vagwandak Nizįį hohtth'ak geenjit nakhwats'ooghaii gwehee'aa gwits'į' khaiinjich'iriighit t'igwinyąą .
46:9:013:0	Dinjii , kharigidiinjii zheh tr'agwah'in nąįį , kharigidiinjii zheh gwats'an shih goonjii t'oonchy'aa , ąįįts'ą' juu Vit'eegwijyąhchy'aa ts'ą' ataiinjii tr'ahtsii deek'it ( Altar ) kat deech'ahchak t'ee yit'ii gwahah'yaa gwizhrįh t'oonchy'aa gaakhwandaii .
46:9:014:0	Ąįį gwik'it “ Geegoorahtan nąįį zhit juu Gwandak Nizįį eech'ǫąąhtan nąįį jidii t'eegaahchy'aa goots'an gahahtsyaa goo'aii . ” K'eegwaadhat jii jyaa digwehee'yaa nyąą .
46:9:015:0	Gaa jii shantł'eehohłyaa goo'aii kwaii ideenjit tth'aii hee oihjii kwaa ts'ą' chan tth'aii vat'aałchy'aa kwaa . Ąįį Gwandak Nizįį gwinzii hohtth'ak geenjit . Jii shiginjik kwaii zhyaa k'it t'arahoonjyaa ji' tr'ookit niidhat ji' ts'ąįį sheenjit gweheezyaa .
46:9:016:0	Gwandak Nizįį eegwaldak geenjit ideech'ihih'yaa kwaa goo'aii . Jyaa ni'in sharahnyąą gwik'it t'ishi'in t'ishi'in , Gwandak Nizįį gwaałtan kwaa ji' łyaa shaa gweheezųų t'oonchy'aa .
46:9:017:0	Jii gwitr'it t'agwał'ya' nihthan geh'an geetr'agwał'in ji' t'ee geenjit shaagwarookwat hihkhyaa t'oonchy'aa . Gaa Vit'eegwijyąhchy'aa jii gwitr'it shantł'eegwiin'ąįį geh'an geetr'agwał'in t'ishi'in .
46:9:018:0	Jidii haa shagwarookwat ? Jii Gwandak Nizįį gwaałtan eenjit Vit'eegwijyąhchy'aa shihił'ee ts'ą' shagwarookwat nihthan kwaa , gwizhit chan shaagoondaii nihthan kwaa .
46:9:019:0	Dinjii eenjit slave ihłii kwaa , ts'ą' adats'ą' k'eegwaaldhat ihłii . Gaa dinjii nąįį datthak Jesus k'injigeheeghit hałtsyaa geenjit goo-slave ihłii t'ishi'in .
46:9:020:0	Jews nąįį haa gwitr'it t'agwaał'in gwiizhit gook'it Jews ky'aa gwįįhdaii , Jesus k'injigiheeghit geenjit . Moses va-law k'it gwįįhdaii kwaa gaa shik'it Jesus k'injigiheeghit geenjit gook'it gwįhdaii k'it t'ishi'in .
46:9:021:0	Ąįį gwik'it Jews nilii kwaa nąįį chan goovaagwitr'it t'agwaał'in dąį' gook'it gwįįhdaii , geedan chan shik'it gwik'injigeheeghit geenjit . Jii Vit'eegwijyąhchy'aa va-law k'it t'ishi'in kwaa t'ihnyąą kwaa , gaa Christ va-law k'iighai' t'ishi'in t'ihnyąą .
46:9:022:0	Zhit juu googwik'injigwiighit niint'aii kwaa nąįį gook'it t'ihchy'aa gaa tr'agwaanduu t'ishi'in kwaa jyąhts'ą' gwik'iighai' gwik'injigeheedaa geenjit . Dinjii nąįį datthak deeginchy'aa gook'it t'ihchy'aa ąįį gwik'iighai' dinjii nąįį lat gwik'injigeheedhaa ts'ą' neegeheezhii geenjit .
46:9:023:0	Jii jyaa dishi'in gwik'iighai' Gwandak Nizįį nijuk datthak geegireheehkhyaa geenjit , ts'ą' jidii Vit'eegwijyąhchy'aa juu gwik'injiighit nąįį eenjit gwii'įį ąįį datthak shant'ee gwishi'yaa geenjit .
46:9:024:0	Jii t'ee gaakhwandaii t'oonchy'aa ąįįts'ą' nakhwagwik'injigwiighit zhit jyaa dohchy'aa . Dinjii lęįį nąįį nihłeerahaagat gwitee nihłeegahaagak , gaa ch'ihłak zhrįh gaiiyiich'ahtsii , ąįį gwik'it nakhwan t'ee oogal ts'ą' gaiiyiich'ahohtsyaa gwik'eegǫhdaii .
46:9:025:0	Juu nihłeerahaagat tee aagal dąį' łyaa gwint'aii gaiiyiich'ahahtsyaa geenjit aagal , ts'ą' ąįį jidii gaiiyiidiltsąįį duuyeh niighit dha'aii , gaa diikhwan ąįį jidii Vit'eegwijyąhchy'aa diineenjit gwii'įį ndaanąą'ąį' kwaa eenjit t'igwii'in .
46:9:026:0	Izhit geh'an shįį tr'ookit gaiiyiich'ahałtsyaa geenjit gwint'aii algal ąįįts'ą' chan juu haałgwat ąįį zhyaa geenjit kwaa haałgwat k'it t'ishi'in kwaa t'oonchy'aa .
46:9:027:0	Ch'izhii dinjii nąįį tr'agwaanduu tr'agoh'ya' shrǫ' goovaihnyąą ts'ą' geegoovałchya' ąįįts'ą' shagwandaii , shatthąį' haa k'ąąłtii tr'agwaanduu t'ishi'ya' gwits'į' ąįį gwik'iighai' Vit'eegwijyąhchy'aa juu yeenjit ch'eet'igwiniindhan di'įį nąįį eenjit jidii gwinzii gooveenjit gwii'įį ąįį gwit'eetr'asharahahchyaa kwaa geenjit .
