46:10:001:1	Ch'ik'itiltsį' Gwits'į' Gwak'ǫǫhtii
46:10:023:0	Deegoo'ya' gwiindhan datthak gwik'it t'igwii'in dohnyąą , ąįįt'ee łyaa t'ohnyąą , gaa ąįį datthak gwinzii kwaa , ts'ą' gwits'inyaa kwaa t'oonchy'aa .
46:10:024:0	Ideenjit gwizhrįh ninjich'ǫhthat kwaa ts'ą' ch'izhii nąįį k'ǫǫhtii .
46:10:025:0	Nakhwayinji' eh'an jii nilii nijin gwats'an t'inchy'aa ch'ǫąhkat kwaa ts'ą' nilii tr'ookwat zheh gwats'an nilii ohkwat ąįį oh'aa .
46:10:026:0	Dęhtły'aa Choh zhit jyąhts'ą' gwadanakhwatł'oo geh'an , “ Jii nankat ts'ą' vakat goodlii datthak K'eegwaadhat vats'an t'inchy'aa . ”
46:10:027:0	Nakhwayinji' eh'an juu gwik'injiighit kwaa shaa neech'in'aa nahnyąą ji' , jidii nęhdaa ninlii zhrįh hin'aa , nijin gwats'an nilii oodhinjik ch'oahkat shrǫ' .
46:10:028:0	“ Jii shih t'ee ch'ik'itiltsį' ts'ą' gwantł'eerahtsik ” narahnyąą ji' ąįį viyinji' eh'an oiin'aa shrǫ' , jyaa nahnyąą geh'an oiin'aa shrǫ' .
46:10:029:0	Ąįį niyinji' ts'an t'oonchy'aa kwaa gaa ch'izhii dinjii jyaa nyąą ąįį viyinji' ts'an t'oonchy'aa . Akwaa ji' jaghaii nats'ąą neediheeshindik ąįį ch'izhii dinjii viyinji' ts'an gweheelyaa ?
46:10:030:0	Vit'eegwijyąhchy'aa jii shih eenjit mahsį' vaihnyąą ji' , jaghaii dinjii nąįį jidii shih ii'al geenjit sheegiginkhii ?
46:10:031:0	Deekhwa'in datthak , ch'oh'aa akwat chųų khwanįį datthak Vit'eegwijyąhchy'aa vich'eegwąhndit geenjit t'akhwa'in .
46:10:032:0	Jews akwat Jews nilii kwaa nąįį ts'ą' Vit'eegwijyąhchy'aa vitr'igiinkhii zheh nąįį gǫhdaii gwiizhit googwik'injigwiighit niint'aii kwaa ohtsyaa shrǫ' .
46:10:033:0	Deeshi'in ąįį gwik'it t'akhwa'in , shįį zhrįh ideenjit ninjich'ihthat kwaa ts'ą' juu nąįį datthak shoo hałtsyaa gwik'eegwihdaii . Datthak ts'ą' jii gwinzii gwik'iighai' neegeheezhii shrǫǫ geenjit .
