19:119:001:1	Diyin God bibee haz'áanii aláahgo yá'át'éehii
19:119:034:0	Nibee haz'áanii bik'eh honish'į́į doo biniyé ak'idi'yiishtįįhgo áshílééh ; t'áá aaníí , shijéí t'áá át'é bee bik'eh honish'į́į doo .
19:119:035:0	Nibik'eh ó'oo'níiłii bik'ehgo shiyííłááł , háálá éí baa shił nihoozhǫǫh .
19:119:036:0	Bee hahíínídzíi'ii shijéí yídin nilį́įgo íínísin , adánoolníi dooleełígíí éí dooda !
19:119:037:0	T'áadoo biniyéhígóó danilíinii bits'ą́ąjį' dínísh'į́įgo áshíínísin , áádóó náshiiłnaahgo nik'ehgo áhoot'ééjí shiyííłáał dooleeł .
19:119:038:0	Nizaad bee háínídzíi'ii éí bee ni'dólzinii át'éego ná naal'a'í bich'į' bidziilgo ánílééh .
19:119:039:0	Yee shá nidahałt'i'ii binásdzidígíí shá nahjį' kónílééh , háálá nibik'eh hoogáa łii yá'ádaat'ééh .
19:119:006:1	Bóhólníihii bibee haz'áanii baa hodzódlí
19:119:040:0	Jó , nibik'ehgo iináanii bídin nishłį́ . Nit'áá ákogi é'ét'é bee náshiiłnaah !
19:119:041:0	Bóhólníihii nílíinii , shaa a'ááh niizįįh ! Éí nibee yisdá'iildéehii nizaad bik'ehgo shaa diní'aah .
19:119:042:0	Ákohgo shá nahałt'i'ii bich'į' bee hááhásdziih doo , háálá nizaad baa jííníshłí .
19:119:043:0	Áádóó saad t'áá aaníinii t'áá ałtso shizéé'dóó haólééł lágo , háálá nibik'eh hoogáałii binahjį' shił chohoo'į́ .
19:119:044:0	Áko nibee haz'áanii t'áá áłahjį' bik'eh honish'į́įgo hool'áágóó ahóyéel'áa doo .
19:119:045:0	Áádóó doo shihodiit'i'góó yisháał doo , háálá nibik'ehgo iináanii shił bééhodoozįįłgo hásht'į́ .
19:119:046:0	Áádóó ałdó' bee hahíínídzíi'ii aláahgo naat'áanii danilíinii binááł bee yáshti' doo , áádóó doo baa yánísin da doo ,
19:119:047:0	áko nibik'eh ó'oo'níiłii ayóó'óósh'ní ; éí baa shił nihoozhǫǫh doo .
19:119:007:1	Bóhólníihii bibee haz'áanii ts'ídá bee ił chohoo'į́
19:119:048:0	Áádóó ałdó' nibik'eh ó'oo'níiłii ayóó'óósh'nínígíí bíká dah dideesh'nih , áádóó índa bee nihoyíní'áanii nabik'ítséskees doo .
19:119:049:0	Ná naal'a'í nishłíinii nizaad bee shich'į' háínídzí'ígíí binahjį' shił chohoo'į́įgo áshiinilaaígíí shá béénílniih .
19:119:050:0	Shich'į' nidahwiiłnáago éí bee ha'ííníshní , háálá nizaad bee náhiish'na'go hinishná .
19:119:051:0	Diné ádaa daha'niihii t'áá niná'deet'įįjį' t'óó shaa daadloh , nidi nibee haz'áanii doo bits'áosha' át'ée da .
19:119:052:0	Bóhólníihii nílíinii , t'áá ałk'idą́ą́' nibik'eh hoogáałii bénáshniihgo bee ha'ííníshní .
19:119:053:0	Diné doo yá'ádaashóonii nibee haz'áanii yóó'anídeidi'áahgo bik'ee shił náhoochih .
19:119:054:0	T'óó kónígháníjį' kééhasht'į́įgi bee nihoyíní'áanii dashiyiin nít'éé' .
19:119:055:0	Bóhólníihii nílíinii , tł'ée'go nízhi' bénáshniih , áádóó nibee haz'áanii bik'eh honish'į́ .
19:119:008:1	Bóhólníihii bibee haz'áanii nihił da'ílį́
19:119:056:0	Díí shíí' nilį́ : nibik'ehgo iináanii bik'eh honish'į́ .
19:119:057:0	Bóhólníihii éí shíí' nilį́ . Nizaad bik'eh honish'į́į doo , dííniid .
19:119:058:0	Shich'oníníi dooleeł biniyé shijéí t'áá át'é bee nánooshkąąh ; nizaad bik'ehgo shaa jiiníbaah .
19:119:059:0	Bee ánísht'éii baa nitséskeesgo bee háínídzíi'ii bich'į' dah nídiisdzá .
19:119:060:0	T'áadoo át'ah hwiindziní nibik'eh ó'oo'níiłii bik'eh hosíł'įįd .
19:119:061:0	Diné doo yá'ádaashóonii shináshzhiizh , nidi nibee haz'áanii doo beisénah da .
19:119:062:0	T'áá ákogi át'éego nibik'eh hoogáałii biniinaa tł'é'ííłnihgo náádiish'nahgo ahéhee' nándish'niih doo .
19:119:063:0	Dandósinii áádóó nibik'ehgo iináanii yik'eh dahół'íinii t'áá ałtso bik' is nishłį́ .
19:119:009:1	Bóhólníihii bibee haz'áanii yá'át'éehii é'éł'į́
19:119:064:0	Bóhólníihii nílíinii , nahasdzáán t'áá át'éé nít'éé' aa a'ááh nínízinii bił hólǫ́ ; bee nihoyíní'áanii bínashiníłtin .
19:119:065:0	Bóhólníihii nílíinii , ná naal'a'í nishłíinii nizaad bik'ehgo yá'át'éhígi áshiinilaa .
19:119:066:0	Yá'át'éehii nihidit'aahígíí áádóó ił ééhózin bínashiníłtin , háálá nibik'eh ó'oo'níiłii wooshdlą́ .
19:119:067:0	T'ah doo shich'į' nahwii'naah yę́ędą́ą́' yóó'ííyáá nít'éé' , nidi k'ad nizaad bik'eh honish'į́ .
19:119:068:0	Yá'át'éehii nílį́ áádóó yá'át'éehii baa naniná ; bee nihoyíní'áanii bínashiníłtin .
19:119:069:0	Diné ádaa dadzódlíii wooch'ííd shá ádayiilaa , nidi shijéí t'áá át'é bee nibik'ehgo iináanii bik'eh honish'į́į doo .
19:119:070:0	Bijéí ak'ah bik'ídaasti'go doo ádidahól'áa da , nidi shí éí nibee haz'áanii baa shił nihoozhǫǫh .
19:119:071:0	Bee nihoyíní'áanii bóhwiideesh'áłígíí biniyé shich'į' nahwii'náá nít'é'ígíí shá yá'át'ééh .
19:119:010:1	Bóhólníihii bibee haz'áanii doo haada yit'ée da
19:119:072:0	Óola áádóó béésh łigaii daashíínéelą́ą'di miildi ánéelą́'ígíí biláahgo bee hosíníł'áanii bee hahídziihígíí shił yá'át'ééh .
19:119:073:0	Níla' bee áshiinilaago hasht'eshiinilaa ; nibik'eh ó'oo'níiłii bóhwiideesh'áłígíí biniyé ak'idi'yiishtįįhgo áshílééh .
19:119:074:0	Dandósinii dashiiłtsą́ągo bił dahózhǫ́ǫ doo , háálá nizaad bee shił chohoo'į́ .
19:119:075:0	Bóhólníihii nílíinii , t'áá ákogi át'éego nihodiyí'aahgo áádóó na'ahódlíigo shich'į' nahoyíníłnáa'go shił bééhózin .
19:119:076:0	Ná naal'a'í nishłíinii nánooshkąąhgo nizaad bik'ehgo aa a'ááh nínízinígíí bee ha'ííníshníi le' .
19:119:077:0	Hinishnáa doo biniyé shaa a'ááh niizįįh , háálá nibee haz'áanii baa shił nihoozhǫǫh .
19:119:078:0	Bíni'dii diné ádaa dadzódlíii t'óó baa yáhásinígi ádabi'dólnééh , háálá t'áadoo biniinaanígóó binda'adlo'go bíighahí yee shaa nidahasne' , ákondi shí éiyá nibik'ehgo iináanii nabik'ítséskees .
19:119:079:0	Dandósinii áádóó bee hahíínídzíi'ii bił béédahózinii bíni' shaa hakááh .
19:119:011:1	Yisdá'doodááł biniyé sohodizin
19:119:080:0	Doo t'óó shaa yáhásinígi áshidi'doolníił da biniyé bee nihoyíní'áanii binahjį' shijéí t'áadoo bee bik'íhót'ahí da le' .
19:119:081:0	Shii' sizíinii éí nibee yisdá'iildéehii yídin nilį́ ; nizaad éí bee shił chohoo'į́ .
19:119:082:0	Nizaad bíká dísh'į́į'go shináá' ch'ééh nídít'ashgo ádíshní , Hahgoshą' ha'ííníshníigo áshidíílííł ?
19:119:083:0	Háálá tó abid éí łid bii'jį' nahííłtsoozígíí nahonishłin sélį́į́' , ákondi bee nihoyíní'áanii doo baa yisénah da .
19:119:084:0	Haa nízahgóoshą' ná naal'a'í hináa doo ? Atídashi ł'íiniishą' hahgo baa nídíít'įįł ?
19:119:085:0	Diné ádaa dadzódlíii nibee haz'áanii doo yik'eh dahół'íinii díkwíigo shį́į́ shá hadahwiiznil .
19:119:086:0	Nibik'eh ó'oo'níiłii t'áá ałtso bada'ahódlí . T'áadoo biniinaanígóó shi'ana'í atídashił'į́ ; shíká anilyeed !
19:119:087:0	Nahasdzáán bikáa'gi k'adę́ę áníshdingo ádashilééh , nidi nibik'ehgo iináanii t'ah doo yóó'adish'aah da .
19:119:012:1	Bóhólníihii bibee haz'áanii baa hodzódlí
19:119:088:0	Aa a'ááh nínízinii bik'ehgo náshiiłnaah , áko bee hahíínídzíi'ii bik'eh honish'į́į doo .
19:119:089:0	Bóhólníihii nílíinii , yá'ąąshdi hool'áágóó nizaad hasht'e'niilyá .
19:119:090:0	Na'ahódlíii éí oochííłgóó t'áá ałtso bá hólǫ́ ; nahasdzáán bohoníłdzilgo íinilaago si'ą́ .
19:119:091:0	Nibik'eh hoogáałii bik'ehgo díí jį́įdi bee hahodít'é , háálá t'áá ałtsoní ná naal'a'í danilį́ .
19:119:092:0	Nibee haz'áanii doo baa shił nihoozhǫǫhgóogo éí shich'į' nahwii'náago dasétsą́ą doo nít'éé' .
19:119:093:0	Nibik'ehgo iináanii ts'ídá doo baa yidiyeeshnah da , háálá éí binahjį' náshiiniłna' .
19:119:094:0	Níí' nishłį́ , yisdáshíłteeh , háálá nibik'ehgo iináanii bíká ásht'į́į́ nít'éé' .
19:119:095:0	Diné doo yá'ádaashóonii dashidiyoołhééł biniyé shaa héeshjéé' , nidi bee hahíínídzíi'ii hazhó'ó baa nitséskees dooleeł .
19:119:013:1	Bóhólníihii bibee haz'áanii ayóó'óó'ní
19:119:096:0	Hadaałt'éii t'áá ałtso bá nidahwiizt'i'go yiiłtsą́ , nidi nibik'eh ó'oo'níiłii éí doo bá nihonít'i' da .
19:119:097:0	Dooládó' nibee haz'áanii ayóó'óósh'níi da ! Shá bíighah nabik'ítséskeesgo shee e'e'ááh .
19:119:098:0	Shi'ana'í danilíinii biláahgo nibik'eh ó'oo'níiłii honisą́ągo áshósin , háálá hool'áágóó shił hólǫ́ .
19:119:099:0	Nidashinitinii t'áá ałtso biláahgo shił ééhózin , háálá bee hahíínídzíi'ii éí nabik'ítséskeesii ádaat'é .
19:119:100:0	Hadaastihii nidi biláahgo shił ééhózin , háálá nibik'ehgo iináanii bik'eh honish'į́ .
19:119:101:0	Nizaad bik'eh honish'į́į doo biniyé doo yá'át'ééhgóó ádahoot'éii t'áá ałtso doo bikék'eh disháah da .
19:119:102:0	Nibik'eh hoogáałii doo bits'ánísháah da , háálá nashinínítą́ą́' .
19:119:103:0	Dooládó' nizaad łikango néishłįh da ; tsés'ná bitł'izh bilááh át'éego nizaadígíí shił ayóó áhálniih !
19:119:014:1	Bóhólníihii bibee haz'áanii bee adinídíín
19:119:104:0	Nibik'ehgo iináanii bee shił ni'ééhwiizįįh ; éí bąą na'adlo'go áhooníłígíí t'áá ałtso jooshłxá .
19:119:105:0	Shilą́ąjį' bee hool'iní bee adoodlał nahalingo nizaad bik'ehgo nihidishtaał , áko yishááłgóó bee shá adinídíín .
19:119:106:0	Ádee hadeesdzíi'ii bi'deeshłííł : éí t'áá ákogi át'éego nibik'eh hoogáałii bik'eh honish'į́į doo .
19:119:107:0	T'áá íiyisí shich'į' nahwii'ná ; Bóhólníihii nílíinii , nizaad bik'ehgo náshiiłnaah !
19:119:108:0	Bóhólníihii nílíinii , t'áá shí íinisingo shizaad nich'į' nááháshniihii shá niizįįh , áádóó nibik'eh hoogáałii bínashiníłtin .
19:119:109:0	T'áá áłahjį' she'iina' shílák'ee siláago shá báhádzid , nidi nibee haz'áanii doo baa yooshnéeh da .
19:119:110:0	Diné doo yá'ádaashóonii łoh shá nideiz'ą́ , nidi nibik'ehgo iináanii doo bits'ą́ą́' yóó'iisháah da .
19:119:111:0	Bee hahíínídzíi'ii hool'áágóó shíí' daazlį́į́' , háálá éí shijéí bee bił nihoozhǫǫh .
19:119:015:1	Bóhólníihii bibee haz'áanii bee hasih haz'ą́
19:119:112:0	T'áá nihoolzhiizhjį' bee nihoyíní'áanii t'áá áłahjį' shijéí bee bik'eh honish'į́įgo íishłaa .
19:119:113:0	Naaki nilį́įgo nitsídaakeesii jooshłxá , nidi nibee haz'áanii ayóó'óósh'ní .
19:119:114:0	Nine' ahinishchéehii áádóó shinaage' nílį́ ; nizaad bee shił chohoo'į́ .
19:119:115:0	Doo yá'át'ééh ádaahníiłii , shits'ánóhkááh , áko shiDiyin God bibik'eh ó'oo'níiłii bik'eh honish'į́į doo .
19:119:116:0	Hinishnáa doo biniyé nizaad bik'ehgo chánah áshíínísin , áádóó bee shił chohoo'ínígíí doo baa yánísin da le' !
19:119:117:0	Deesdzih biniyé chánah áshíínísin , áko bee nihoyíní'áanii áłahjį' shił nilį́į doo !
19:119:118:0	Bee nihoyíní'áanii yits'ą́ą́' yóó'adahakáahii t'áá ałtso yóó'ahidííní'ą́ , háálá binda'adlo'ii éí t'áadoo nánídlíní da .
19:119:119:0	Nahasdzáán bikáá'góó diné doo yá'ádaashóonii t'áá ałtso ąąh hahidiłhį́hígi át'éego nahjį' kóníł'į́ ; éí bąą hahíínídzíi'ii ayóó'óósh'ní .
19:119:016:1	Bóhólníihii bibee haz'áanii bik'eh hól'į́
19:119:120:0	Nik'ee shił yé'ígíí bąą shitah hoditłid , áádóó bee nihodiyíní'áanii binásdzid .
19:119:121:0	T'áá ákogi é'ét'é índa doo haada yit'éii ásdzaa ; shide ádahósinii doo bich'į' shi'dííłnih da .
19:119:122:0	Ná naal'a'í nishłíinii yá'át'éehii shá dooleeł biniyé shá sínízį́ ; ádaa dadzódlíii t'áadoo shide ádahósingo bá hosíníł'ání .
19:119:123:0	Nibee yisdá'iildéehii índa nizaad t'áá ákogi át'éii bíká dísh'į́į'go shináá' nídíníłnah .
19:119:124:0	Aa a' ááh nínízinii bik'ehgo ná naal'a'í nishłíinii shaa áhólyą́ áádóó bee nihoyíní'áanii bínashiníłtin .
19:119:125:0	Ná naal'a'í nishłį́ ; bee hahíínídzíi'ii shił bééhodoozįįł biniyé ak'idi'yiishtįįhgo áshílééh !
19:119:126:0	Bóhólníihii nílíinii , k'ad ádííníłígíí baa hoolzhiizh , háálá nibee haz'áanii t'áadoo nánídlínígóó ádayiilaa .
19:119:127:0	Éí bąą nibik'eh ó'oo'níiłii óola biláahgo , t'áá aaníí , óola agháago yá'át'éehii nidi biláahgo ayóó'óósh'ní .
19:119:017:1	Bóhólníihii bibee haz'áanii bik'eh hól'į́ nidzin
19:119:128:0	Éí bąą nibik'ehgo iináanii t'áá ałtso t'áá ákogi ádaat'é nisin ; na'adlo'go áhooníłígíí t'áá ałtso jooshłxá .
19:119:129:0	Bee hahíínídzíi'ii ayóó ádanóolnin ; éí bąą shii' sizíinii yik'eh hół'į́ .
19:119:130:0	Nizaad ííshjání ííł'ínígíí bee i'diidlaad ; diné doo dahóyáanii ak'idadi'yiitįįhgo ádanile' .
19:119:131:0	Yéego hasdah nisingo nibik'eh ó'oo'níiłii bídin nishłį́ .
19:119:132:0	Nízhi' ayóó'ádayó'níinii baa jiiníba'ígi át'éego shí ałdó' shik'i nighaałgo shaa jiiníbaah .
19:119:133:0	Nizaad bik'ehgo yisháałgo áshílééh , áádóó doo ákwii é'ét'é t'áadoo shee ádíhólníhí doo .
19:119:134:0	Shide ádahósinii bits'ą́ąjį' hááshíłteeh , áko nibik'ehgo iináanii bik'eh honish'į́į doo .
19:119:135:0	Ná naal'a'í nishłíinii ninii' bee shik'i di'niłdíín , áádóó bee nihoyíní'áanii bínashiníłtin .
19:119:018:1	Bóhólníihii bibee haz'áanii doo haada yit'ée da
19:119:136:0	Tó nílį́ nahalingo shinák'eeshto' náálį́ , háálá diné éí nibee haz'áanii doo yik'eh dahół'į́į da .
19:119:137:0	Bóhólníihii nílíinii , ts'ídá t'áá ákogi ánít'é , áádóó bee nihodiyíní'áanii t'áá ákogi ádaat'é .
19:119:138:0	Bee hahíínídzíi'ii bee ádaa hólne'ii éí t'áá ákogi ádaat'é áádóó t'áá íiyisí bada'ahódlí .
19:119:139:0	Nizaad baa hą́ą́h nisingo bíneeshdlínígíí t'áá áshidoołdįįłgo shide át'é , háálá shi'ana'í danilíinii nizaad yaa dayooznah .
19:119:140:0	Nizaad t'áá íiyisí niłtólí yee' ; éí bąą ná naal'a'í nizaad ayóó'áyó'ní .
19:119:141:0	Doo ayóó ánísht'ée da áádóó dashi'į́ , nidi nibik'ehgo iináanii doo baa yooshnéeh da .
19:119:142:0	Nit'áá ákogi é'ét'éii éí hool'áágóó t'áá ákogi át'é , áádóó nibee haz'áanii éí t'áá aaníinii át'é .
19:119:143:0	Shide áhoodzaago yínííł shik'iildoh , nidi nibik'eh ó'oo'níiłii bee shił hózhóonii át'é .
19:119:019:1	Yisdá'doodááł biniyé sohodizin
19:119:144:0	Bee hahíínídzíi'ii ahóyéel'áágóó t'áá ákogi ádaat'é ; ak'idi'yiishtįįhgo áshílééh , áko hinishnáa doo .
19:119:145:0	Bóhólníihii nílíinii , shijéí t'áá át'é bee chánahgo nániisiskan . Shich'į' ééhonísįįh ! Bee nihoyíní'áanii bik'eh honish'į́į doo .
19:119:146:0	Chánahgo nich'į' sodiszin ; yisdáshíłteeh , áko bee hahíínídzíi'ii bik'eh honish'į́į doo .
19:119:147:0	T'ah yikáíhdą́ą́' náádiish'nahgo shíká i'doolwoł biniyé ná'ooshkąąhgo sonídíszįįh . Nizaad bee shił chohoo'į́ .
19:119:148:0	Nizaad nabik'ítséskees doo biniyé tł'éé' bíighah dínísh'į́į'go yiłkááh .
19:119:149:0	Aa a'ááh nínízinii bik'ehgo shiinéé' shá diits'į́į́h ; Bóhólníihii nílíinii , bee nihodiyíní'áanii bik'ehgo náshiiłnaah .
19:119:150:0	Doo yá'ádaashóonii yikék'ehjí deíkáahii shit'ááh nájah . Nibee haz'áanii doo deeghánígóó yits'ákai .
19:119:151:0	Nidi , Bóhólníihii nílíinii , kǫ́ǫ́ honílǫ́ , áádóó nibik'eh ó'oo'níiłii t'áá ałtso t'áá aaníinii ádaat'é .
19:119:020:1	Áká a'doolwoł biniyé ná'ookąąh
19:119:152:0	Bee hahíínídzíi'ii t'áá ałk'idą́ą́' díí shił bééhózin : hool'áágóó bidahoníłdzilgo íinilaa .
19:119:153:0	Bee shich'į' nahwii'náanii baa ákoniizįįhgo yisdáshíł teeh , háálá nibee haz'áanii doo baa yooshnéeh da .
19:119:154:0	Áyáłti'ii nílį́įgo shá yáníłti' áádóó yisdáshíłteeh ; nizaad bik'ehgo náshiiłnaah !
19:119:155:0	Diné doo yá'ádaashóonii bits'ą́ądi doo nádiinághánídi bee yisdá'iildéehii hólǫ́ , háálá bee nihoyíní'áanii doo hádaat'į́į da .
19:119:156:0	Bóhólníihii nílíinii , aa a'ááh nínízinígíí ayóó ádaat'é ; nibik'eh hoogáałii bik'ehgo náshiiłnaah .
19:119:157:0	Atídashił'íinii índa shi'ana'í danilíinii éí t'óó ahayóí , nidi bee hahíínídzíi'ii doo bits'áosha' át'ée da .
19:119:158:0	Nináda'dii'aahii nísh'į́įgo dayí'įįd , háálá nizaad doo yik'eh dahół'į́į da .
19:119:159:0	Nibik'ehgo iináanii t'áá íiyisí ayóó'óósh'nínígíí baa nitsíníkees ! Bóhólníihii nílíinii , aa a'ááh nínízinii bik'ehgo náshiiłnaah .
19:119:021:1	Bóhólníihii bibee haz'áanii baa ádinisht'ą́
19:119:160:0	Nizaad t'áá át'é éí t'áá aaníí , áádóó t'áá ákogi át'éego nibik'eh hoogáałii t'áá át'é hool'áágóó hólǫ́ .
19:119:161:0	T'áadoo biniinaanígóó naat'áanii danilíinii atídashííł'įįd , nidi shijéí bee nizaad dinisin .
19:119:162:0	Naalye'é daas'náanii ła' bik'ízhníyá nahalingo nizaad t'áá íiyisí baa shił hózhǫ́ .
19:119:163:0	T'áá ádzaagóó hane'ii jooshłxáago t'óó baa'ih nisin , nidi nibee haz'áanii éí ayóó'óósh'ní .
19:119:164:0	T'áá ákogi át'éego nibik'eh hoogáałii biniinaa tsosts'idi naa náhásh'nihgo aná'át'ááh .
19:119:165:0	Nibee haz'áanii ayóó'ádayó'níinii éí t'áá íiyisí hasht'edadít'é , áko t'ááłá'í nidi doo azadabidínóo'ahí da .
19:119:166:0	Bóhólníihii nílíinii , nibee yisdá'iildéehii bíká shił chohoo'į́ , áádóó nibik'eh ó'oo'níiłii bi'iishłaa .
19:119:167:0	Shii' sizíinii éí bee hahíínídzíi'ii yik'eh hóół'įįd , áádóó t'áá íiyisí ayóó'óósh'ní .
19:119:022:1	Áká a'doolwoł biniyé sohodizin
19:119:168:0	Nibik'ehgo iináanii áádóó bee hahíínídzíi'ii bik'eh hinishná , háálá bee ánísht'éii t'áá ałtso níníł'į́ .
19:119:169:0	Bóhólníihii nílíinii , háni'dii chánahgo sodiszinígíí nidáahjį' ahosiilts'įįh ; nizaad bik'ehgo ak'idi'yiishtįįhgo áshíínísin !
19:119:170:0	Háni'dii ná'ooshkąąhígíí nidáahjį' ahosiilts'įįh ; nizaad bik'ehgo yisdáshíłteeh .
19:119:171:0	Bíni'dii naa hashniih doo , háálá bee nihoyíní'áanii bínashiníníłtą́ą́' .
19:119:172:0	Bíni'dii nizaad baa hashne' doo , háálá nibik'eh ó'oo'níiłii t'áá át'é t'áá ákogi ádaat'é .
19:119:173:0	Háni'dii níla' bee shíká adíílwoł biniyé hasht'e' íínísin , háálá nibik'ehgo iináanii nidiní'ą́ .
19:119:174:0	Bóhólníihii nílíinii , nibee yisdá'iildéehii bídin nishłį́ , áádóó nibee haz'áanii baa shił nihoozhǫǫh .
19:119:175:0	Naa hashniih doo biniyé háni'dii hinishná , áádóó nibik' eh hoogáałii háni'dii shíká iilyeed .
19:119:176:0	Dibé yóó'ííyáhígíí nahalingo yóó'ííyá ; ná naal'a'í nishłíinii hashinítá , háálá nibik'eh ó'oo'níiłii doo baa yooshnéeh da .
