19:105:001:1	Bóhólníihii éí Ízrel dine'é yá ayóó át'éii áyoolíiłii
19:105:021:0	Bighangi hóhólníihgo áhoolaa índa bíí' nilíinii t'áá ałtso binazh'nit'áago áhoolaa .
19:105:022:0	Áko naat'áanii danilíinii t'áá hózhnízinígi át'éego bee hóhólníih doo , índa diné yá aląąjį' naazíinii hódzą́ bee nazhnitin doo .
19:105:023:0	Áádóó ałdó' Ííjip kéyahdi Ízrel dine'é yíkai . Ham bikéyahdi Jéíkab bada'áłchíní dabighan nít'éé' .
19:105:024:0	Áádóó bidine'é t'áá íiyisí k'ee'ąą noot'į́įłgo áyiilaa , índa bida'ana'í yiláahgo ádabóodziilgo áyiilaa .
19:105:025:0	Bóhólníihii éí hodine'é bi'ana'í bijéí yee bik'ee dadiniihgo áádóó Bóhólníihii há nidaal'a'í yinda'alo'go ájiilaa .
19:105:026:0	Bá naal'a'í Mózes índa Éran ałdó' néidiiłtį́įgo t'áá áłah ayííł'a' .
19:105:027:0	Éí Ham bikéyahdi Bóhólníihii bibee éédahózinii índa t'óó bibik'eda'ayóii yit'íní áyiilaa .
19:105:028:0	Chahałheełgo áyiilaa , áko éí kéyahgi chahóółhéél . Bóhólníihii yee hahadziihii doo yich'į' naalteeh da .
19:105:029:0	Ííjip dine'é dabito' diłgo áyiilaa , áko dabiłóó' dayííghą́ą́' .
19:105:030:0	Bikéyah bikáá'góó ch'ał nihinéést'e' , binanit'a'í nitéhí góne' nidi .
19:105:031:0	Haadzíi'go bikéyah t'áá níłtéél nít'éé' tsé'édǫ́'ii bił dah nída'asoł áádóó yaa' ałdó' hazlį́į́' .
19:105:032:0	Bee nahodoołtį́į́ł yę́ęgi nílóda haidiní'ą́ągo níló bee nááłtą́ áádóó bikéyah bikáá'góó ii'ni' dahodiiłtłah .
19:105:033:0	Bich'il na'atł'o'ii índa fig deíl'áhígíí atíyiilaa , áádóó bikéyah bikáa'gi t'áá níłtéél nít'éé' tsin naazkaadii niyiizti' .
19:105:034:0	Haadzíi'go nahachagiitsoh níłnii' , áádóó ch'osh ditł'ooí doo jóołta' ánéelą́ą́'góó níłnii' .
19:105:035:0	Éí hakéyahgi nanise' t'áá ałtso índa nidazhniłt'ą'ígíí ałtso yaa nahodeeskai .
19:105:036:0	Hakéyahgi alą́ąjį' há nidahaazhchínígíí éí bee dahadziil dooleeł nít'éé' yę́ę ałdó' ałtso hats'ą́ą́' neistseed .
19:105:037:0	Áko Ízrel dine'é béésh łigaii áádóó óola deíjáahgo ch'íiní'eezh ; hatahdóó t'áá ałtso dabidziilgo ch'íníná .
19:105:038:0	Nahgóó dashdiináago Ííjip dine'é bił dahóózhǫǫd , háálá haniinaa Ííjip dine'é nídaasdzííd .
19:105:039:0	Hak'igi k'os yildohgo ánáyiil'įįh nít'éé' , áádóó tł'ée'go kǫ' há bee hool'ingo ánáyiil'įįh nít'éé' .
19:105:040:0	Hóda'dííkeedgo tsídii dééłdánii wolyéii haa néinísą́ . Áádóó yá'ąąshdę́ę́' bááh bee hwiih dajílį́įgo áhoolaa .
19:105:041:0	Tsé ąą áyiilaago tó hadzííłhaal . Honoojíí góyaa toohgi át'éego danílį́ silį́į́' .
19:105:042:0	Háálá bá naal'a'í Éíbraham yich'į' diyingo yee nihoní'áanii yénáálnii' .
19:105:043:0	Áko bidine'é bił dahózhǫ́ǫgo ch'íiní'eezh ; néidiinilii bił dahózhǫ́ǫgo dahataałgo ch'íiní'eezh .
19:105:044:0	Ał'ąą dine'é bikéyah haidiní'ą́ áádóó yindaashnishii hwíí' daazlį́į́' .
19:105:045:0	Áko yee nihwiiz'áanii áádóó bibee haz'áanii bik'eh dahojíł'į́ . Bóhólníihii baa dahohniih !
