19:78:001:1	Diyin God éí bidine'é doo bada'ahódlíii bich'į' ba'ahódlí
19:78:046:0	Bikédaayahgóó nideiniłt'ą'ígíí ch'osh ditł'ooí yeidiní'ą́ áádóó yindaalnishgo hazlį́'ígíí nahachagiitsoh yeidiní'ą́ .
19:78:047:0	Bich'il na'atł'o'ii deíl'áhígíí níló yee íísdįįd , áádóó síkamor naazkaadgo deíl'áhígíí shoh yee íísdįįd .
19:78:048:0	Dabibéégashii nílótsoh yee íísdįįd áádóó dabidibé atsiniltł'ish yee íísdįįd .
19:78:049:0	T'áá íiyisí yich'į' báhóóchįįdígíí áádóó yee atídeidoolíiłgo yich'į' hashké niidzį́'ígíí índa yich'į' doo bił hóózhǫǫdígíí yee yich'į' nahodiyoołnaał biniyé diyingo nidaal'a'í nida'ałtseedii yik'ijį' yi'níłnii' .
19:78:050:0	Bánáháchįįhgo bá ahóót'i'go áyiilaa ; anoonééł bits'ą́ąjį' hwii' sizíinii t'áadoo yisdáyíínil da , nidi ooghą́ąłii yaa hodiní'ą́ .
19:78:051:0	Ííjip kéyahgi áłtsé nidahaazhchíinii t'áá ałtso yizéé' deizt'įįd ; Ham bidine'é bidziilii bits'ą́ą́dóó áłtsé nidaakaii biníbaal naaznilgóó yizéé' deizt'įįd .
19:78:052:0	Áko índa dibé nahalingo t'áá bí bidine'é dah yidii'eezh , áádóó honoojíidi dibé bá tázhdíghááh nahalingo yá tádííyá .
19:78:053:0	T'áadoo atíbóle'égóó yiní'eezh , áko doo nídaaldzid da nít'éé' , nidi bi'ana'í danilíinii tónteel bik'i diilkǫ' .
19:78:054:0	Áádóó bikéyah hodiyindi bigaan nish'náájí yee dził shóyoost'e'íjį' yiní'eezh .
19:78:055:0	Yilą́ąjį' ał'ąą dine'é hainiiskaad , éí bikéyah daahóó' dooleeł biniyé hataizo áádóó dabiníbaal naaznilígóó Ízrel ał'ąą ádóone'é dabighango áyiilaa .
19:78:056:0	Azhą́ ákódzaa lá nidi , Diyin God Aláahgo Ayóó'át'éii nayídaneeztą́ą́' áádóó yich'į' nidaalteeh nít'éé' , índa yee hahaasdzíi'ii doo yik'eh dahóół'įįd da .
19:78:057:0	Nidi bizhé'é yę́ę ádáát'įįdígi át'éego t'ą́ą́' dah náhidiikaigo binda'adlo' go ałtį́į́' doo bééhózingóó nidigęęsígíí nidahalin nít'éé' .
19:78:058:0	Jó , ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaadi nidahałáago yee hádahóółchįįd ; eda'alyaii yich'į' nidahałáhígíí łe'jinízingo ádahoolaa .
19:78:059:0	Diyin God díí yidiizts'ą́ą'go t'áá íiyisí hashké nídzingo báhóóchįįd , áádóó ayóó át'éego Ízrel dine'é yaa'ih niizį́į́' .
19:78:060:0	Áko Sháílohdi diné bitahgi níbaal bii' hodílzinii niiní'ą́ągo bii' bighanígíí yóó'iidíí'ą́ .
19:78:061:0	Áádóó yee bidziilii yisnááh dooleełjį' niidiní'ą́ ; yee ayóó át'éii ana'í yeidiní'ą́ .
19:78:062:0	Bidine'é diltłish bee nabidi'dootsiłjį' ałdó' niidiní'ą́ , áádóó bíí' danilíinii yich'į' báhóóchįįd .
19:78:063:0	Bitahdóó dinééh danilíinii dadíílid áádóó bitahdóó ch'ikę́ę́h danilíinii iigehjí sin t'áadoo bá dadiists'ą́ą' da .
19:78:064:0	Bá nááda'iiłniihii diltłish bee naaztseed áádóó be'asdzą́ą́ bąąh ádahasdįįdii t'áadoo yínííł danilį́įgo dáácha da .
19:78:065:0	Áko índa diné ła' ch'ínádzid nahalingo áádóó diné ayóó ábóodziilii wáin bił honiidoigo nihidilgháásh nahalingo Bóhólníihii nídiildzil .
19:78:066:0	Áádóó bi'ana'í danilíinii t'ą́ą́' anéinííłkaadgo yik'eh deesdlį́į́' . Hool'áágóó bá nidahat'i'go áyiilaa .
19:78:067:0	Áádóó ałdó' Jóseph biníbaal doo jiniizį́į' da ; Íífreiyim bidine'é t'áadoo nízhdiinil da .
19:78:068:0	Nidi Júdah dine'é áádóó Dził Záíyan ayóó'ájó'níinii nízhdiinil .
19:78:069:0	Wót'áahdi nahalingo índa nahasdzáán hool'áágóó dah yit'ááł nahalingo ákwii hakin bii' sohodizin ájiilaa .
19:78:070:0	Há naal'a'í David ałdó' nízhdiiłtį́ , áko dibé shijé'ídóó bits'ázhníłtį́ .
19:78:071:0	Hodine'é Jéíkab , éí hwíí' dooleełii Ízrel baa áhojilyą́ą doo biniyé dibétsa'ii biyázhí yídááltsą́ągo baa áhojilyánídóó bił dashdii'áázh .
19:78:072:0	Éí bijéí t'áá ákogi át'éego yaa áhályą́ą́ nít'éé' , áádóó bíla' yee doo bił nahontł'agóó yá yigááł nít'éé' .
