40:12:001:1	Pen . xij .
40:12:011:0	Ac ef a ðyvot wrthwynt , Pa ðyn o hanoch vydd , ac iddo vn ddavat , ac o chwympa hi mewn ffos ar y dydd Sabbath , any chymer ef y hi a’i chodi allan ?
40:12:012:0	Wrth hyny , pa veint gwell yw dyn na dafat ? Ac velly cyfraithlawn yw gwneythyd da ar y dydd Sabbath .
40:12:013:0	Yno y dyvot ef wrth y dyn , Estyn dy law , Ac ef y hestynnawdd , a hi a wnaed yn iach val y llal’ .
40:12:014:0	Yno yr aeth y Pharisaieit allan , ac ymgyggori a wnaethont yn y erbyn ef , pa vodd y gellynt ei ddiva .
40:12:015:0	A’ phan wybu yr Iesu hyny , ef aeth ymaith oddyno , a’ thyrfa‐vawr y dylynodd ef , ac ef y iachaodd wy oll ,
40:12:016:0	ac a orchymynawdd yddyn na’ chyoedent ef ,
40:12:017:0	yn y chyflawnit , ’rhyn a ðywedesit gan Esaias brophwyt , gan ddywedyt ,
40:12:018:0	Nycha vy‐gwasanaethur yr hwn a ddetholeis , vy‐caredic yn yr hwn y digrifir vy enait : gosodaf vy Yspryt arnaw , ac ef a ddengys varn ir Cenetloedd .
40:12:019:0	Nyd ymryson ef , ac ny lefain , ac ny’s clyw neb y lais ef yn yr heolydd .
40:12:020:0	Corsen ysic ny’s tyr ef , a’ llin yn mugy ny ddiffodd ef , yny dduco varn i vuddugoliaeth .
40:12:021:0	Ac yn ei Enw ef y coelia ’r Cenedloedd .
40:12:022:0	Yno y ducpwyt attaw vn cythraulic , yn ddall ac yn vut , ac ef ai iachaodd ef , yn y lavarawdd , ac y gwelai yr hvvn vysei ddall a’ mut .
40:12:023:0	Ac a sannawdd ar yr oll popul , gan ðywedyt , Anyd hwn yw map Dauid ?
40:12:024:0	Eithyr pan glybu y Pharisaieit hyn , y dywedesont , Nid yw hwn yn bwrw allan gythaulieit anid trwy Beelzebub pennaeth y cythraulieit .
40:12:025:0	A’r Iesu yn gwybot ei meddyliae , a ddyvot wrthwynt , Pop teyrnas wedy ’r ymranny yn y herbyn y hun , a ddiffeithir : a’ phop dinas neu duy , wedy ’r ymranny yn y erbyn ehun ny saif .
40:12:026:0	Velly a’s Satan a vwrw allan Satan , y mae ef wedy ’r ymranny yn y erbyn ehun : pa wedd gan hyny y saif y deyrnas ef ?
40:12:027:0	Ac a’s myvi trwy Beelzebub a vwriaf allan gythraulieit , trwy pwy vn y bwrw eich plant chvvi’n wy allan ? Ac am hynny y byddant wy yn veirniait arnoch .
40:12:028:0	Ac a’s myvi a vwriaf allan gythreuliait trwy yspryt Duw , yno y daeth teyrnas Dyw atoch .
40:12:029:0	Can ys pavodd y dychon nebvn vyned y mewn y duy y cadarn ac yspeilio ei dda , dyethr iddo yn gyntaf rwymo y cadarn , ac yno yspeilio ei duy .
40:12:030:0	Y nep nid yw yd a mi , ys ydd yn v’erbyn : a’r nep ny chascl gyd a mi , a ’oyscar .
40:12:031:0	Erwyð paam y dywedaf y chwi , pop pechat a chabl a vaddeuir i ddynion : anyd y cabl yn erbyn yr Yspryt glan ny vaddeuir i ddynion .
40:12:032:0	A’ phwy pynac a ddyweto ’air yn erbyn Map y dyn , e vaddeuir yddaw : anyd pwy pynac a ddywet yn erbyn yr Yspryt glan , ny’s maddeuir iddo , nag yn y byt hwn , nag yn y byt a ddaw .
40:12:033:0	Ai gwnewch y pren yn dda , a’i ffrwyth yn dda : ai gwnewch y pren yn ðrwc , a’i ffrwyth yn ddrwc : can ys y pren a adwenir wrth ei ffrwyth .
40:12:034:0	A genetleth gwiperae , pa ddelw y gellwch’ ymadrodd daoedd , a chwi yn ðrwc ? Can ys o ehelaethrwydd y galon , yr ymadrodd y geneu .
40:12:035:0	Y dyn da o dresawr da ei galon , a ddwc allan dda‐bethe : a’ dyn drwc o dresawr drwc , a ddwc allan bethe drwc .
40:12:036:0	Eithyr mi ddywedaf wrthych , mai am bop gair segur a ðywait dynion , y rhoddant gyfri yn‐dydd varn .
40:12:037:0	Can ys wrth dy ’airiae ith cyfiownheir , ac wrth dy ’airiae ith vernir .
40:12:038:0	¶ Yno yð atepoð rei or Gwyr llen a’r Pharisaieit gan ddywedyt , Athro , ys chwenychem welet arwydd genyt .
40:12:039:0	Ac ef a atepawdd , ac a ddyvot wrth wynt , Cenedleth ddrwc ’odinabus a gais arwyð , anyd ny roir iddi , namyn arwydd y Prophwyt Ionas .
40:12:040:0	Can ys val y bu Ionas tri‐die a’ thair nos ym‐boly y morvil velly y byð Map y dyn dri‐die a’ thair‐nos yn‐calon y ðaiar .
40:12:041:0	Gwyr Niniue a gyfyt ym‐barn y gyd a’r genedleth hon , ac ei barn hi : can ys yddynt vvy edifarhay wrth preceth Ionas . A’ nycha vn mwy nag Ionas yn y man yma .
40:12:042:0	Nycha Brenhines y Deau a gyfyd yn y varn y gyd ar genedleth hon , ac ac y barn hi : can iddi hi ddyvot o eithafion y ddaiar i glywed doethinep Selef : a‐nycha vn mwy na Selyf yn y man yma .
40:12:043:0	¶ A’ phan el yr yspryt aflan allan o ddyn , ef a rodia rhyd lleoeð sychion , gan gaisio gorphwysfa , ac eb gahel dim .
40:12:044:0	Yno y dywait , Ymchoelaf im tuy , o’r lle y daethym : ac wedy y delo , y caiff e yn wac , wedy’r yscupo , a’ ei addurno .
40:12:045:0	¶ Yno ydd a ef , ac a gymer ataw saith yspryt ereill scelerach nog ef , y un , ac a ant y mewn ac a gyfanneddant yno : a’ gwaeth vydd dyweðhynt y dyn hwnw na ei ddechraeat . Ac velly y bydd ir genedleth enwir hon .
40:12:046:0	¶ Tra ytoedd ef yn ymadroð wrth y dyrfa , nycha ei vam a’ei vrodwr yn sefyll allan , yn caisio ymddiddan ac ef .
40:12:047:0	Yno y dyvot vn wrthaw , Nycha , dy vam ath vrodur yn sefyll allan , yn casio ymddiðā a thi .
40:12:048:0	Ac ef atepawdd , ac a dyvot , wrth hwn a venagawdd iddo , Pwy yw vy mam ? a’ phwy yw vy‐brodur ?
40:12:049:0	Ac ef a estennawdd ei law tu ac at ei ddiscipulon , ac a ddyvot , Nycha vy mam , am broder .
40:12:050:0	Can ys pwy pynac a wna ewyllys vy‐Tad yr hwn y sydd yn y nefoedd , hwnw yw vy‐brawt , a’m chwaer , a’ mam .
